Operator	Comment	Key	Translation
Message	Shido	Where am I? Am I back in Tengu City?	
Message	Shido	What the—?! What is that thing?!	
Message	Shido	Is that Neo Tengu Tower?! What's going on?!	
Message	Shido	And where's everyone else?! Rinne's still separated from me!	
Message	None	"(Rinne, you're safe, right? Please, tell me you're just hiding
somewhere.)"	
Message	None	"(Come on. That has to be the case. I mean, she can't be gone. How
can Rinne be...)"	
Message	Kotori	Shido! You made it through!	
Message	Shido	Kotori?! Everyone! You guys are safe?!	
Message	None	"(...?! Kotori's wearing her Astral Dress.
Wait, are her regeneration powers back?)"	
Message	Kotori	"Yes. Seems like everyone got out. But...
There's something up with Tengu City.
Especially Neo Tengu Tower. It's ominous..."	
Message	Shido	Yeah, seems like it.	
Message	Kurumi	Is that all you're worried about?	
Message	Shido	Kurumi, can I trust you as an ally?	
Message	Kurumi	"Yes. With regards to our situation, I promise to cooperate. I
refuse to be sucked in. Although, I do not intend on asking you to
trust me."	
Message	Shido	"Don't be like that. If you ask me to trust you, I will. A
temporary truce will do. Thanks for your help."	
Message	Kurumi	"My, my. I suppose I have no choice but to do my best when you put
it that way. Why the change of heart?"	
Message	Shido	"I'm... starting to remember. The memory of dating you is coming
back to me."	
Message	Kurumi	Oh, is that so? I have recollection of it.	
Message	Shido	"I can't blame you, but I remember it clearly.
Hence why I've decided to trust you."	
Message	Kurumi	"Hehe. I see. An interesting train of thought.
So that's his take, but what about you?
Glaring at me forever must be so tiring."	
Message	Kotori	If Shido says so, then I won't object.	
Message	Kotori	"Well, I think I believe you. So long as we share a common goal,
I'll trust you. You don't seem foolish enough to mistake our
predicament."	
Message	Kurumi	Compliment taken, I suppose.	
Message	Tohka	I was so worried about you, Shido! Have you been harmed?	
Message	Shido	I'm fine. How are you, Tohka?	
Message	Tohka	"F-Fine... I remember little, save for being flown back, but
nothing serious."	
Message	Shido	"Ah, what a relief. What about you, Yoshino?
You okay?"	
Message	Yoshino	Y...Yes! Glad to see you're safe, Shido-san.	
Message	Shido	Of course. Good to see you, Yoshino.	
Message	Yoshinon	"Heeeey! That's messed up, Shido-kun!\nI exist too, you know!"	
Message	Shido	"Oh, sorry, sorry! Who knows what'll come next, so take care of
Yoshino, okay Yoshinon?"	
Message	Yoshinon	"Man, you're such a sweet talker. Well, just like you said,\nShido-kun, Yoshino's got me, so no need to worry."	
Message	Shido	Yeah. I'm counting on you.	
Message	Origami	Shido, what about me?	
Message	Shido	O-Origami?! Um, sorry for getting you involved in this...	
Message	Origami	I don't mind. If Ruler is a Spirit, then this concerns me as well.	
Message	Shido	Right...	
Message	Kotori	So what's the deal, Shido?	
Message	Shido	Huh? What do you mean?	
Message	None	"(I told Kotori and the others what I knew up till then. And how
Rinne hasn't made it back yet...)"	
Message	Kotori	Rinne is... gone?	
Message	Shido	Yeah. We were split up, and I haven't seen her since.	
Message	Kotori	I see. That worries me. So, have you noticed anything else?	
Message	Shido	Um, no. Not yet.	
Message	Kotori	Hm. Understood. We'll leave it there for now.	
Message	Tohka	But why is this Ruler going after Shido?	
Message	Shido	I don't know, but... I want to speak with Ruler again.	
Message	Shido	"I don't know why, but I've got a feeling that Ruler isn't a bad
person."	
Message	Tohka	Shido...	
Message	Shido	"Let's make her stop this, and get all of us out of this once and
for all!"	
Message	Tohka	Yes! I'm here to help, Shido.	
Message	Shido	R-Really?!	
Message	Tohka	Yes, of course!	
Message	Origami	Me too.	
Message	Shido	Huh?	
Message	Origami	I told you. I can't watch you dive into danger.	
Message	Shido	...!	
Message	Origami	Besides, Tohka Yatogami isn't enough to support you.	
Message	Tohka	HEY! What is that supposed to mean, Origami Tobiichi?!	
