Operator	Comment	Key	Translation
Message	None	Why...?	
Message	None	"All these memories... they're all still here?
That means the reset is becoming incomplete..."	
Message	None	"The powers of Eden are destabilizing...
Why is this happening?"	
Message	None	At this rate, I won't be able offer my protection...	
Message	None	But I can't let that happen... no matter the cost...	
Message	None	(Who are you?)	
Message	None	This... is my wish...	
Message	None	(Huh?)	
Message	None	(Not this dream again...)	
Message	None	Everything is already decided...	
Message	None	Just go with the flow...	
Message	None	(Seriously, who are you?)	
Message	Rinne	Shi...do... get up... Hey... Shido, wake up. It's morning.	
Message	Shido	Hm? R-Rinne?	
Message	Rinne	Good morning, Shido.	
Message	Shido	Morning, Rinne...	
Message	Rinne	What's wrong? Are you sick?	
Message	Shido	"I'm okay, just a little groggy. I guess a lot
happened yesterday and I'm just feeling
a little tired."	
Message	Rinne	Y-Yeah. A lot happened.	
Message	Shido	"You're seriously wondering if I'm sick?
I'm really just recovering..."	
Message	Rinne	You sure looked like you were having fun.	
Message	Shido	"What? Oh... sorry. I guess it's just been
a while since something like that happened."	
Message	Rinne	"Heh. You're right. Don't overdo it, okay?
You should probably take it easy and
just watch the Sports Day activities."	
Message	Shido	Ah. Maybe that's a good call.	
Message	Rinne	Goodness, Shido... oh!	
Message	Shido	What is it?	
Message	Rinne	"I thought you'd get up sooner. I forgot
to turn off the fire on the pot. Haha!"	
Message	Shido	Fire safety is no laughing matter!	
Message	Rinne	"Sorry, Shido. I need to go turn it off, but
don't fall back asleep, okay? Get up!"	
Message	Shido	Rinne... Honestly, I'm more worried about you...	
Message	Shido	She can be a little ditzy sometimes...	
Message	Shido	I better hurry up before she starts nagging.	
Message	Rinne	The pot was okay. Did you change y—	
Message	Shido	...	
Message	Rinne	...	
Message	Shido	Uh...	
Message	Rinne	Am I... supposed to scream now?	
Message	Shido	"Hold on. Cool it. You don't need to make
fun of me. And you already screamed!"	
Message	Rinne	S-Sorry.	
Message	Tohka	Was that you screaming, Rinne?	
Message	Kotori	Onii-chan, did something funny happen?	
Message	Yoshino	S-Shido-san?!	
Message	Yoshinon	"Shido-kun... that's a big yikes."	
Message	Shido	"Hold on. There's a perfectly reasonable
explanatation for this and... wait, are you
all coming in, too?!"	
Message	Rinne	Um... Shido, do you have a moment?	
Message	Shido	W-What is it, Rinne?!	
Message	Rinne	"I feel bad, but it won't be good if we can't
keep it underwraps so... sorry?"	
Message	Shido	Huh?	
Message	Shido	Ouch...	
Message	Rinne	S-Sorry. I didn't know I was so strong...	
Message	Shido	You don't need to apologize. It's my fault.	
Message	Kotori	"Onii-chan, did you want to show your body
to Rinne?"	
Message	Shido	"Kotori, come on. Can you not treat me like
I'm some hentai gentleman?"	
Message	Kotori	"What? Why not? Hahaha, Onii-chan,
you are the ultimate hentai gentleman!"	
Message	Shido	Don't call me a hentai gentleman!	
Message	Yoshinon	"Shido-kun, you have to admit that much of\nyour life resembles that of a hentai guy."	
Message	Shido	That's not fair!	
Message	Yoshinon	"Oh, really? What do you think, Yoshino?"	
Message	Yoshino	I-I... I'm positive Shido-san... isn't!	
Message	Shido	Yoshino, you're the only one who believes in me!	
Message	Yoshino	Of course! Thank you.	
Message	Shido	"All right... Good. Wow, Yoshino really is a good girl,
isn't she, Kotori?"	
Message	Kotori	...YAH!	
Message	Shido	What the?!	
Message	None	(An encyclopedia?! She could've taken my head off!)	
Message	Tohka	"Hey, Kotori. Isn't that a pretty dangerous thing
to throw around like that?"	
Message	Kotori	Haha, yeah, but it's totally fine. It's Onii-chan.	
Message	Rinne	Now, now, Kotori. He hasn't fully recovered yet.	
Message	Kotori	"Okaaay... Sorry, Rinne. It was worth the face
Onii-chan made, though. It was so funny."	
Message	Shido	You know what...?	
Message	Rinne	"Why don't we have breakfast now that we're all here?
Come on, everyone."	
Message	Shido	You're right. The food's gonna get cold soon.	
Message	Tohka	Oh! I thought I smelled something good. What is it?	
Message	Rinne	"Hehe, well I thought it might be too early for something
this heavy, but I made your favorite, Tohka... Hamburg!
Just like I promised."	
Message	Rinne	"I'm honestly not too confident that it tastes very good
though. Please, have some before it cools."	
Message	Tohka	"Wow, it's shaped pretty oddly! Whoa, look at all
the juice coming out of it. It looks great!"	
Message	Yoshinon	"Ah. Rinne, that's amazing! Isn't that right, Yoshino?"	
Message	Yoshino	I'm worried that... I may not be able to eat it all.	
Message	Kotori	I'm so excited!	
Message	Rinne	"Hehe, eat it before it goes cold, Yoshino. You too,
Kotori. I made you both special plates."	
Message	None	(Rinne's cooking skills are divine!)	
Message	Kotori	Oh! I'm going to eat it while it's still juicy!	
Message	Yoshino	Ah... time to dig in!	
Message	Rinne	Hehe. It just makes me happy that you all like it.	
Message	Shido	Rinne, you're so considerate. I really think that's great.	
Message	Rinne	H-Hey, Shido, quit it. You're making me blush!	
Message	Shido	Haha... Sorry.	
Message	None	(But... when did Rinne get so close with everyone? Huh...?)	
Message	Kotori	Hm. What's the matter, Onii-chan?	
Message	Shido	Just... Um, Rinne? Where did you meet Tohka?	
Message	Rinne	Huh? Well... at school I guess?	
Message	Shido	O-Oh... You guess, huh?	
Message	Rinne	Yeah, on the day I transferred. Right, Tohka?	
Message	Tohka	"Hm? I think so. Rinne was so kind to me from the
moment we met. She's super nice!"	
Message	Shido	O-Oh...	
Message	None	"(I don’t get it. Something feels off. What was Rinne
doing then? I thought it was hard for Tohka to
blend into the class in the beginning...)"	
Message	Rinne	Shido, why are you bringing this up? Is everything okay?	
