Operator	Comment	Key	Translation
Message	Shido	Oh, Tohka...	
Message	None	"(So, Tohka really did head to class early.
How unlike her...)"	
Message	Tohka	*yaaaawn*...	
Message	None	"(Whoa, that's a big yawn. How unflattering.
Oh, well. I guess that's Tohka for you.)"	
Message	Shido	Yo, Tohka. Did you have a late night?	
Message	Tohka	Sh-Shido?!	
Message	Shido	Hm? What's up? Don't act so surprised.	
Message	Tohka	Y-Yeah, you're right! Sorry!	
Message	Shido	"Someone's hyper today. Did something
happen?"	
Message	Tohka	N-Nothing!	
Message	Shido	Okay then... Huh? What's up with your finger?	
Message	Tohka	Hm?	
Message	Shido	"Well, you've got bandages all over your
hands."	
Message	Tohka	THTHTHTHTHTHis is nothing! I was practicing—	
Message	Shido	Practicing? For what?	
Message	Tohka	"N...! NOTHING! Just... this doesn't concern
you, Shido!"	
Message	Shido	O-Okay...	
Message	None	"(I wonder... if Tohka was the one shuffling
around late last night.)"	
Message	Shido	"Well, be careful, okay Tohka? I don't want
to see you get hurt."	
Message	Tohka	O-Okay... I will try my best.	
Message	None	"(Well, she seems to be working hard. If there's
something she doesn't want me to know,
I guess I should leave her be for a while.)"	
Message	None	"(I sat through a boring class and ate the lunch
that Rinne had made me. Afterwards, I prepared
for class in the afternoon.)"	
Message	None	"(As the early summer rays seeped through
the blinds, I grew sleepy, basking in the
perfectly air-conditioned classroom.)"	
Message	None	"(Fighting the urge to sleep felt like a futile
effort...)"	
Message	None	"(However, as Sports Day ended, we were
fast approaching testing.)"	
Message	None	"(I want to pay attention, even if I have to
take photos of the blackboard.)"	
Message	None	"(Especially for someone like me, who barely
studies all year and depends on cramming, I
gotta focus.)"	
Message	None	"(But reality is cruel. Unlike the idealized
version in my head, students succumbed to
the temptation to nap one after the other.)"	
Message	None	"(And finally, the demonic hands of slumber
wrapped themselves around me...)"	
Message	None	"(Just as I realized what was happening,
I sunk into a deep, deep sleep...)"	
Message	Shido	Zzz...	
