Operator	Comment	Key	Translation
Message	None	"(Hm. I mean, I do have the lunch for Tohka too,
so I've got no choice but to tell her.)"	
Message	Shido	"H-Hey, Tohka. You see, Rinne prepared lunch
for you too, and I have it with me..."	
Message	Tohka	Oh. I-I see...	
Message	Shido	"I want to eat the lunch you made, but I've also
got Rinne's—"	
Message	Tohka	"So you would rather have Rinne's instead, is
that it?"	
Message	Shido	No, it's not about whose is better—	
Message	Tohka	"Shido, you prefer a woman who's good in the
kitchen, right?"	
Message	Shido	Well, um, it's true, but that's—	
Message	Tohka	GRRR!	
Message	Shido	Tohka?! Where are you going?!	
Message	Shido	T-Tohka! Calm down!	
Message	Tohka	Sh-Shut up! No, I do not accept it! That's...	
Message	Origami	Shido! What's the matter with Tohka Yatogami?	
Message	Shido	Well, I think I upset her...	
Message	Tohka	Y-You're... taking Rinne's... GRRRR...	
Message	Shido	...?! Is T-Tohka in her Astral Dress?!	
Message	Origami	It's dangerous here! Shido, go to the shelter!	
Message	Shido	N-No! I'm going to try to convince her!	
Message	Origami	I can't leave you behind, Shido.	
Message	Shido	I know, but... Please let me handle this.	
Message	Origami	...	
Message	Shido	Tohka! Please, listen to me!	
Message	Tohka	"Origami Tobiichi, have you come to make a
fool of me?"	
Message	Shido	N-No! Origami is worried about you—	
Message	Tohka	"Sh-Shido... So instead of choosing me, you've
chosen Rinne and Origami Tobiichi... G...GRRR!"	
Message	Shido	This is all a misunderstanding!	
Message	Shido	?	
Message	Kotori	"H-Hey, Shido! What are you doing?! Get out
of there! Tohka's stress levels are—! Onii-chan!
Run for it!"	
Message	Shido	"Huh? What'd you say? Kotori, what's the
matter?! I can't hear. It's too noisy!"	
Message	Kotori	"J-Just shut up and run for it! At this rate,
Tohka will—"	
Message	Tohka	No... I won't... ever let that happen.	
Message	Shido	H-Hey, Tohka...?	
Message	Tohka	I... WON'T LET THAT HAPPENNNNNNNNNNN!	
Message	Shido	WHOAAAAA!	
Message	???	"...In this dream... no one can become happy...
Shido Itsuka... I hope your next dream will be
a happy one..."	
