Operator	Comment	Key	Translation
Message	Shido	I'm heading out!	
Message	Kotori	Oh, wait a minute.	
Message	Shido	Hm? What is it?	
Message	Kotori	Your collar is messed up.	
Message	Shido	Huh? Really?	
Message	Kotori	Just let me. Jeez, pull yourself together.	
Message	None	"(Whoa. H-Her face is so close... I never
thought about this, but seeing Kotori up
close, she's maturing so much...)"	
Message	Kotori	What's on your mind?	
Message	Shido	Oh, nothing...	
Message	Kotori	"I bet you anything that something stupid
crossed your mind."	
Message	Shido	...	
Message	Kotori	Here you go.	
Message	Shido	Th-Thanks...	
Message	Kotori	"No need to thank me. If you're not dressed
right, you'll embarrass me."	
Message	None	"(What? Kotori's acting kinda weird.
Is it me... or is she blushing?)"	
Message	None	"(It sorta feels like she doesn't remember
interactions we've had from one day to
the next.)"	
Message	Kotori	Well, you have a nice day.	
Message	Shido	R-Right... Thanks. Bye.	
