Operator	Comment	Key	Translation
Message	Shido	"Excuse meeeee. Reine-san, are you around?
I was going to invite Kotori to grab a bite to
eat—Oh. She's not here."	
Message	Shido	Mmm... A phone call?! Speak of the devil.	
Message	Shido	Hey, Kotori. What's the matter?	
Message	Kotori	"Oh, Shido? You had PE today, right? Did you\nbring your gym clothes?"	
Message	Shido	Huh...? Y-Yeah, I did... Why?	
Message	Kotori	"Oh... I-I see. A-As long as you did,\nthat's fine."	
Message	Shido	I... Is that all?	
Message	Kotori	"What? Got a problem with that? I mean, I don't\nwant a situation where you enter class naked,\nsending Tohka's emotional state into chaos."	
Message	Shido	"Even if I did forget my clothes, it wouldn't
pan out like that!"	
Message	Kotori	"Hmph. We'll see."	
Message	Shido	You know...	
Message	Kotori	"So long as you didn't forget them,\nit's fine. Bye!"	
Message	Shido	Oh, Kotori...	
Message	Kotori	"What?!"	
Message	Shido	"Thanks for looking out. I feel so much better
after hearing your voice."	
Message	Kotori	"...! D-Don't be stupid!"	
Message	Kotori	"I don't have time to waste! I'm hanging up!"	
Message	Shido	Oh, hey! Why don't we have lunch toge—	
Message	Shido	...Sh-She hung up.	
Message	None	"(But... I wonder what Kotori called me for?
Maybe she wanted to hear my voice, too.)"	
Message	Shido	Nahhh. No way.	
Message	Shido	"Oh well. I'll just head for class and eat my
lunch."	
