Operator	Comment	Key	Translation
Message	Shido	"All right. I'm going to ask Kotori out on a date
today."	
Message	Kotori	...Hello?	
Message	Shido	Hey, it's me.	
Message	Kotori	Shido? What do you want?	
Message	Shido	"Uh, I was wondering if you wanted to go on a
date today."	
Message	Kotori	A date, huh...?	
Message	Shido	Are you busy?	
Message	Kotori	Not really. Fine, let's go on a date.	
Message	None	(Huh...? That sure seemed... easy. Weird...)	
Message	Kotori	What?!	
Message	Shido	"Oh, nothing. So where should we meet?"""	
Message	Kotori	I think we should stay home today.	
Message	Shido	What?	
Message	Kotori	Th-The weather channel said it might rain\nthis evening...	
Message	Shido	"What? Really? But it's so nice out. I don't
remember hearing about that on the weather
channel."	
Message	Kotori	Wh-Who cares! ANYWAYS! We'll have our\ndate at home!	
Message	Shido	O-Okay... Got it.	
Message	Kotori	Later!	
Message	Shido	...Why was Kotori so emotional?	
Message	Shido	I'm hoooome.	
Message	Kotori	You're late!	
Message	Shido	N-No way. I didn't stop anywhere on the way.	
Message	Kotori	"Is that why it took you so long getting home?
Jeez, you're slow in every way."	
Message	None	(She's... acting her like usual self, huh?)	
Message	None	"(Kotori was gung-ho all morning, but maybe
I was just imagining things...?)"	
Message	Kotori	Shido...	
Message	Shido	Hm? Y-Yeah... What's up?	
Message	Kotori	Don't just stand there. Sit down.	
Message	Shido	O-Okay. Huh? Where's everyone else?	
Message	Kotori	"Beats me. No one was here by the time
I came home."	
Message	Shido	That's odd. I wonder where they went.	
Message	Kotori	"We're in the middle of a date, and you're
worrying about other girls?"	
Message	Shido	No. It's not like that.	
Message	Kotori	Hmph. Suspicious.	
Message	Kotori	Whatever. Now you sit there. I'll pour some tea.	
Message	Shido	Oh, I will...	
Message	Kotori	I said I'm going to do it!	
Message	Shido	I-I see. Thanks, Kotori.	
Message	Kotori	Hmph.	
Message	Shido	...	
Message	Shido	Kotori... is really aggressive.	
Message	Shido	"Hm. I wonder if it's okay for me to let her
do it."	
Message	Shido	"I have nothing to do while I wait, so maybe
I could help her out."	
Message	Kotori	Huh? Aah!	
Message	Shido	S-Sorry! Are you okay? Are you hurt at all?	
Message	Kotori	Y-Yeah.	
Message	Shido	Okay, good.	
Message	Kotori	But... my clothes are wet.	
Message	Shido	I guess you'll have to take a bath and change.	
Message	Kotori	"Huh? I-It's fine. This is nothing. It'll dry
eventually."	
Message	Shido	But what if you catch a cold?	
Message	Kotori	Oh...	
Message	Shido	Come on. I'll clean up.	
Message	Kotori	B-But...	
Message	Shido	Why are you resisting?	
Message	Kotori	Because... I'm finally alone with you...	
Message	Shido	Huh?	
Message	Kotori	"We're on a date, and I don't want to spend
time on that."	
Message	None	(WH-WH-WH-WH-WH-WHAT IS KOTORI SAYING?!)	
Message	None	"(It's almost like she doesn't want to bathe
because she wants to be with me as long as
possible. Nonono. That's my sister. It can't be.)"	
Message	None	"(A-Anyways, I should calm down. It should be
my priority to have her take a bath. Yeah, that's
right. Think about the rest later, right? Yeah!)"	
Message	Shido	G-Go on! Just take a bath, okay?!	
Message	Kotori	B-But...	
Message	Shido	I-I'll go with you! So, come on!	
Message	Kotori	Huh...?	
Message	Shido	How did things come to this?	
Message	None	(Uh, no. This was all my fault.)	
Message	None	"(I never thought Kotori would agree to it! I
thought she'd call me a big pervert! Then, she'd
punch me and storm off to the bathroom.)"	
Message	Kotori	Shido, I'm going in, so turn around.	
Message	Shido	O-Okay.	
Message	Kotori	...	
Message	Shido	...	
