Operator	Comment	Key	Translation
Message	Shido	Phew.	
Message	Shido	Oh. Good morning, Origami.	
Message	Origami	...	
Message	Shido	Hm? What's the matter?	
Message	Origami	Did you see? The notebook.	
Message	Shido	"Yeah. Someone with good handwriting wrote
in it."	
Message	Origami	"You studied at home as well? You're diligent.
Good boy."	
Message	Shido	Th-Thanks. I kinda have to, but thanks.	
Message	Origami	Huh...?	
Message	Shido	"The reason why I bothered to study was all
thanks to you."	
Message	Shido	"I mean, look at how much you've taught me,
right? It sure increased my motivation."	
Message	Origami	I see.	
Message	Shido	Yeah...	
Message	Origami	...	
Message	Shido	Um...	
Message	Tonomachi	Yo, Itsuka!	
Message	Shido	Aah! What are you doing, Tonomachi?!	
Message	Tonomachi	"HAHAHA! This is my way of saying good morning
to ya!"	
Message	Shido	"Since when do you say good morning like this?!
And what if your hand leaves a mark?!"	
Message	Tonomachi	What's the point if I don't leave a mark?	
Message	Shido	...What?	
Message	Tonomachi	"It's obvious just looking at you, but you really
are a horn dog."	
Message	Tonomachi	"If I leave you be, you'll cheat on me, right?
I'm leaving my mark on you in case it ever
happens. That way, you won't cheat! Huzzah!"	
Message	Shido	"Don't huzzah me! Seriously, cut it out or
I'll have to take drastic measures."	
Message	Tonomachi	"HAHAHA! What are you talking about, Itsuka?!
Our future is forever entwined! Don't worry!
HAHAHAHA!"	
Message	None	"(I am going to stop being his friend.
THIS IS THE LAST STRAW!)"	
