Operator	Comment	Key	Translation
Message	Tohka	Yawn... Yaaaaaawn...	
Message	Shido	Oh, Tohka. Morning. You seem pretty sleepy.	
Message	Tohka	...Mmh.	
Message	Shido	Were you up late studying or something?	
Message	Tohka	...Mhmm.	
Message	None	(Wha... That was supposed to be a joke, but...)	
Message	Shido	"I-I see. That must have been tough.
Breakfast's ready."	
Message	Tohka	"...Polite phrases...tolerance...calm...
*mutter* *mumble*..."	
Message	Shido	Tohka?	
Message	Tohka	"...Well mannered...graceful...a soft demeanor...
*mumble* *mutter*..."	
Message	Shido	Heeeey.	
Message	Tohka	Hmm...?	
Message	Shido	Breakfast. Aren't you gonna eat? It'll get cold.	
Message	Tohka	I-I apologize...	
Message	Tohka	I-I'll eat now.	
Message	Shido	Yeah, help yourself.	
Message	None	"(For Tohka to ignore food and be engrossed
in studies... Is it going to snow tomorrow
or something?)"	
Message	Tohka	Hm? I don't see Rinne anywhere.	
Message	Shido	Huh? Did I not tell you, Tohka?	
Message	Shido	"I decided today that I'll be taking care of
everything. I used to do it all before
anyway, so..."	
Message	Shido	"Besides, even though our test is so close, if I
take any more of Rinne's time, I'd feel bad
for her."	
Message	Tohka	"Hmm... I see... When someone who was usually there
no longer is, well... it is somewhat sad."	
Message	Shido	"Y-You're right... It is kinda sad. I got used to
the daily routine of being woken up by Rinne
and enjoying her delicious cooking..."	
Message	Shido	Now that she's not here... I guess I'm sad.	
Message	Tohka	Hm. I-I see...	
Message	Shido	"Hmm, what's wrong, Tohka? I'm not used to seeing
you eat so slowly."	
Message	Tohka	"Th-That is not true! Th-This is always how I am.
I am refined!"	
Message	None	(Huh? Refined...? Tohka...?)	
Message	Tohka	Wh-What? Is there something on my face?	
Message	Shido	No, nothing...	
Message	None	"(Hmmmm... Tohka's not herself.
It's kinda throwing me off...)"	
Message	Shido	...Hey, Tohka?	
Message	Tohka	"...Support men...depend on men...take a step
back...*mutter* *mumble*...*mumble* *mutter*..."	
Message	Shido	Heeeeey...	
Message	Tohka	"...Be honest...be good at listening...listen with
a smile...*mumble, mumble* *mutter*..."	
Message	None	"(I-It's no use... Looks like she's
not listening at all.)"	
Message	None	"(It sounded like she was memorizing vocabulary
during breakfast. She seems to be taking the
test seriously...)"	
Message	None	"(It'd be rude of me to bother Tohka when she's
challenging herself. Yeah, I'll leave her alone
for a while...)"	
Message	None	"(The weather's nice today. But even on a
refreshing morning like this, the reality is that
awful things are happening here in Tengu City...)"	
Message	None	"(Now that I remember, I wonder what that
""barrier's foothold"" was that Kotori
mentioned yesterday...)"	
Message	None	"(It's apparently something that's not
noticeable... but then how are we
supposed to look for it?)"	
Message	None	"(Even if I can't tell, maybe it's something that
Tohka and the other Spirits can sense?)"	
Message	None	Huh?! T-Tohka's not here!	
Message	Shido	Hey, Tohka! Where are you?!	
