Operator	Comment	Key	Translation
Message	Shido	"Breakfast is all good... and so is lunch.
Looks like I'm done with today's preparations."	
Message	Shido	"...Yoshino, thanks for helping
with breakfast today."	
Message	Yoshino	...Y-Yes.	
Message	Shido	I guess I'll call for everyone, then.	
Message	Shido	...Hmm?	
Message	Yoshino	......	
Message	Yoshinon	"......"	
Message	None	"(Is Yoshino staying in the kitchen?
What is she doing with Yoshinon?)"	
Message	Yoshino	......	
Message	Yoshinon	"......"	
Message	Shido	Heeey, Yoshino? It's breakfast time...	
Message	Yoshino	Y-Yes. I-I'll... be right there.	
Message	Shido	...?	
