Operator	Comment	Key	Translation
Message	None	"(I ended up attending school, but I can't
bring myself to calm down today.)"	
Message	None	"(If I'm in this kind of mood, I can't enjoy a
date with anyone. That'll have to change.)"	
Message	Shido	Whoa!!	
Message	???	...!	
Message	Shido	Ouch. Sorry, are you okay? —Ack!	
Message	Origami	I'm fine.	
Message	None	"(No! That's not fine! That is the furthest
thing from fine!)"	
Message	Origami	...?	
Message	Shido	H-Here! L-Lemme help you up!	
Message	Origami	Thank you.	
Message	Shido	No, I'm sorry. I was thinking about something...	
Message	Origami	Thinking?	
Message	Shido	Yeah, but it's nothing. Don't worry!	
Message	Origami	I see. If you say so.	
Message	Shido	Um. The bell's about to ring, huh?	
Message	Origami	In 5 minutes and 17 seconds...	
Message	Shido	"Gotcha. Then we should sit at our desks.
Why don't we head into the classroom?"	
Message	Origami	Mm...	
Message	None	"(Phew. I wonder. I don't really get it, but I
felt tired all of a sudden. I gotta stop
thinking while I walk. Yeah...)"	
