Operator	Comment	Key	Translation
Message	???	...	
Message	Kurumi	"My, my. Someone has a lot of friends...
This isn't going to end, is it?"	
Message	Kurumi	"Hehe, hehehe... Aah... So scary. So spooky.
I'm a princess who needs someone to save
me from all these baddies..."	
Message	Kurumi	"Hee hee... Hihihihi... I've had my fun.
Time to get serious. I don't want to keep
Shido-san waiting much longer."	
Message	Kurumi	Right? We—	
Message	Kurumi	"Now, now. I'll show you just who's at a
disadvantage here!"	
Message	Kurumi	Hee hee...	
Message	Kurumi	My, my.	
Message	Kurumi	Hehe...	
Message	Kurumi	Kihihihi!	
Message	Kurumi	AHAHAHA!	
Message	Kurumi	Shido-san, please hang on a bit longer...	
Message	Kurumi	Now, now.	
Message	Kurumi	Hihihihi!	
Message	Kurumi	Hehe...	
Message	Kurumi	Say something? How's this!	
Message	Kurumi	My, thinking of giving up?	
Message	Kurumi	"You don't look too tasty, but now's not
the time to be picky!"	
Message	Kurumi	Hee hee... Hihi! Kihihihihi!	
Message	Kurumi	Kihi! Kihihi kihihihi! We are good! GOOD!	
Message	Kurumi	Now, the closing number. I'll drink it all.	
Message	Kurumi	I certainly made a meal of things.	
Message	Kurumi	I hope Shido-san is still safe...	
Message	Shido	"Hm?! K-Kotori! I think the barriers are
gone!"	
Message	Kotori	Great news. Everyone did their jobs.	
Message	Tohka	Shido, go on ahead!	
Message	Shido	Huh? But—!	
Message	Kotori	"Tohka's right. They keep coming back.
We'll hold them, so get in there!"	
Message	Tohka	Go! Shido! You'll stop Ruler, won't you?!	
Message	Shido	"Rgh... Got it! Don't push yourselves too hard,
okay?!"	
Message	Kotori	"Hmph. You're one to talk, Shido! If you die,
I'll never let you rest in peace!"	
Message	Shido	O-Okay! I promise I'll come back alive!	
Message	None	"(I have to learn... what Ruler really wants.
Why did she create this barrier, and why is
she after me? There's so much... I don't know!)"	
Message	None	"(One more thing, there's one more thing
I need to know... Ruler's true identity!)"	
Message	None	"(If... If what I think is true, then...
Why... Why did she—?)"	
Message	Tohka	Urgh! There are more!	
Message	Kotori	"Sorry for dragging you down in the
trenches with me, Tohka."	
Message	Tohka	"Don't worry. In order to give Shido a chance,
we had to restrain the enemy attack."	
Message	Tohka	Kotori! We mustn't hold back!	
Message	Kotori	"Yes, let's get this over with and meet up
with Shido!"	
Message	Tohka	"Got it! No doubt Shido will need our help
soon!"	
Message	Kotori	All right, come at me!	
Message	Tohka	I won't let a single soul pass through me.	
Message	Shido	WHAT?! What is this place?!	
Message	None	"(The inside of Neo Tengu Tower was unlike
anything I'd ever seen.)"	
Message	None	"(Branches stretched over the walls and ground,
reinforced by metallic roots. At the center,
I saw something floating in mid-air.)"	
Message	Shido	What the hell is going on here?!	
Message	None	"(No, I can't stop now. Ruler's gotta be
here somewhere!)"	
Message	None	"(Um, elevator? Of course not, what am I
thinking?)"	
Message	None	(Hm. That's... a spiral staircase, right?)	
Message	Shido	I can climb that... Perfect!	
Message	None	"(My trip up the staircase took far longer than
I would've liked to admit.)"	
Message	None	"(I feel my mouth drying up. My tongue's stuck
to the roof of my mouth.)"	
Message	None	Are you giving up the happiness you asked for?	
Message	Shido	RULER?!	
Message	None	"Everything went to plan, you should be happy.
Why? You had it all... Wasn't it enough?"	
Message	Shido	What is this?!	
Message	Shido	*grunt*...!	
Message	None	"(In this world, your wildest dreams can come
true. But it's just an illusion.
It can't be real. That's why I'm going...)"	
Message	None	(To see her! Ruler!)	
Message	Shido	*pant, pant*... Am I here?	
Message	Shido	Is this it? The highest floor?	
Message	???	I knew it.	
Message	Shido	That voice. Rinne, is that you?	
Message	Rinne	Haha. You've finally come, Shido.	
Message	Shido	Rinne?! Does that mean I was right?	
Message	Rinne	"Hehe. Figured it out? Everything is as you
thought, Shido. I am... Ruler."	
Message	Shido	...?!	
Message	Shido	Aah! AAAAH!	
Message	Shido	Why?! Why...?!	
Message	Ruler	"There is no reason. My purpose was determined
for me at birth."	
Message	Ruler	"I am the ruler of Eden, and Shido Itsuka...
I am the one who trapped you inside this world."	
Message	Shido	Why? WHY?! Why would you do that, Rinne?!	
Message	Ruler	"From the beginning, I was never your childhood
friend. It was all fake. I implanted my existence
into your and everyone else's minds."	
Message	Shido	...?!	
Message	None	"(It started as a hunch. Things that didn't quite
make sense began piling up.)"	
Message	None	"("There's no way Rinne's a Spirit," I told
myself.)"	
Message	Ruler	"How did you realize it, though? I wish you never
had. That way, we could live in Eden forever..."	
Message	Ruler	"A happy and just world, right Shido? Isn't
that what you wanted too?"	
Message	Shido	"So, that's why you trapped us... Why me?
Why?"	
Message	Ruler	You don't need to know the answer.	
Message	Shido	W-Wait, Rinne! Listen to me!	
Message	Ruler	You won't understan—	
Message	Shido	I want to go home with you!	
Message	Ruler	...?!	
Message	Shido	"You may not be my childhood friend!
You may be the one who trapped us
here in the first place!"	
Message	Shido	"But even so! It doesn't change the memories
of when we were together, sharing laughs,
crying together. The time we spent isn't a lie!"	
Message	Shido	"You're a part of my life! I want to go back to
the way things were, together!"	
Message	Ruler	Shi...do?	
Message	Shido	"Please! We're in this together! We'll find a way
to be together even after we leave this world!
A future for you, me, and everyone... Together!"	
Message	Rinne	"Shido, you're always so honest... Listening
to you makes me believe that it's possible."	
Message	Shido	Can't you see now, Rinne?	
Message	Rinne	Well... Sorry, Shido. That future is impossible.	
Message	Shido	Wh...Why?!	
Message	Rinne	"I'm grateful to have made an impact on your
life. Our friendship meant everything to me."	
Message	Shido	THEN—!	
Message	Rinne	"However... I cannot let Eden fall! Not now,
not ever!"	
Message	Shido	Rinne? Wait!	
