Operator	Comment	Key	Translation
Message	None	(Sorry, Kotori. I'll call you back later.)	
Message	None	"(I'm putting Origami first. I promised
her I'd be there forever.)"	
Message	None	"(Our war has just begun! I'm going to win,
and help her... reclaim lost time. Her smile,
her heart. I'm going to restore them!)"	
Message	Origami	Are you sure about that?	
Message	Shido	"Yeah! She probably wants to bring up dinner
or small talk."	
Message	Origami	I see. I'm glad.	
Message	Shido	Huh?	
Message	Origami	I don't think I could wait any longer.	
Message	Shido	...!	
Message	None	"(This is how Origami and I began life as a
couple.)"	
Message	None	"(People change. Relationships, heartbreak,
everything...)"	
Message	None	"(No matter what obstacles life threw at us,
we learned to heal. I know it to be true.)"	
Message	None	"(Of course. You can't let life pass you by.
Sometimes, you need to confront your demons.)"	
Message	None	"(The Spirits continued to trouble us. However,
we learned to live with them.)"	
Message	None	"(The biggest change came when Origami
resigned from AST. I asked if she was sure,
but she fell into my arms, crying.)"	
Message	None	"(It was as if the heavens shattered, as rain
began to pour. Origami cried and cried and
cried. All of her emotions rushed forth.)"	
Message	None	"(She told me her hatred never truly left her.
Nor could she fully escape her tortured past.)"	
Message	None	"(But... She has me. Someone who will remain
at her side forever. That's all she needs.)"	
Message	None	"(I nodded and hugged Origami with as much
kindness as she wanted, then I looked her
in the eye.)"	
Message	Shido	Oh, it moved. Origami, it just moved.	
Message	Origami	So energetic. Like someone I know.	
Message	Shido	Y-Yeah. I know!	
Message	Origami	"I hope it's got some spunk. This is the
proof of our love."	
Message	Shido	Yes. I hope so, too.	
Message	Origami	Hehe...	
Message	None	(At last, our private war had ended.)	
Message	None	"(Now, a new era will begin with this
soon-to-be-named life.)"	
Message	None	"(An era that could take up the rest of our
lives, protecting what's dear to us.)"	
Message	Shido	"Oh, we need to think of a name soon.
Got any ideas, Origami?"	
Message	Origami	Yes. Our child's name will be...	
