Operator	Comment	Key	Translation
Message	Shido	"Yoshino, Yoshinon. I'm sorry, could you give
me a second?"	
Message	Yoshino	Y-Yes...	
Message	Yoshinon	"Make it quick, okay?"	
Message	Shido	Yeah...	
Message	Kotori	"...Hey, what are you dawdling for?!"	
Message	Shido	Y-Yeah... Sorry.	
Message	Kotori	"It's an emergency situation. We've found the\nenemy's location."	
Message	Shido	E-Enemy...?	
Message	Kotori	"It seems like the Neo Tengu Tower was the\ncause of the barrier."	
Message	Shido	"...Enemy? Neo Tengu Tower...?
Wait a second! What are you talking about?"	
Message	Kotori	"What? Shido, are you already going senile?\n Is something wrong with you?"	
Message	Shido	...Huh?	
Message	Shido	Ngh!	
Message	Kotori	"Hey, you okay?"	
Message	Shido	"Yeah... Sorry. Something really must have been
wrong with me. Is what you said just now true?"	
Message	Kotori	"Yes. I'm being absolutely serious. You're...\nwith Yoshino right now, aren't you?"	
Message	Shido	Yeah.	
Message	Kotori	"Sorry, but you need to head towards Neo Tengu\nTower with her."	
Message	Shido	Th-That's...	
Message	None	"(Yoshino finally just reunited with Yoshinon.
Asking her to fight all of a sudden is...)"	
Message	Kotori	"I know what you want to say, Shido, but the\nonly Spirit whose power is currently stable\nis Yoshino. Do you understand?"	
Message	Shido	I understand, but...	
Message	Yoshino	...Shido-san.	
Message	Shido	Yoshino...	
Message	Yoshino	There's something... only I can do... right...?	
Message	Shido	Yeah, but...	
Message	Yoshino	I'll... go!	
Message	Shido	But you've only just reunited with Yoshinon!	
Message	Yoshino	Shido-san, you taught me...	
Message	Yoshino	"When someone's in trouble, you need to
assist them."	
Message	Shido	I see. You're right.	
Message	Yoshinon	"Alrighty, it's been a while since we've cut\nloose!"	
Message	Shido	"Neo Tengu Tower... was the enemy's base all
along."	
Message	Shido	Yoshino, you sure that's okay?	
Message	Yoshino	I'm fine... I'm with you, too, Shido-san...	
Message	Shido	...Thanks. Let's go, Yoshino!	
Message	Yoshino	Okay... Shido-san!	
Message	Shido	...?!	
Message	Shido	You're... from my dream...?	
Message	Yoshino	Who... are you...?	
Message	???	No one desires that ending...	
Message	Shido	No one... desires...?	
Message	???	"You should have stayed like this, within the
happy slumber that I have woven..."	
Message	Shido	What are you saying...?	
Message	Yoshino	Is this person... a Spirit...?	
Message	Shido	"I don't know, but this isn't the first time I've
met her."	
Message	???	"I am the one who controls this world, who rules
over this paradise. If you were to refer to me by
an identification name, it would be "Ruler.""	
Message	Ruler	"However, there is no use in telling you this,
for I intend to banish you."	
Message	Yoshino	Shido-san...! Watch out!	
Message	Ruler	"I see... I will teach you. Just how much of
a foolish and fragile being you are."	
Message	Yoshino	Huh? ...Wh-Why?! Please move! Move, Zadkiel!	
Message	Yoshinon	"I-It's no good! It's like I'm not in my own\nbody!"	
Message	Shido	Yoshino... Yoshinon!!	
Message	Yoshino	Shido-san...!!	
Message	Ruler	Scatter.	
Message	Yoshino	...?! Kyaaaaaaaaaa!	
Message	Shido	YOSHINOOOO!! Damn it... Why?!	
Message	Ruler	"...Good-bye, Shido Itsuka.
I pray that next time, you have a pleasant dream."	
Message	Ruler	"Even though you promised...
you said you would only cherish Yoshino..."	
