Operator	Comment	Key	Translation
Message	Shido	Where am I? Am I back in Tengu City?	¿Dónde estoy? ¿He vuelto a Ciudad Tengu?
Message	Shido	What the—?! What is that thing?!	¡¿Qué...?! ¡¿Qué es esa cosa?!
Message	Shido	Is that Neo Tengu Tower?! What's going on?!	¡¿Esa es la Torre Neo Tengu?! ¡¿Qué está pasando?!
Message	Shido	And where's everyone else?! Rinne's still separated from me!	¡¿Y dónde están todos los demás?! ¡Rinne sigue separada de mí!
Message		"(Rinne, you're safe, right? Please, tell me you're just hiding
somewhere.)"	(Rinne, estás a salvo, ¿verdad? Por favor, dime que estás escondida en algún sitio).
Message		"(Come on. That has to be the case. I mean, she can't be gone. How
can Rinne be...)"	(Vamos. Ese tiene que ser el caso. Quiero decir, ella no puede haberse ido. ¿Cómo puede Rinne estar...)
Message	Kotori	Shido! You made it through!	¡Shido! ¡Lo has conseguido!
Message	Shido	Kotori?! Everyone! You guys are safe?!	¡¿Kotori?! ¡Todos! ¡¿Estáis a salvo?!
Message		"(...?! Kotori's wearing her Astral Dress.
Wait, are her regeneration powers back?)"	¡(...?! Kotori lleva su Vestido Astral.  Espera, ¿han vuelto sus poderes de regeneración?)
Message	Kotori	"Yes. Seems like everyone got out. But...
There's something up with Tengu City.
Especially Neo Tengu Tower. It's ominous..."	Sí. Parece que todos salieron. Pero...  Algo pasa con la Ciudad Tengu.  Especialmente la Torre Neo Tengu. Es siniestro...
Message	Shido	Yeah, seems like it.	Sí, eso parece.
Message	Kurumi	Is that all you're worried about?	¿Eso es todo lo que te preocupa?
Message	Shido	Kurumi, can I trust you as an ally?	Kurumi, ¿puedo confiar en ti como aliada?
Message	Kurumi	"Yes. With regards to our situation, I promise to cooperate. I
refuse to be sucked in. Although, I do not intend on asking you to
trust me."	Sí. Con respecto a nuestra situación, prometo cooperar. Me niego a ser absorbido. Aunque, no pretendo pedirle que confíe en mí.
Message	Shido	"Don't be like that. If you ask me to trust you, I will. A
temporary truce will do. Thanks for your help."	No seas así. Si me pides que confíe en ti, lo haré. Una tregua temporal bastará. Gracias por tu ayuda.
Message	Kurumi	"My, my. I suppose I have no choice but to do my best when you put
it that way. Why the change of heart?"	Vaya, vaya. Supongo que no tengo más remedio que hacerlo lo mejor posible cuando lo pones de esa manera. ¿Por qué el cambio de corazón?
Message	Shido	"I'm... starting to remember. The memory of dating you is coming
back to me."	Estoy... empezando a recordar. El recuerdo de salir contigo está volviendo a mí.
Message	Kurumi	Oh, is that so? I have recollection of it.	¿Ah, sí? Lo recuerdo.
Message	Shido	"I can't blame you, but I remember it clearly.
Hence why I've decided to trust you."	No puedo culparte, pero lo recuerdo claramente.  Por eso he decidido confiar en ti.
Message	Kurumi	"Hehe. I see. An interesting train of thought.
So that's his take, but what about you?
Glaring at me forever must be so tiring."	Jeje. Ya veo. Una línea de pensamiento interesante.  Así que esa es su opinión, pero ¿qué hay de ti?  Estar siempre mirándome debe ser muy cansado.
Message	Kotori	If Shido says so, then I won't object.	Si Shido lo dice, entonces no me opondré.
Message	Kotori	"Well, I think I believe you. So long as we share a common goal,
I'll trust you. You don't seem foolish enough to mistake our
predicament."	Bueno, creo que te creo. Mientras compartamos un objetivo común, confiaré en ti. No pareces tan tonto como para confundir nuestro predicamento.
Message	Kurumi	Compliment taken, I suppose.	Supongo que acepto el cumplido.
