Operator	Comment	Key	Translation
Message		"(...How strange. How can the memory of a
world long passed still exist...?)"	(...Qué extraño. ¿Cómo puede seguir existiendo el recuerdo de un mundo que pasó hace tiempo?)
Message		(Did something happen to Eden...?)	(¿Le pasó algo a Edén...?)
Message		"(Was the reset incomplete? Or were all of
the resets finally too much to handle...?)"	(¿El reinicio fue incompleto? ¿O todos los reinicios fueron finalmente demasiado para manejar...?)
Message		"(There's a chance that this might cause an
issue with managing Eden...)"	(Existe la posibilidad de que esto cause un problema con la gestión de Eden...)
Message		(No, that can't happen. It mustn't...)	(No, eso no puede pasar. No debe...)
Message	Rinne	...do... Shido...	...do... Shido...
Message		(Huh...?)	(¿Eh...?)
Message	Rinne	"...rry up and wake...p...
You...unning out of...ime..."	...rry up and wake...p... Te...desvelas...fuera de...tiempo...
Message	Shido	Mm... Mmmm.	Mm... Mmmm.
Message	Rinne	Hehe... You awake?	Hehe... ¿Estás despierto?
Message	Shido	Mm, Rinne... Morning.	Mm, Rinne... Buenos días.
Message	Rinne	Yeah... Morning, Shido.	Sí... Buenos días, Shido.
Message	Shido	Hm? You seem down.	¿Qué? Pareces deprimido.
Message	Rinne	"Not at all! You're one to talk, Shido.
You were groaning in your sleep.
How are you feeling? Can you get up?"	¡En absoluto! Eres de los que hablan, Shido. Gemías mientras dormías. ¿Cómo te sientes? ¿Puedes levantarte?
Message	Shido	Huh? Oh, I'm totally fine! I'll get up now.	¿Eh? ¡Oh, estoy totalmente bien! Me levantaré ahora.
Message	Rinne	"Good. I've made breakfast, so come down
after you change, okay?"	Bien. He hecho el desayuno, así que baja después de cambiarte, ¿vale?
Message	Shido	Rinne...	Rinne...
Message	Rinne	Huh?	¿Eh?
Message	Shido	"Oh... Nothing. Just thinking about how
amazing you are..."	Oh... Nada. Sólo pensaba en lo increíble que eres...
Message	Rinne	Hehe... You finally up?	Hehe... ¿Por fin te has levantado?
Message	Shido	Mm, oh... Rinne. Morning...	Mm, oh... Rinne. Buenos días...
Message	Rinne	Good morning, Shido. Another beautiful day.	Buenos días, Shido. Otro hermoso día.
Message	Shido	Yeah. Seems like it.	Sí. Eso parece.
Message	Rinne	"You were tossing and turning all night.
You okay? Think you can get up?"	Estuviste dando vueltas en la cama toda la noche. ¿Estás bien? ¿Crees que podrás levantarte?
Message	Shido	Yeah. I'm fine... I'll get up.	Sí. Estoy bien... Me levantaré.
Message	Rinne	"Good. I've made breakfast, so come down
after you get changed, okay?"	Bien. He hecho el desayuno, así que baja después de cambiarte, ¿vale?
Message	Shido	Rinne... You're really one-in-a-million.	Rinne... Eres realmente uno en un millón.
Message	Rinne	"Hehe. Thanks. Be careful, though. Someone
might think you're trying to flirt with me."	Jeje. Gracias. Ten cuidado, sin embargo. Alguien podría pensar que estás tratando de coquetear conmigo.
Message	Shido	"No, I'm serious. I wish that... I could be
like you."	No, hablo en serio. Desearía que... pudiera ser como tú.
Message	Rinne	I'm flattered, but the praise is undeserved.	Me siento halagado, pero los elogios son inmerecidos.
Message	Rinne	"Besides, you shouldn't want to be anyone
else. Just focus on being yourself."	Además, no deberías querer ser nadie más. Céntrate en ser tú mismo.
Message	Shido	Mm, but I'm as average as can be...	Mm, pero soy lo más normal posible...
Message	Rinne	"Not at all. I can think of plenty likeable
things about you."	En absoluto. Puedo pensar en muchas cosas agradables sobre ti.
Message	Shido	Huh?	¿Eh?
Message	Rinne	"?! Oh, um... I was just talking to myself...
Nothing to see here."	¡?! Oh, um... Estaba hablando solo... No hay nada que ver aquí.
Message	Shido	Uh... Okay?	Uh... ¿Vale?
Message	Rinne	...	...
Message	Shido	...Rinne?	...¿Rinne?
Message	Rinne	"H-Hey, if we talk too much, you'll be late.
Shido, hurry up and get ready!"	H-Hey, si hablamos demasiado, llegarás tarde. ¡Shido, date prisa y prepárate!
Message	Rinne	"?! Oh, um... I was just talking to myself...
Yeah."	¡?! Oh, um... Estaba hablando solo... Sí.
Message	Shido	Uh... Okay?	Uh... ¿Vale?
Message	Rinne	"H-Hey, if we talk too much, you'll be late.
Shido, hurry up and get ready!"	H-Hey, si hablamos demasiado, llegarás tarde. ¡Shido, date prisa y prepárate!
Message	Shido	"Oh yeah, huh? Guess I'll get dressed
right away then."	Ah, sí, ¿eh? Supongo que me vestiré de inmediato entonces.
Message	Rinne	"Aah! Hey Shido! Don't start stripping down!
I'm still here!"	¡Aah! ¡Hey Shido! ¡No empieces a desnudarte! ¡Aún estoy aquí!
Message	Shido	Oh... R-Right. Sorry Rinne!	Oh... Correcto. ¡Lo siento Rinne!
Message	Rinne	"I-It's okay. Just make it quick, okay? I'll go
on ahead!"	Está bien. Sólo hazlo rápido, ¿de acuerdo? ¡Me adelantaré!
Message	Shido	H-Hey, Rinne!	¡H-Hey, Rinne!
Message	Shido	"...Rinne sure is acting weird.
Or am I imagining things?"	...Rinne está actuando raro. ¿O me estoy imaginando cosas?
Message		"(Crap, I did it again...
I guess old habits die hard.)"	(Mierda, lo he vuelto a hacer... Supongo que los viejos hábitos son difíciles de erradicar).
Message		"(Well, anyways... I'd better hurry up and get
dressed.)"	(Bueno, de todos modos... Será mejor que me dé prisa y me vista).
Message	Tohka	"Shidoooo! How much longer do you plan on
sleeping?!"	¡Shidoooo! ¡¿Cuánto tiempo más piensas dormir?!
Message	Shido	T-Tohka?	¿T-Tohka?
Message	Tohka	Oh!! Shido! Are you already awake?!	¡Oh! ¡Shido! ¡¿Ya estás despierto?!
Message	Tohka	Grr...	Grr...
Message	Shido	Why do you look so upset?	¿Por qué pareces tan disgustado?
Message	Tohka	"It came to my attention that you enjoy
being dropkicked awake!"	Me he enterado de que te gusta que te despierten a patadas.
Message	Shido	WHAT?!	¡¿QUÉ?!
Message		(Kotori, what have you been telling her?!)	(Kotori, ¡¿qué le has estado contando?!)
Message	Tohka	Grr... Seems as though I was too late...	Grr... Parece que llegué demasiado tarde...
Message	Shido	No, Tohka. You heard wrong.	No, Tohka. Has oído mal.
Message	Tohka	Hm? How do you mean?	¿Cómo? ¿Qué quieres decir?
Message	Shido	"Uh, you see... It's because I prefer to be woken
up gently."	Verás... Es porque prefiero que me despierten suavemente.
Message	Tohka	"Hm. Understood. Then I'll be sure to do so
next time."	Hm. Entendido. Entonces me aseguraré de hacerlo la próxima vez.
Message	Shido	Right.	Bien.
Message	Yoshino	Shido-san... Good morning!	Shido-san... ¡Buenos días!
Message	Yoshinon	Hey hey, Shido! You're up!	¡Eh, eh, Shido! ¡Arriba!
Message	Shido	Oh. It's Yoshino and Yoshinon. Mornin'.	Oh. Son Yoshino y Yoshinon. Buenos días.
Message	Yoshino	Y... Yes!	Y... ¡Sí!
Message	Yoshinon	Heeeeey. Real sorry to see that happened to\nyou, Shido. If you slept for just a bit longer,\nYoshino might've been the one to wake you.	Heeeeey. Siento mucho lo que te ha pasado, Shido. Si hubieras dormido un poco más, Yoshino podría haber sido quien te despertara.
Message	Yoshino	...	...
Message	Shido	"R-Right. At least I'll have that to look forward
to next time."	Correcto. Al menos tendré que esperar a la próxima vez.
Message	Tohka	Mm...	Mm...
Message	Shido	Hm? What's up, Tohka?	¿Eh? ¿Qué pasa, Tohka?
Message	Tohka	Shido... I want you to tell me something.	Shido... Quiero que me digas algo.
Message	Shido	What is it?	¿De qué se trata?
Message	Tohka	"What exactly is a dropkick""? How does dropping come into play?"""	"¿Qué es exactamente una ""dropkick""? ¿Cómo entra en juego el ""dropkick""?"""
Message	Shido	Huh?	¿Eh?
Message	Shido	"Tohka... What were you planning to do if I
had still been asleep...?"	Tohka... ¿Qué pensabas hacer si aún hubiera estado dormido...?
Message	Tohka	Hm. Well, you see, there's the dilemma.	Hm. Bueno, verás, ahí está el dilema.
Message	Shido	What do you mean?	¿A qué te refieres?
Message	Tohka	"Well, I wasn't sure if I was supposed to suck
on a gumdrop while kicking you, or if I was
supposed to shove one in your mouth first."	Bueno, no estaba seguro de si debía chupar un chicle mientras te pateaba, o si debía meterte uno en la boca primero.
Message	Shido	Uh... Well... Hm...	Uh... Bueno... Hm...
Message	Tohka	"If you're so hesitant to answer... Is it because
a real dropkick is far more dangerous?!"	Si tienes tantas dudas para responder... ¡¿Es porque un dropkick real es mucho más peligroso?!
Message	Shido	"No, it's not like that. Uh, how do I put this?
I think it's a different kind of danger than
the one you're thinking of, Tohka."	No, no es así. ¿Cómo lo digo? Creo que es un tipo de peligro diferente al que estás pensando, Tohka.
Message	Tohka	Hmm...? What do you mean?	¿Hmm...? ¿A qué te refieres?
Message	Tohka	"*gasp*! Don't tell me they poisoned
the gumdrop?!"	¡*gasp*! ¡¿No me digas que envenenaron a la gominola?!
Message	Shido	"No... It's not like that either! Simply put, a
dropkick is a two-footed kick delivered in
mid-air."	No... ¡Tampoco es así! En pocas palabras, una dropkick es una patada con los dos pies en el aire.
Message	Tohka	Hm... Is that so?	Hm... ¿Es así?
Message	Shido	Yeah.	Sí.
Message	Tohka	"I see. It makes sense that one would be easily
awoken from that!"	Ya veo. ¡Tiene sentido que uno se despierte fácilmente de eso!
Message	Shido	"Wait, that wasn't an invitation
to do it, though!"	Espera, ¡eso no era una invitación a hacerlo!
Message	Tohka	H-Huh...?	¿H-Huh...?
Message	Shido	"Anyway, Tohka and Yoshino...
I'm going to get dressed, so would you two mind
going on ahead?"	En fin, Tohka y Yoshino... Voy a vestirme, ¿os importaría ir delante?
Message	Tohka	Be quick about it, okay? Breakfast is prepared.	Date prisa, ¿vale? El desayuno está preparado.
Message	Yoshino	...	...
Message	Shido	Uh... Yoshino?	Uh... ¿Yoshino?
Message	Yoshino	Y-Yes?!	¿Sí?
Message	Shido	Would you mind joining her downstairs?	¿Te importaría acompañarla abajo?
Message	Yoshino	...Okay.	...de acuerdo.
Message	Yoshinon	Gosh, Shido. You're so shy.	Dios, Shido. Eres tan tímido.
Message	Shido	"Finally, they're gone... When everyone's here,
the mornings are pure chaos."	Finalmente, se han ido... Cuando todos están aquí, las mañanas son puro caos.
Message		"(But there's some comfort to be found in
this kind of chaos, I suppose.)"	(Pero se puede encontrar cierto consuelo en este tipo de caos, supongo).
Message		"(Neatly laid out on the dining table was the
breakfast Rinne had prepared.)"	(En la mesa del comedor estaba el desayuno que Rinne había preparado).
Message		"(White rice, miso soup with tofu and green
onion, fried fish, and an omelette. She even
had natto, seaweed, and pickles as sides...)"	(Arroz blanco, sopa de miso con tofu y cebolla verde, pescado frito y una tortilla. Incluso tenía natto, algas y encurtidos como guarnición...).
Message		"(All the makings of a traditional Japanese
breakfast. I could never whip up a meal this
elaborate by myself.)"	(Todos los ingredientes de un desayuno tradicional japonés. Nunca podría preparar una comida tan elaborada yo sola).
Message	Rinne	"Seems like everyone's seated. Now, let's
dig in!"	Parece que todo el mundo está sentado. Ahora, ¡a comer!
Message	Tohka	Okay! I shall dive right in!	¡Vale! ¡Voy a sumergirme de lleno!
Message	Tohka	Delicious! Today's breakfast is exquisite!	¡Delicioso! ¡El desayuno de hoy es exquisito!
Message	Tohka	"Mmm! This omelette... So fluffy on the outside.
Yet, the warm broth flows out once you take a
bite!"	¡Mmm! Esta tortilla... Tan esponjosa por fuera. ¡Sin embargo, el caldo caliente fluye hacia fuera una vez que usted toma un bocado!
Message	Tohka	"Add in some of the rice, and... *nom*...
Mmm. You've outdone yourself this time!"	Añade un poco de arroz, y... *nom*... Mmm. ¡Te has superado esta vez!
Message	Rinne	"Hehe... Oh, Tohka-chan. You won't get anything
from flattering me."	Jeje... Oh, Tohka-chan. No conseguirás nada adulándome.
Message	Tohka	"R-Rinne... Does that mean seconds are out of
the question?"	R-Rinne... ¿Significa eso que los segundos están descartados?
Message	Rinne	Huh? Seconds...	¿Eh? Segundos...
Message	Shido	"You said, You won't get anything."" That's what Tohka's worried about."""	"Dijiste: ""No conseguirás nada"". Eso es lo que le preocupa a Tohka""."
Message	Rinne	"Oh, I see what you mean. No need to worry,
Tohka-chan. I've prepared seconds. Just make
sure to chew before you swallow, okay?"	Oh, ya veo lo que quieres decir. No te preocupes, Tohka-chan. He preparado segundos. Sólo asegúrate de masticar antes de tragar, ¿vale?
Message	Tohka	Okay! Another helping, please!	¡Muy bien! ¡Otra ración, por favor!
Message	Shido	Hey, Tohka... You know...	Oye, Tohka... Sabes...
Message	Rinne	Ahahahaha...	Ahahahaha...
Message	Yoshino	Um. Thank you... for the meal!	Gracias... ¡por la comida!
Message	Rinne	Okay. Yoshino-chan, eat up, okay?	Vale. Yoshino-chan, come, ¿vale?
Message	Yoshino	Okay!	¡Vale!
Message	Rinne	"Oh. You aren't good with hot food, right?
I tried cooling the miso soup beforehand.
Is it all right?"	Oh. No eres bueno con la comida caliente, ¿verdad? Intenté enfriar la sopa de miso de antemano. ¿Está bien?
Message	Yoshino	Th-Thank... you...	Gracias... a ti...
Message	Yoshinon	Boy, Rinne. You're so thoughtful. You'd make\nthe ideal wife!	Chico, Rinne. Eres tan considerado. ¡Serías la esposa ideal!
Message	Shido	"You can say that again. Who knows where I'd
be without her housework."	Puedes repetirlo. Quién sabe dónde estaría yo sin sus tareas domésticas.
Message	Tohka	"Indeed, and she sure knows her way around the
kitchen."	Efectivamente, y seguro que sabe moverse por la cocina.
Message	Rinne	"Gosh... What's with all the compliments today,
you two...? You're going to make me blush..."	Dios... ¿Qué pasa con todos los cumplidos hoy, ustedes dos...? Me vais a hacer sonrojar...
Message	Kotori	"Hmm. Onii-chan has been hitting on Rinne
since this morning! Rinne's not gonna like that!"	Hmm. ¡Onii-chan ha estado coqueteando con Rinne desde esta mañana! ¡A Rinne no le va a gustar eso!
