Operator	Comment	Key	Translation
Message	Shido	"Invite a Spirit out on a date, huh? Damn it,
Kotori. You're in the same predicament."	Invitar a un Espíritu a una cita, ¿eh? Maldita sea, Kotori. Estás en el mismo aprieto.
Message	Shido	"She, too, is a Spirit, so there's a big chance
that whatever's going on is affecting her
as well."	Ella también es un Espíritu, así que es muy probable que lo que esté ocurriendo también le afecte a ella.
Message	Shido	"That's right; maybe I could invite Kotori out
on a date. Well, not a date per se. Just so I
could check up on her health."	Así es; tal vez podría invitar a Kotori a una cita. Bueno, no una cita en sí. Sólo para poder comprobar su estado de salud.
Message	Shido	"If I were to invite her on a date, I wonder how
she'd react. I've got butterflies in my stomach,
but here goes nothing."	Si la invitara a una cita, me pregunto cómo reaccionaría. Tengo mariposas en el estómago, pero ahí es nada.
Message	Shido	"Hm, she's not picking up. Is Kotori currently
in the Fraxinus? Or..."	Hm, no contesta. ¿Está Kotori actualmente en el Fraxinus? O...
Message	Shido	"School's out by now, so... maybe I should try
calling the house line."	La escuela ya terminó, así que... tal vez debería intentar llamar a la línea de la casa.
Message	Shido	"I can't get through to her. Hm. Reine should
be able to tell me Kotori's whereabouts."	No puedo comunicarme con ella. Hm. Reine debería ser capaz de decirme el paradero de Kotori.
Message	Shido	Excuse me.	Disculpadme.
Message	Reine	...Hello, Shin. Welcome.	...Hola, Shin. Bienvenido.
Message	Shido	Reine, I thought I'd find you here.	Reine, pensé que te encontraría aquí.
Message	Kotori	"Oh... Shido? What's up? Did you miss seeing
Reine's chest?"	Oh... ¿Shido? ¿Qué te pasa? ¿Te perdiste de ver el pecho de Reine?
Message	Shido	Oh, hey Kotori. You're here, too?	Oh, hey Kotori. ¿También estás aquí?
Message	Kotori	Sure nice of you to notice.	Muy amable por tu parte.
Message	Kotori	Am I unwanted here? If so, then I'll leave.	¿Soy indeseable aquí? Si es así, me iré.
Message	Shido	"Oh, no. Not at all. Quite the contrary,
actually."	Oh, no. En absoluto. Todo lo contrario, en realidad.
Message	Kotori	Huh? What do you mean?	¿Qué? ¿Qué quieres decir?
Message	Shido	"I've been looking for you, Kotori. I tried
calling your cell, but you didn't answer."	Te he estado buscando, Kotori. Intenté llamarte al móvil, pero no contestabas.
Message	Kotori	"Huh...? Oh... My cellphone. I forgot it at
home."	¿Eh...? Oh... Mi móvil. Lo olvidé en casa.
Message	Reine	You, forgetting something? That's unlike you.	Tú, ¿olvidando algo? Eso no es propio de ti.
Message	Kotori	"I'm allowed to forget things from time to
time, you know."	Se me permite olvidar cosas de vez en cuando, ya sabes.
Message	Kotori	"So...? What do you want, Shido? Here to
ask for money from your little sister?"	Entonces... ¿Qué quieres, Shido? ¿Vienes a pedirle dinero a tu hermana pequeña?
Message	Shido	"You're making me look like a bad
older brother, sheesh..."	Me estás haciendo quedar como un mal hermano mayor, sheesh...
Message	Kotori	If that's not the case, then what is it?	Si no es así, ¿qué es?
Message	Shido	"I could be here for any number of...
Okay, forget about it. Kotori, let's go on
a date."	Podría estar aquí por cualquier número de...  Vale, olvídalo. Kotori, tengamos una cita.
Message	Kotori	What...?	¿Qué...?
Message	Kotori	Oh... Um... Wh-What's gotten into you?	¿Qué te pasa?
Message	Shido	"Kotori, you're the one who told me. About
having to go on dates with the Spirits."	Kotori, tú fuiste quien me lo dijo. Sobre tener que ir a citas con los Espíritus.
Message	Reine	"Hm... It's true. Kotori is a Spirit. Your logic
is sound."	Hm... Es verdad. Kotori es un espíritu. Tu lógica es sólida.
Message	Kotori	W-Well, that's not what I meant...	B-Bueno, eso no es lo que quise decir...
Message	Kotori	"I-I meant to go on dates with other Spirits,
beside me!"	¡Quería tener citas con otros Espíritus, aparte de mí!
Message	Shido	"It's not like you're in great shape either,
right? I mean, you forgetting something is
totally out of character for you."	Tampoco es que estés en buena forma, ¿verdad? Quiero decir, que olvides algo está totalmente fuera de tu carácter.
Message	Shido	"Besides, Spirit or not, you're my little sister.
It's only natural to want to be close with
your little sister."	Además, Espíritu o no, eres mi hermana pequeña.  Es natural querer estar cerca de tu hermana pequeña.
Message	Kotori	Ugh...	Ugh...
Message	Reine	Why not go on a date with him?	¿Por qué no tienes una cita con él?
Message	Reine	"Look at it as an opportunity to prevent a Spirit
from going rogue. Kotori, live a little."	Míralo como una oportunidad para evitar que un Espíritu se vuelva rebelde. Kotori, vive un poco.
Message	Kotori	I... I can't!	I... ¡No puedo!
Message	Shido	Huh?! Why?!	¡¿Eh?! ¡¿Por qué?!
Message	Reine	...She's not being honest with herself.	...No está siendo honesta consigo misma.
Message	Kotori	"Um, don't worry about me! If you have to
worry about someone, then focus on
the other Spirits!"	¡No te preocupes por mí! ¡Si tienes que preocuparte por alguien, entonces concéntrate en los otros Espíritus!
Message	Kotori	"Besides, I need to meet with Reine to discuss
what measures we need to take going forward."	Además, tengo que reunirme con Reine para discutir qué medidas debemos tomar en adelante.
Message	Kotori	"So I don't have time to go on a date with you,
Shido!"	¡Así que no tengo tiempo para tener una cita contigo, Shido!
Message	Reine	...I can just wait until later, though.	...aunque puedo esperar hasta más tarde.
Message	Kotori	"I-It's fine! Just focus on dating the other
Spirits, Shido! Now, go!"	¡Está bien! ¡Sólo concéntrate en salir con los otros Espíritus, Shido! ¡Ahora, vete!
Message	Shido	H-Hey!	¡H-Hey!
