Operator	Comment	Key	Translation
Message	Shido	It's already lunchtime. Time is flying.	Ya es hora de comer. El tiempo vuela.
Message	Shido	Hm. I wonder where everyone's gonna eat...	Hm. Me pregunto dónde van a comer todos...
Message	Tohka	Ah! You're late, Shido!	¡Ah! ¡Llegas tarde, Shido!
Message	Shido	Oh, there you all are!	¡Oh, ahí están todos!
Message	Tohka	Sorry, Shido. I was hungry, so I started without you.	Lo siento, Shido. Tenía hambre, así que empecé sin ti.
Message	Shido	"I don't blame you. Eating after all that activity
probably makes it taste that much better, too."	"No te culpo. Comer después de toda esa actividad
Probablemente también hace que sepa mucho mejor."
Message	Tohka	Exactly! Rinne's bento tastes really good, too!	¡Exactamente! ¡El bento de Rinne también sabe muy bien!
Message	Rinne	Hehe, thank you. That makes me so happy.	Hehe, Gracias. Eso me hace muy feliz.
Message	Origami	Shido... ah....	Shido... ah....
Message	Shido	Huh?	¿Eh?
Message	Origami	Ahhh.	Ahhh.
Message	Shido	Oh... uh...	Oh... uh...
Message	Tohka	Hey! What do you think you're doing?!	¡Oye! ¡¿Qué crees que estás haciendo?!
Message	Origami	"I have nothing to explain to you.
Ahhh..."	No tengo nada que explicarte. Ahhh...
Message	Tohka	"GRR! You can't Ahh"" him before me!
Origami Tobiichi, that is not fair at all!"""	"¡GRR! ¡No puedes ""Ahh"" antes que yo!
Origami Tobiichi, ¡eso no es justo en absoluto!"
Message	Origami	"I'm just sharing my lunch with Shido.
You have no right to ahh"" him as you are
eating Rinne Sonogami's bento."""	"Sólo estoy compartiendo mi almuerzo con Shido.
No tienes derecho a ""ahh"" con él mientras comes
El bento de Rinne Sonogami."
Message	Tohka	W-What?! Rinne's bento is my bento!	¡¿Q-Qué?! ¡El bento de Rinne es mi bento!
Message	Origami	"Your logic makes no sense. If you were to
ahh"" him and he was to be satisfied, this
achievement would be Rinne's, not yours."""	"Tu lógica no tiene sentido. Si fueras a “ahh"" y
él quedara satisfecho, este logro sería de Rinne,
No tuyo."
Message	Tohka	"Shut up! Shido, this food is better!
Just hurry up and ahh!"""""	"¡Cállate! ¡Shido, esta comida es mejor!
¡Date prisa y “ahh”!"
Message	Shido	O-Okay! Come on, you two need to calm down!	¡Vale! ¡Vamos, ustedes dos necesitan calmarse!
Message	Shido	W-Why don't I eat them one at a time?	¿Por qué no me los como de uno en uno?
Message	Origami	"I was the one that did ""ahh"" first. Shido, ah."	"Yo fui el que hizo ""ahh"" primero. Shido, ah."
Message	Tohka	Grr...! H-Hurry up and eat it, Shido! Ahhh!	¡Grr...! ¡Date prisa y cómetelo, Shido! ¡Ahhh!
Message	Shido	"MMM! Tohka, you're pretty much shoving it
in my mouth at the same time!"	"¡MMM! Tohka, ¡me lo estás metiendo en la
Boca al mismo tiempo!"
Message	Origami	Ah.	Ah.
