Operator	Comment	Key	Translation
Message	Shido	"Phew, maybe I ate too much. But Rinne's food is
always so delicious I can't help but eat too much."	Uf, tal vez comí demasiado. Pero la comida de Rinne es siempre tan deliciosa que no puedo evitar comer demasiado.
Message	Shido	"There's a hint of sweetness. It's hard to explain, but
it's so appetizing. It makes my body feel warm and
comfortable. Just a good home-cooked meal."	Hay un toque de dulzura. Es difícil de explicar, pero es muy apetecible. Hace que mi cuerpo se sienta cálido y confortable. Una buena comida casera.
Message	Shido	Hm? Who could be calling?	¿Hm? ¿Quién podría estar llamando?
Message	Shido	What?! O-Origami...?	¡¿Qué?! ¿O-Origami...?
Message	Shido	Hello?	Hola?
Message	Origami	Shido?	¿Shido?
Message	Shido	Yeah. What's up?	Sí. ¿Qué hay de nuevo?
Message	Origami	I know everything about you, Shido.	Lo sé todo sobre ti, Shido.
Message	Shido	Huh?	¿Eh?
Message	Origami	Thanks for today.	Gracias por hoy.
Message	Shido	Oh... yeah. Me too, thank you.	Oh... sí. Yo también, gracias.
Message	Origami	...	...
Message	Shido	Uh... so... is that it? Did you want to say anything else...	Entonces... ¿eso es todo? ¿Querías decir algo más ...
Message	Origami	Not really.	La verdad es que no.
Message	Shido	O-Oh. I see.	O-Oh. Ya veo.
Message	Origami	Do I need business to call you?	¿Necesito un negocio para llamarte?
Message	Shido	Well... that's not it.	Bueno... no es eso.
Message	Origami	I couldn't get a hold of the AST.	No pude contactar con el AST.
Message	Shido	What?	¿Cómo?
Message	Origami	They may really be busy.	Puede que estén muy ocupados.
Message	Shido	I-I see. It must be really tough right now.	Ya veo. Debe ser muy duro ahora mismo.
Message	Origami	Mmm...	Mmm...
Message	Shido	...	...
Message	Origami	...	...
Message		"(Our conversation has to continue! But w-what
should we even talk about?)"	(¡Nuestra conversación tiene que continuar! ¿Pero de qué deberíamos hablar?)
Message	Origami	How's your studying going?	¿Cómo van tus estudios?
Message	Shido	"Oh. It's not. I was going to ask Rinne
or Origami to help me study."	Oh. No lo es. Iba a pedirle a Rinne o a Origami que me ayudaran a estudiar.
Message	Origami	Why did you say Rinne's name first?	¿Por qué has dicho primero el nombre de Rinne?
Message	Shido	Huh?	¿Eh?
Message	Origami	Nothing. Well, I'll talk to you again later.	Nada. Bueno, hablaremos más tarde.
Message	Shido	O-Okay...	Vale...
Message		(Ah... did I do it again?)	(Ah... ¿lo he vuelto a hacer?)
Message		"(Or rather... what was that all about?
I wonder if she called me to give me information
about the AST.)"	(O mejor dicho... ¿de qué iba todo eso?  Me pregunto si me llamó para darme información sobre la AST).
Message		"(OH! I didn't tell Kotori that I told Origami everything.
I should tell her, right?)"	(¡OH! No le he dicho a Kotori que se lo conté todo a Origami.  Debería decírselo, ¿verdad?)
Message		(*sigh* I'll go report to her after I take a bath.)	(*suspiro* Iré a informarle después de bañarme).
Message		(Ah. I don't know why I'm so tired.)	(Ah. No sé por qué estoy tan cansado.)
Message		(I should soak for a long time today...)	(Hoy debería ponerme en remojo durante mucho tiempo...)
Message	Shido	Oh? Someone left the light on?	¿Oh? ¿Alguien dejó la luz encendida?
Message	Shido	What?	¿Cómo?
Message	Kotori	Shi...do?	¿Shi...do?
Message	Shido	K-Kotori...? What are you...?	¿K-Kotori...? ¿Qué estás...?
Message	Kotori	What? Why are you in a daze?	¿Por qué estás aturdido? ¿Por qué estás aturdido?
