Operator	Comment	Key	Translation
Message		"(Rinne's been acting strange lately. Did something happen?
I can't say I'm not being a burden on her, either...)"	"(Rinne ha estado actuando extraño últimamente. ¿Ha
pasado algo? Tampoco puedo decir que no sea una
Carga para ella…)"
Message		"(Ah, shoot... I'm suddenly at the park.
If I'm too lost in thought, my legs end up leading me
by themselves. At least the park isn't too crowded.)"	"¡Vaya! De repente estoy en el parque. Si me distraigo,
mis piernas me guían. Al menos el parque no está lleno."
Message		(Wait, huh? Is that, Rinne?)	(Espera, ¿eh? ¿Es eso, Rinne?)
Message	Rinne	......	......
Message	Shido	Rinne, what's wrong?	Rinne, ¿qué pasa?
Message	Rinne	Ah. Shido?!	Ah. ¡¿Shido?!
Message	Shido	Didn't you... have some sudden business...?	¿No tenías... algún asunto repentino...?
Message	Rinne	Ah, yeah. That's... fine now.	Ah, sí. Eso está... bien ahora.
Message	Shido	I-I see...	Ya veo...
Message	Shido	What are you doing alone in a place like this?	¿Qué haces solo en un sitio así?
Message	Rinne	"Y-Yeah... I was just thinking, I guess?
What about you, Shido?"	"S-Sí... Sólo estaba pensando, ¿supongo?
¿Qué hay de ti, Shido?"
Message	Shido	Hmmm, well... I was sorta... also thinking?	Hmmm, bueno... Yo estaba como... ¿también pensando?
Message	Rinne	"Hee hee. So you were thinking too, huh?
What were you thinking about?"	"Hee hee. Así que tú también estabas pensando, ¿eh?
¿En qué estabas pensando?"
Message	Shido	Um, well you see... Hey, I won't get caught up in that!	Um, bueno, verás... ¡Eh, no me voy a meter en eso!
Message		"(I can't really say, in front of the actual person...
That I was thinking of her, after all.)"	"(En realidad no puedo decir, delante de la persona real…
Que estaba pensando en ella, después de todo)."
Message	Rinne	What, there's something you can't tell even to your childhood friend?	"¿Qué, hay algo que no puedes contarle
ni a tu amiga de la infancia?"
Message	Shido	"I-It's nothing like that, but... I-I was taking a walk while
thinking about what might be for dinner tonight."	"No es nada de eso, pero... Y-yo estaba dando un paseo
mientras pensaba en lo que podría ser para la
Cena de esta noche."
Message	Rinne	"Good grief, you're such a glutton, Shido.
That's really what you were thinking of?"	"Santo cielo, eres un glotón, Shido. ¿De verdad estabas
Pensando en eso?"
Message	Shido	Is that so wrong?	¿Está tan mal?
Message	Rinne	"It's fine. I just thought that you sound kinda like Tohka-chan.
I wonder if that happens when you spend enough time with
someone?"	"No pasa nada. Sólo pensé que sonabas un poco como
Tohka-chan. Me pregunto si eso pasa cuando pasas
Suficiente tiempo con alguien."
Message	Shido	Huh? Ah, yeah. Now that you mention it...	¿Eh? Ah, sí. Ahora que lo mencionas...
Message	Rinne	But that's what I like about you, Shido, you know?	Pero eso es lo que me gusta de ti, Shido, ¿sabes?
Message	Shido	Wh... What?! What'd you just say?!	Qu... ¡¿Qué?! ¡¿Qué acabas de decir?!
Message	Rinne	N-Nothing! I didn't say anything!	¡N-Nada! ¡No he dicho nada!
Message	Shido	I-I see... So, what were you thinking of until now?	Ya veo... Entonces, ¿en qué estabas pensando hasta ahora?
Message	Rinne	"Ah, well, you know... I was also thinking about tonight's
dinner, I guess? Just thinking of what to make for you
later."	"Ah, bueno, ya sabes... También estaba pensando en la
cena de esta noche, supongo.
Pensando en qué prepararte más tarde."
Message	Shido	Haha... Guess we're not so different, huh?	Jaja... Supongo que no somos tan diferentes, ¿eh?
Message	Rinne	"Is that wrong? I put a lot of thought into each day, no?
You begin to tire of the same meals every day, not to
mention taking into account nutritional value and such."	"¿Está mal? Me lo pienso mucho cada día, ¿no? Empiezas
a cansarte de las mismas comidas todos los días, por no
Hablar de tener en cuenta el valor nutricional y tal."
Message	Shido	Thanks. And sorry, for causing you trouble.	Gracias. Y lo siento, por causarte problemas.
Message	Rinne	It's fine, I do it because I want to.	Está bien, lo hago porque quiero.
Message	Shido	"I see... Then Rinne, I don't know if it would really make
up for things, but would you want to go buy stuff for dinner
together now?"	"Ya veo... Entonces Rinne, no sé si realmente compensaría
las cosas, pero ¿te gustaría ir a comprar cosas para
Cenar juntos ahora?"
Message	Rinne	"Hee hee, I'm fine buying things on my own,
so why don't you take someone else out to
have fun?"	"Me parece bien comprar cosas por mi cuenta, así que
¿por qué no llevas a otra persona a divertirse?"
Message	Shido	But I...	Pero yo...
Message	Rinne	It's fine, it's fine. I'm going to go shopping now.	Está bien, está bien. Voy a ir de compras ahora.
Message	Shido	H-Hey... Rinne!	H-Hey... ¡Rinne!
Message	Rinne	You better come back for dinner, okay? See you!	"Será mejor que vuelvas para la cena,
¿de acuerdo? ¡Nos vemos!"
Message		"(I'm not really in the mood to invite someone on a
date right now... Once I've rested a bit here, I'll just
head home for today...)"	"(Ahora mismo no estoy de humor para invitar a alguien a
una cita... Una vez que haya descansado un poco aquí,
Me iré a casa por hoy...)"
