Operator	Comment	Key	Translation
Message		"(Oogh. I ran up so many steps today, so my thighs and calves
 are super sore, but... I have so many dates to go on.)"	(Oogh. Hoy he subido muchos escalones, así que tengo los muslos y las pantorrillas muy doloridos, pero... Tengo tantas citas a las que ir).
Message		(Alright, I'll have us hang out at home then.)	(De acuerdo, entonces pasaremos el rato en casa).
Message	Shido	"Hey Tohka? We still have some time until dinner,
so do you want to kill some time by playing games?"	Eh, ¿Tohka? Aún nos queda algo de tiempo hasta la cena, ¿quieres matar el tiempo jugando?
Message	Tohka	"Hm? Ohhh, that beep boop-ing thing that Kotori often does!
If you wish to play, Shido, then I will as well!"	¿Hm? Ohhh, ¡ese pitido que hace Kotori a menudo! ¡Si quieres jugar, Shido, yo también lo haré!
Message	Shido	Okay, then do you want to battle?	Vale, ¿entonces quieres luchar?
Message	Tohka	Yes, bring it on!	¡Sí, adelante!
Message	Shido	Then here Tohka, use this controller.	Entonces aquí Tohka, usa este mando.
Message	Tohka	Hm, this one, yes?	Hm, este, ¿sí?
Message	Shido	"Alright, let's start with practice first.
I've done it before so I know, but this is your first time, right Tohka?"	Muy bien, empecemos primero con la práctica. Yo lo he hecho antes, así que lo sé, pero esta es tu primera vez, ¿verdad Tohka?
Message	Tohka	"Hmph! No, that's not so.
I've played it before with Kotori, when she was on break."	¡Hmph! No, no es así. Ya lo he jugado antes con Kotori, cuando estaba de descanso.
Message	Shido	Huh!? I-Is that so?	¿¡Eh!? ¿Es así?
Message	Tohka	Yes, so any time is fine. Bring it on, Shido!	Sí, en cualquier momento está bien. ¡Vamos, Shido!
Message	Shido	"Alright, then that makes things faster!
It's too early to win against me, you know?"	¡Muy bien, entonces eso acelera las cosas! Es demasiado pronto para ganar contra mí, ¿sabes?
Message	Tohka	Hmm! I'll take you on!	¡Hmmm! ¡Yo te llevaré!
Message	Shido	My character is Kazuma, the master of Jyukkokuken!	Mi personaje es Kazuma, ¡el maestro del Jyukkokuken!
Message	Tohka	Oh?	¿Ah, sí?
Message	Shido	Who do you use, Tohka?	¿A quién usas, Tohka?
Message	Tohka	Hm, I can win with this one!	Hm, ¡puedo ganar con esto!
Message	Shido	――!?	¡--!
Message		"(The character that Tohka selected is a magician called
Pandabear,"" and as the name suggests, it's a straightforward
cross between a bear and a panda.)"""	"(El personaje que seleccionó Tohka es un mago llamado Pandabear"" y, como su nombre indica, es un sencillo cruce entre un oso y un panda)""."
Message		"(The hyper-realistically drawn, malicious-looking panda's face
has red eyes that gleam from underneath its formal robe and hood.)"	(La cara del panda, dibujada con hiperrealismo y aspecto malicioso, tiene ojos rojos que brillan bajo su túnica y capucha formales).
Message		"(The hands sticking out of either sleeves are as rough as a bear's,
and covered in bristly brown hair. Lastly, in his hand was a giant
staff inlaid with red jewels.)"	(Las manos que sobresalen de ambas mangas son ásperas como las de un oso y están cubiertas de pelo castaño erizado. Por último, en la mano llevaba un gigantesco bastón con incrustaciones de joyas rojas).
Message		(No matter how anybody looks at him, he's more scary than cute, right...?)	(Se mire por donde se mire, da más miedo que mono, ¿no?).
Message	Shido	H-Hey Tohka. Can I ask you one thing?	H-Hey Tohka. ¿Puedo preguntarte una cosa?
Message	Tohka	Hm, what is it?	¿Qué pasa?
Message	Shido	"W-Why did you pick that character out of everything else?
Weren't there cuter, or cooler-looking ones?"	¿Por qué elegiste ese personaje entre todos los demás? ¿No había otros más bonitos o más guapos?
Message	Tohka	"Hrm! Do you not know his story, Shido?
He's a magician, and when he wins against an opponent,
he changes them into his favorite food and eats them!"	¡Hrm! ¿No conoces su historia, Shido? Es un mago, y cuando gana a un oponente, ¡lo transforma en su comida favorita y se lo come!
Message	Shido	...A-Ahh, I see.	...A-Ahh, ya veo.
Message		"(...I suppose in a way, it's a very Tohka-like choice.
...Nobody uses that character, so I completely forgot.)"	(...Supongo que, en cierto modo, es una elección muy al estilo Tohka. ...Nadie usa ese personaje, así que lo olvidé por completo).
Message	Tohka	"Now then! Today, I will change you into a hamburg steak
with plenty of demi-glace sauce!
――No, wait...ponzu with radish is also quite good!"	¡Ahora! ¡Hoy te cambiaré por un filete de hamburguesa con mucha salsa demi-glace! --No, espera ... ponzu con rábano también es bastante bueno!
Message		"(C-Can you choose dishes with all those ingredients?
Where did this game invest all its resources...??)"	(¿Se pueden elegir platos con todos esos ingredientes? ¿Dónde invirtió este juego todos sus recursos...?)
Message	Shido	"...A-Anyway, just try to win.
If you don't win against me, you won't be able to see
the victory screen, after all."	...De todos modos, intenta ganar. Si no ganas contra mí, no podrás ver la pantalla de la victoria, después de todo.
Message	Tohka	Yes, I know. Come at me from any angle!	Sí, lo sé. ¡Ven a mí desde cualquier ángulo!
Message	Shido	"――Gah!
Who would use their special attack at this timing!?"	--¡Gah! ¿Quién usaría su ataque especial en este momento?
Message	Tohka	What's wrong Shido! Even Kotori was better!	¡Qué pasa Shido! ¡Incluso Kotori era mejor!
Message		"(...This is bad. Tohka's been unwittingly trained by Kotori!
If I go easy on her here, I'm in big trouble...)"	(...Esto es malo. ¡Tohka ha sido entrenada por Kotori sin saberlo! Si no soy duro con ella, me meteré en un buen lío...)
