Operator	Comment	Key	Translation
MapMarker		Raizen High School	Instituto Raizen
MapMarker		Lake Outskirts	Las afueras del lago
MapMarker		Train Station Front	Frente de la estación de tren
MapMarker		Shrine	Santuario
MapMarker		Itsuka House	Casa Itsuka
MapMarker		Residential Area	Zona residencial
MapMarker		Tengu Tower	Torre Tengu
MapMarker		Takadai Park	Parque Takadai
MapMarker		Rear of School Building	Parte trasera del edificio escolar
MapMarker		Rooftop	Azotea
MapMarker		Physical Preparation Room	Sala de preparación física
MapMarker		Landing	Aterrizaje
MapMarker		Hallway	Pasillo
MapMarker		Classroom	Aula
MapMarker		School Front	Frente de la escuela
MapMarker		City	Ciudad
