Operator	Comment	Key	Translation
Message	Shido	Oh, Tohka...	Oh, Tohka...
Message		"(So, Tohka really did head to class early.
How unlike her...)"	(Así que Tohka sí que iba pronto a clase. Qué raro...)
Message	Tohka	*yaaaawn*...	*yaaaawn*...
Message		"(Whoa, that's a big yawn. How unflattering.
Oh, well. I guess that's Tohka for you.)"	(Vaya, qué bostezo. Qué poco favorecedor.  Ah, bueno. Supongo que así es Tohka).
Message	Shido	Yo, Tohka. Did you have a late night?	Hola, Tohka. ¿Has trasnochado?
Message	Tohka	Sh-Shido?!	¡¿Sh-Shido?!
Message	Shido	Hm? What's up? Don't act so surprised.	¿Qué? ¿Que pasa? No te hagas el sorprendido.
Message	Tohka	Y-Yeah, you're right! Sorry!	S-Sí, ¡tienes razón! ¡Lo siento!
Message	Shido	"Someone's hyper today. Did something
happen?"	Alguien está hiperactivo hoy. ¿Ha pasado algo?
Message	Tohka	N-Nothing!	¡Nada!
Message	Shido	Okay then... Huh? What's up with your finger?	De acuerdo entonces... ¿Eh? ¿Qué pasa con tu dedo?
Message	Tohka	Hm?	¿Hm?
Message	Shido	"Well, you've got bandages all over your
hands."	Bueno, tienes vendas por todas las manos.
Message	Tohka	THTHTHTHTHTHis is nothing! I was practicing—	¡Esto no es nada! Estaba practicando...
Message	Shido	Practicing? For what?	¿Practicando? ¿Para qué?
Message	Tohka	"N...! NOTHING! Just... this doesn't concern
you, Shido!"	¡N...! ¡NADA! Sólo... ¡esto no te concierne, Shido!
Message	Shido	O-Okay...	Vale...
Message		"(I wonder... if Tohka was the one shuffling
around late last night.)"	(Me pregunto... si Tohka era la que se revolvía anoche).
Message	Shido	"Well, be careful, okay Tohka? I don't want
to see you get hurt."	Bueno, ten cuidado, ¿vale Tohka? No quiero que te hagan daño.
Message	Tohka	O-Okay... I will try my best.	De acuerdo... Haré lo que pueda.
Message		"(Well, she seems to be working hard. If there's
something she doesn't want me to know,
I guess I should leave her be for a while.)"	(Bueno, parece que está trabajando duro. Si hay algo que no quiere que sepa, supongo que debería dejarla tranquila por un tiempo).
Message		"(I sat through a boring class and ate the lunch
that Rinne had made me. Afterwards, I prepared
for class in the afternoon.)"	(Asistí a una clase aburrida y me comí el almuerzo que me había preparado Rinne. Después, me preparé para la clase de la tarde).
Message		"(As the early summer rays seeped through
the blinds, I grew sleepy, basking in the
perfectly air-conditioned classroom.)"	(A medida que los primeros rayos del verano se filtraban a través de las persianas, me iba adormeciendo, tomando el sol en el aula perfectamente climatizada).
Message		"(Fighting the urge to sleep felt like a futile
effort...)"	(Luchar contra las ganas de dormir parecía un esfuerzo inútil...)
Message		"(However, as Sports Day ended, we were
fast approaching testing.)"	(Sin embargo, al terminar el Día del Deporte, nos acercábamos rápidamente a los exámenes).
Message		"(I want to pay attention, even if I have to
take photos of the blackboard.)"	(Quiero prestar atención, aunque tenga que hacer fotos de la pizarra).
Message		"(Especially for someone like me, who barely
studies all year and depends on cramming, I
gotta focus.)"	(Especialmente para alguien como yo, que apenas estudia en todo el año y depende de empollar, tengo que concentrarme).
Message		"(But reality is cruel. Unlike the idealized
version in my head, students succumbed to
the temptation to nap one after the other.)"	(Pero la realidad es cruel. A diferencia de la versión idealizada que tenía en la cabeza, los alumnos sucumbieron a la tentación de echarse la siesta uno tras otro).
Message		"(And finally, the demonic hands of slumber
wrapped themselves around me...)"	(Y finalmente, las demoníacas manos del sueño me envolvieron...)
Message		"(Just as I realized what was happening,
I sunk into a deep, deep sleep...)"	(Justo cuando me di cuenta de lo que estaba pasando, me sumí en un profundo, profundo sueño...)
Message	Shido	Zzz...	Zzz...
