Operator	Comment	Key	Translation
Message		"(Th-This isn't good. If I choose one, I'll
hurt the other.)"	"(Esto no es bueno. Si elijo a uno,
lastimaré al otro.)"
Message		(Argh! I'm going to run for it!)	(¡Argh! ¡Voy a salir corriendo!)
Message	Shido	"Tohka, I'm sorry! I just remembered that I
have to take care of something!"	"¡Tohka, lo siento! ¡Acabo de recordar
que tengo que ocuparme de algo!"
Message	Tohka	Hey! Where are you going?! Shido!	¡Eh! ¡¿A dónde vas?! ¡Shido!
Message	Shido	Sorry! Go ahead and eat without me!	¡Lo siento! ¡Adelante, come sin mí!
Message		(Ah... It's so hot.)	(Ah... Hace tanto calor.)
Message		"(I ran for it... but was that the right thing
to do?)"	(Corrí a por él... ¿pero fue lo correcto?)
Message		"(While it's true that I had to pick between
one or the other, I'm not quite sure I made
the right decision... *sigh*...)"	"(Si bien es cierto que tuve que elegir entre uno u otro,
no estoy muy seguro de haber tomado la
decisión correcta... *suspiro*...)"
Message		(Man... I'm hungry...)	(Dios… tengo hambre...)
Message		"(I killed some time before coming back, but...
What could I possibly say?)"	"(Maté algo de tiempo antes de volver,
pero... ¿Qué podía decir?)"
Message		"(Well.... I still have time before class starts,
so I can apologize to both Tohka and Rinne.)"	"(Bueno.... Todavía tengo tiempo antes de que empiece
la clase, así que puedo disculparme tanto con 
Tohka como con Rinne)."
Message	Shido	...T-Tohka? I'm back.	...¿T-Tohka? He vuelto.
Message	Tohka	Hm? Oh, Shido, you've returned.	¿Hm? Oh, Shido, has vuelto.
Message	Shido	"Y-Yeah... Um, sorry. For not eating the
lunch you prepared."	"S-Sí... Um, lo siento. Por no comer
el almuerzo que preparaste."
Message	Tohka	Sh-Shido?	¿Sh-Shido?
Message	Shido	Hm?	¿Hm?
Message	Tohka	"Did you... refuse to eat my bento... because
I am a poor cook?"	"¿Te... negaste a comerte mi bento…
porque soy una mala cocinera?"
Message	Shido	"N-No! I-It's not like that. You see, I have
my reasons..."	¡No! No es así. Verás, tengo mis razones...
Message		"(I was honest, and I told Tohka about
Rinne's bento...)"	"(Fui sincero, y le conté a
Tohka lo del bento de Rinne...)"
Message	Shido	"That's why I thought if I chose one bento
over the other, I would hurt the other person."	"Por eso pensé que si elegía un bento en vez
de otro, perjudicaría a la otra persona."
Message	Shido	"Because I couldn't come up with a way not
to hurt either of you, I ran away..."	"Como no se me ocurrió cómo no lastimarlas a
ninguna de las dos, huí…"
Message	Tohka	"Oh, I see. I feel relief now that I understand
your reasoning. Shido... I forgot you were
like that."	"Ah, ya veo. Siento alivio ahora que entiendo
tu razonamiento. Shido... Había
olvidado que eras así."
Message	Shido	"I know you worked so hard to make this,
Tohka. I'm sorry that I didn't eat it."	"Sé que has trabajado mucho para hacer esto,
Tohka. Siento no habérmelo comido."
Message	Tohka	No, it's fine.	No, está bien.
Message	Tohka	B-But... Uh...	P-Pero... Uh...
Message	Shido	Hm?	¿Hm?
Message	Tohka	"I know that I may not be as good as Rinne,
but... would you eat my bento someday...
Shido?"	"Sé que puede que no sea tan bueno como Rinne,
pero... ¿comerías mi bento algún día…
¿Shido?"
Message	Shido	"Yeah. I'd love to eat anything you made for
me, Tohka. Actually, today's bento... I can
eat it after school."	"Sí. Me encantaría comer cualquier cosa que me hicieras,
Tohka. En realidad, el bento de hoy…
Puedo comerlo después de clase."
Message	Tohka	"No... You took way too long to come back, so...
I ate it myself. Sorry."	"No... Tardaste demasiado en volver, así que…
Me lo comí yo misma. Lo siento."
Message	Shido	No, it's fine. It's all my fault.	No, está bien. Todo es culpa mía.
Message	Rinne	Shido, you're back.	Shido, has vuelto.
Message	Shido	Oh Rinne! Um... Er...	¡Oh Rinne! Um... El...
Message	Rinne	*giggle* I know, it's okay.	*risita* Lo sé, está bien.
Message	Shido	Huh...?	¿Eh...?
Message	Rinne	"I heard that Tohka-chan made bento for
lunch today. I made one too, which made
for a predicament, right...?"	"He oído que Tohka-chan ha hecho bento para comer hoy.
Yo también hice uno, lo que me puso en un aprieto,
¿verdad...?"
Message	Shido	You see right through me... Sorry Rinne.	Ves a través de mí... Lo siento Rinne.
Message	Rinne	"Don't worry about me. You have to be the
kind of person you want to meet."	"No te preocupes por mí. Tienes que ser el tipo
de persona que quieres conocer."
Message	Shido	Rinne...	Rinne...
