Operator	Comment	Key	Translation
Message		"(All right! I'm gonna eat Tohka's lunch. I'm
sure Rinne would understand.)"	(¡Muy bien! Me voy a comer el almuerzo de Tohka. Estoy seguro de que Rinne lo entendería.)
Message	Shido	"Thanks, Tohka. You took the time to make
lunch, so I'm gonna dig in."	Gracias, Tohka. Te tomaste el tiempo para hacer el almuerzo, así que voy a comer.
Message	Tohka	"Okay! Don't hold back. If you like it, I can
make it every day."	¡Vale! No te contengas. Si te gusta, puedo hacerlo todos los días.
Message	Shido	"O-Okay. Well, then you'd be pushing yourself
too hard..."	De acuerdo. Bueno, entonces te estarías presionando demasiado...
Message	Tohka	Hey?! How do you know that?!	¡¿Eh?! ¡¿Cómo sabes eso?!
Message		"(Well, if you're sleeping in that much, then
it's not too hard to figure out...)"	(Bueno, si duermes hasta tarde, entonces no es tan difícil darse cuenta...)
Message	Tohka	"Don't tell me! You hired a spy to observe me,
didn't you?!"	¡No me digas! ¡¿Contrataste a un espía para observarme, verdad?!
Message	Shido	"I didn't hire a spy, nor was I observing you,
so don't worry. You just looked sleepy, so I
figured it was the case."	No contraté a un espía, ni te estaba observando, así que no te preocupes. Sólo parecías somnoliento, así que supuse que era el caso.
Message	Tohka	Oh... I-I see.	Ya veo.
Message	Shido	Anyways, let's grub. Can you give me a moment?	De todos modos, vamos a comer. ¿Puedes darme un momento?
Message	Tohka	Sure. What's wrong?	Claro. ¿Qué pasa?
Message	Shido	Nothing, I need to talk to Rinne.	Nada, tengo que hablar con Rinne.
Message	Tohka	I see. Hurry up then.	Ya veo. Date prisa entonces.
Message	Shido	Okay.	Vale, vale, vale.
Message		(But... it's hard for me to bring it up.)	(Pero... me cuesta sacarlo a relucir).
Message	Rinne	Shido?	¿Shido?
Message		—?! R-Rinne!	¡-?! ¡R-Rinne!
Message	Shido	U-Um! Rinne, you see...	¡U-Um! Rinne, verás...
Message	Rinne	Don't look so troubled.	No parezcas tan preocupado.
Message	Shido	Huh...?	¿Eh...?
Message	Rinne	Tohka-chan brought lunch, right?	Tohka-chan trajo el almuerzo, ¿verdad?
Message	Shido	Y-Yeah, so today—	Sí, así que hoy...
Message	Rinne	"Okay... It's fine. Don't worry about me. You
should hurry off to her."	Bueno... No pasa nada. No te preocupes por mí. Deberías apurarte con ella.
Message	Shido	B-But...	P-Pero...
Message	Rinne	"Don't tell Tohka-chan I made lunch, okay?
I don't want her to feel bad..."	No le digas a Tohka-chan que he hecho la comida, ¿vale?  No quiero que se sienta mal...
Message	Shido	O-Okay. Sorry.	Vale. Lo siento.
Message	Rinne	"Hehe. Don't worry about it. Be sure to eat it
all though, okay?"	Jeje. No te preocupes. Asegúrese de comer todo, sin embargo, ¿de acuerdo?
Message	Shido	Got it!	¡La tengo!
Message	Tohka	Shido, you done?	Shido, you done?
Message	Shido	Yeah. Let's move and start eating.	Sí. Movámonos y empecemos a comer.
Message	Tohka	Hm? Will this place suffice?	¿Hm? ¿Será suficiente este lugar?
Message	Shido	"W-Well, I'm eating the lunch you made, so it's
just the two of us, right?"	Bueno, estoy comiendo el almuerzo que hiciste, así que sólo somos nosotros dos, ¿verdad?
Message		"(If I eat Tohka's lunch here, God knows what
anyone would say. I feel bad eating it in front
of Rinne, too...)"	(Si me como el almuerzo de Tohka aquí, Dios sabe lo que dirían. También me siento mal comiéndolo delante de Rinne...)
Message	Tohka	"I-I see. If you give the word, I will go wherever
you need me to."	Ya veo. Si me das la orden, iré donde me necesites.
Message	Shido	O-Okay. Let's get going then.	De acuerdo. Pongámonos en marcha entonces.
Message	Tohka	Okay!	¡Vale!
Message		"(Phew. It's hot, but we're in the shade, so it
should be fine. Finally, I can eat in peace.)"	(Uf. Hace calor, pero estamos a la sombra, así que no pasará nada. Por fin puedo comer en paz).
Message	Shido	Let's eat here then.	Comamos aquí entonces.
Message	Tohka	It may not compare to Rinne's cooking, but...	Puede que no se compare con la cocina de Rinne, pero...
Message	Shido	"I'm just happy to eat something you made,
Tohka."	Estoy feliz de comer algo que tú hiciste, Tohka.
Message	Tohka	I-I see.	Ya veo.
Message	Shido	Thanks for the meal.	Gracias por la comida.
Message	Tohka	Go on then.	Pues adelante.
Message	Shido	Let's see...	Veamos...
Message		"(There's rice, stewed potatoes and beef...
some sausage and pickles. Oh, and there are
some apple wedges, too.)"	(Hay arroz, patatas guisadas y ternera... algo de salchicha y pepinillos. Ah, y también hay algunos trozos de manzana).
Message	Shido	"I see. Rinne's showed you how to make meat
and potatoes?"	Ya veo. ¿Rinne te ha enseñado a hacer carne con patatas?
Message	Shido	"*nom, nom*... OH! Tohka, this is delicious!
Great job!"	*nom, nom*... ¡OH! ¡Tohka, esto es delicioso!  ¡Buen trabajo!
Message	Tohka	Oh, really?! Then try the others!	¿En serio? ¡Entonces prueba con los otros!
Message		"(And so, I devoured the entire lunch she had
prepared for me.)"	(Y así, devoré todo el almuerzo que me había preparado).
Message		"(The potato and carrots were diced rather
oddly, but it added to the charm of the meal.)"	(La patata y las zanahorias estaban cortadas en dados bastante extraños, pero añadía encanto a la comida).
Message		"(The sausage was cut like tiny octopuses, but
the cuts were so deep, they were practically
starfish. Lots of salt and pepper used, too.)"	(La salchicha estaba cortada como pequeños pulpos, pero los cortes eran tan profundos que eran prácticamente estrellas de mar. También se utilizó mucha sal y pimienta).
