Operator	Comment	Key	Translation
Message	Shido	Now then, I guess I'll go check on Yoshino.	Entonces, supongo que iré a ver a Yoshino.
Message	Shido	Hm?	¿Eh?
Message	Reine	Shin, it's an emergency.	Shin, es una emergencia.
Message	Shido	"Reine-san?
What's wrong?"	¿Reine-san? ¿Qué ocurre?
Message	Reine	Actually... Yoshino has disappeared.	En realidad... Yoshino ha desaparecido.
Message	Shido	"I see... Wait, what?!
What do you mean, disappeared?"	"Ya veo... Espera, ¿qué? ¿Qué
quieres decir con desaparecido?"
Message	Reine	Well, she was at the Itsuka household until just\nnow... But just as I took my eyes off of her,\nit seems she managed to slip past.	"Bueno, ella estuvo en la casa Itsuka hasta ahora…
Pero justo cuando quité mis ojos de ella,
parece que se las arregló para escabullirse."
Message	Reine	Her whereabouts will be difficult to pinpoint\nnow... I apologize, but could you look for\nYoshino?	"Su paradero será difícil de precisar ahora…
Lo siento, pero ¿podrías buscar a Yoshino?"
Message	Shido	Yes, I'll take a look around the area!	Sí, ¡echaré un vistazo por la zona!
Message	Reine	...I'll leave it to you, then.\nI'll have a look as well.	"...te lo dejaré a ti, entonces.
Yo también echaré un vistazo."
Message	Shido	"Is Yoshino okay? She's timid and doesn't know much
about the world... It's not certain that she won't
get caught up in some trouble out there alone."	"¿Está bien Yoshino? Es tímida y no sabe
mucho del mundo... No es seguro que no
se vea envuelta en algún problema allí sola."
Message	Shido	All right, I'll hurry and look for her!	¡Muy bien, me apresuraré a buscarla!
Message	Shido	"*Pant, pant...*
Just wait, Yoshino! I'll find you!"	"*jadear, jadear…*
¡Sólo espera, Yoshino! ¡Te encontraré!"
Message	Yoshino	Ah... Sh-Shido-san!	Ah... ¡Sh-Shido-san!
Message	Shido	"I'm sorry, Yoshino!
I'm in a rush and... Wait, huh?! Y-Yoshino?!"	"¡Lo siento, Yoshino! Tengo prisa y…
Espera, ¡¿eh?! ¡¿Y-Yoshino?!"
Message	Yoshino	Y-Yes... It's me.	S-Sí... Soy yo.
Message	Yoshinon	Hey, Yoshinon's here, too!	¡Eh, Yoshinon también está aquí!
