Operator	Comment	Key	Translation
Message	Shido	"Excuse meeeee. Reine-san, are you around?
I was going to invite Kotori to grab a bite to
eat—Oh. She's not here."	"Discúlpame. Reine-san, ¿estás por aquí?  Iba
a invitar a Kotori a comer algo-Oh. No está."
Message	Shido	Mmm... A phone call?! Speak of the devil.	Mmm... ¡¿Una llamada telefónica?! Hablando del diablo.
Message	Shido	Hey, Kotori. What's the matter?	Hola, Kotori. ¿Qué te pasa?
Message	Kotori	Oh, Shido? You had PE today, right? Did you\nbring your gym clothes?	"Oh, ¿Shido? Tenías educación física hoy,
¿verdad? ¿Trajiste tu ropa de gimnasia?"
Message	Shido	Huh...? Y-Yeah, I did... Why?	¿Eh...? S-Sí, lo hice... ¿Por qué?
Message	Kotori	Oh... I-I see. A-As long as you did,\nthat's fine.	Ya veo. Si lo hiciste, está bien.
Message	Shido	I... Is that all?	I... ¿Eso es todo?
Message	Kotori	What? Got a problem with that? I mean, I don't\nwant a situation where you enter class naked,\nsending Tohka's emotional state into chaos.	"¿Qué? ¿Tienes algún problema con eso? Quiero decir, no
quiero una situación en la que entres en clase desnudo,
sumiendo el estado emocional de Tohka en el caos."
Message	Shido	"Even if I did forget my clothes, it wouldn't
pan out like that!"	"Aunque me olvidara la ropa,
¡no saldría así!"
Message	Kotori	Hmph. We'll see.	Hmph. Ya veremos.
Message	Shido	You know...	Sabes...
Message	Kotori	So long as you didn't forget them,\nit's fine. Bye!	Mientras no los olvides, está bien. ¡Adiós!
Message	Shido	Oh, Kotori...	Oh, Kotori...
Message	Kotori	What?!	¡¿Qué?!
Message	Shido	"Thanks for looking out. I feel so much better
after hearing your voice."	"Gracias por cuidarme. Me siento mucho
mejor después de oír tu voz."
Message	Kotori	...! D-Don't be stupid!	¡...! ¡No seas estúpido!
Message	Kotori	I don't have time to waste! I'm hanging up!	¡No tengo tiempo que perder! ¡Voy a colgar!
Message	Shido	Oh, hey! Why don't we have lunch toge—	Oh, hey! ¿Por qué no almorzamos juntos?
Message	Shido	...Sh-She hung up.	...C-Colgó.
Message		"(But... I wonder what Kotori called me for?
Maybe she wanted to hear my voice, too.)"	"(Pero... Me pregunto para qué me habrá llamado
Kotori.  Quizá también quería oír mi voz)."
Message	Shido	Nahhh. No way.	Nahhh. De ninguna manera.
Message	Shido	"Oh well. I'll just head for class and eat my
lunch."	"Ah, bueno. Iré a clase
y comeré mi almuerzo."
