Operator	Comment	Key	Translation
Message	Shido	"I'm going alone to school for the first time
in a while."	"Voy sola a la escuela por primera
vez en mucho tiempo."
Message	Shido	"Seems like both Tohka and Kotori are heading
to the Fraxinus. Man, the days are so hectic."	"Parece que tanto Tohka como Kotori se dirigen
al Fraxinus. Hombre, los días son tan agitados."
Message	Shido	Oh... Kurumi?	Oh... ¿Kurumi?
Message	Kurumi	My, Shido-san. Good morning.	Vaya, Shido-san. Buenos días.
Message	Shido	Kurumi...? Did you just come out of the alley?	¿Kurumi...? ¿Acabas de salir del callejón?
Message	Kurumi	Yes. What of it?	Sí. ¿Y qué?
Message	Shido	"I heard they caught a pervert there. It's
dangerous, so I suggest you stay away."	"Oí que atraparon a un pervertido allí. Es peligroso,
así que te sugiero que te mantengas alejado."
Message	Kurumi	My, are you concerned for my safety?	Vaya, ¿te preocupa mi seguridad?
Message	Shido	Uh... I-It's not like that!	Uh... ¡No es así!
Message	Kurumi	Oh, very well. How unfortunate.	Oh, muy bien. Qué desafortunado.
Message	Shido	Huh?	¿Eh?
Message	Kurumi	"I was under the impression you cared,
Shido-san, but it appears not to be true.
I think I'm on the verge of tears."	"Tenía la impresión de que te importaba,
Shido-san, pero parece que no es verdad.
Creo que estoy al borde de las lágrimas."
Message	Shido	"What? Wait, what? I guess if the pervert ran
into you, he'd be in big danger."	"¿Qué cosa? Espera, ¿qué? Supongo que si el
pervertido se topara contigo, estaría en gran peligro."
Message	Kurumi	Hehe...	Jeje...
Message	Shido	"If I continue talking to you, I'll be late! Sorry,
I gotta get going."	"¡Si sigo hablando contigo, llegaré tarde!
Lo siento, tengo que irme."
Message	Kurumi	"Okay. I won't keep you. The student's true duty
is to his studies. Have a nice day."	"Está bien. No te entretendré. El verdadero deber del
estudiante es con sus estudios. Que tenga un buen día."
Message	Shido	O-Okay... Later!	O-Okay… Nos vemos!
Message	Kurumi	...Hehe.	...Jeje.
