Operator	Comment	Key	Translation
Message	Shido	"All right, I'll go. That way, I'll just get it out
of my head."	Está bien, iré. Así me lo sacaré de la cabeza.
Message	Shido	"There's still a lot of people around. Guess
the tower's still open."	"Todavía hay mucha gente por aquí.
Supongo que la torre sigue abierta."
Message	Kurumi	...Oh, Shido-san?	...Oh, ¿Shido-san?
Message	Shido	Hm...? Kurumi? What are you doing here?	¿Hm...? ¿Kurumi? ¿Qué estás haciendo aquí?
Message	Kurumi	"Well, Shido-san, couldn't I ask you the same
question?"	"Bueno, Shido-san,
¿no podría hacerte la misma pregunta?"
Message	Shido	Well, I was curious about something.	Bueno, tenía curiosidad por algo.
Message	Kurumi	My, as was I.	Como yo.
Message	Kurumi	Shido-san?!	¡¿Shido-san?!
Message	Shido	Wh-What is it?!	¡¿Qu-Qué pasa?!
Message	Kurumi	Could... Could this be a barrier?!	¿Podría... ¡¿Podría ser esto una barrera?!
Message	Shido	Y-You mean—?!	¡¿Quieres decir...?!
Message	???	...	...
Message	Shido	Whoa!	¡Vaya!
Message	Kurumi	Shido-san!	¡Shido-san!
Message	???	...	...
Message	Shido	What the hell is that thing?!	¿Qué demonios es esa cosa?
Message	Shido	A-An angel?! Is that... an angel?!	¡¿Un ángel?! ¡¿Es eso... un ángel?!
Message		"(Not like the ""Spirit angels, but more like a boss monster from a video game…"")"	"(No como los ""ángeles espirituales"", sino
más como un jefe final de un videojuego…)"
Message	???	...	...
Message	Kurumi	It appears to be warning us. Not to go near.	Parece estar advirtiéndonos. que no nos acerquemos.
Message	Shido	So, there IS something going on here!	Así que, ¡aquí está pasando algo!
Message	???	...	...
Message	Shido	Wh-Whoa!	¡Wh-Whoa!
Message	Kurumi	It's dangerous!	¡Es peligroso!
Message	Shido	?!	¡?!
Message	Shido	Kurumi!	¡Kurumi!
Message	Kurumi	Shido-san, don't move.	Shido-san, no te muevas.
Message	Shido	...!	¡...!
Message	???	...	...
Message	Kurumi	Hehehehe. This is getting interesting!	Jejejeje. ¡Esto se está poniendo interesante!
Message	???	...	...
Message	Kurumi	"Aha... Ahahaha! I sensed something dangerous,
but is this all?"	"Aha... ¡Ahahaha! Sentí algo peligroso,
pero ¿esto es todo?"
Message	Kurumi	The fun... is just beginning!	La diversión... ¡no ha hecho más que empezar!
Message	???	...	...
Message	Shido	Did it stop moving...?	¿Dejó de moverse...?
Message	Kurumi	Now, let's put this to an end, shall we?	Ahora, vamos a poner fin a esto, ¿de acuerdo?
Message	???	...	...
Message	Shido	Kurumi!	¡Kurumi!
Message	Shido	"It's disappearing. Almost like... the Spirit's
Astral Dress is disappearing."	"Está desapareciendo. Casi como... el Vestido
Astral del Espíritu está desapareciendo."
Message	Kurumi	Shido-san, are you hurt at all?	Shido-san, ¿estás herido?
Message	Shido	N-No, it's all thanks to you, Kurumi.	N-No, es todo gracias a ti, Kurumi.
Message	Shido	Did you... do it? What was that thing?!	¿Lo... hiciste? ¡¿Qué era esa cosa?!
Message	Kurumi	"Good question. I have no idea. It may, however,
be related to my investigation."	"Buena pregunta. No tengo ni idea. Sin embargo,
puede estar relacionado con mi investigación."
Message	Shido	"Kurumi, are you investigating the barrier
around Tengu City?"	"Kurumi, ¿estás investigando la
barrera alrededor de Ciudad Tengu?"
Message	Kurumi	"That's a secret. That is, unless you promise to
be mine, then I can tell you."	"Eso es un secreto. Eso es, a menos que
prometas ser mío, entonces puedo decírtelo."
Message	Shido	Well, no thanks to that...	Bueno, no gracias a eso...
Message	Kurumi	"Hehe. How unfortunate. Are you going home
now?"	"Jeje. Que desafortunado.
¿Te vas a casa ahora?"
Message	Shido	Yeah. I've had dinner to make, anyways.	Sí. Tengo que hacer la cena, de todos modos.
Message	Kurumi	"Then, I will escort you close to your home.
Something treacherous may appear again."	"Entonces, te escoltaré cerca de tu casa.
Algo traicionero puede aparecer de nuevo."
Message	Shido	N-No. I couldn't let you do that for me.	N-No. No podría dejar que hicieras eso por mí.
Message	Kurumi	"Hehe, but you can rely on me in times like
these. Letting you go alone is too risky."	"Jeje, pero puedes confiar en mí en momentos así.
Dejarte ir solo es demasiado arriesgado."
Message	Shido	"Okay, fine. I guess I could take you up on
your offer."	"Vale, bien. Supongo que
podría aceptar tu oferta."
Message	Kurumi	Yes. A night walk would do us good.	Sí. Un paseo nocturno nos vendría bien.
Message	Shido	"So, that's what happened. I managed to get
out safely, all thanks to Kurumi."	"Así que, eso es lo que pasó. Me las arreglé
para salir a salvo, todo gracias a Kurumi."
Message	Kotori	...So?	...¿Y?
Message	Shido	Uh. That's it, really.	Uh. Eso es todo, de verdad.
Message	Kotori	"So just because you're good, you think
everything's fine?"	"¿Así que sólo porque eres bueno
crees que todo está bien?"
Message	Kotori	What the hell, brother?!	¡¿Qué demonios, hermano?!
Message	Shido	Ugh!	¡Uf!
Message	Kotori	"Why are you going around like that without
telling me? What would I do if something
happened to you?!"	"¿Por qué vas por ahí así sin decírmelo?
¡¿Qué haría yo si te pasara algo?!"
Message	Shido	S-Sorry... I-I didn't mean to worry you.	Lo siento... No quería preocuparte.
Message	Kotori	"Do you have any idea what your body is going
through right now?! You don't even have powers!
How many times have I told you?!"	"¡¿Tienes idea de lo que tu cuerpo está pasando
ahora mismo?! ¡Ni siquiera tienes poderes!
¡¿Cuántas veces te lo he dicho?!"
Message	Shido	S-Sorry, it's all my fault.	Lo siento, todo es culpa mía.
Message	Kotori	Well, at least you're safe.	Bueno, al menos estás a salvo.
Message	Shido	Yeah...	Sí...
Message	Kotori	"I'll have people investigate the monument
immediately, but..."	"Haré que investiguen el monumento
inmediatamente, pero..."
Message	Kotori	"Because of your reckless actions, there's a
chance the Spirits might go berserk. Next
time, be sure to consult with me."	"Debido a tus acciones imprudentes, existe la
posibilidad de que los Espíritus se vuelvan locos.
La próxima vez, asegúrate de consultarme."
Message	Shido	O-Okay... I promise.	O-Okay… Lo prometo.
Message	Kotori	"As long as you know. The barrier covering Tengu
City seems related to this, but we won't know
until we get some results."	"Mientras lo sepas. La barrera que cubre Ciudad Tengu
parece estar relacionada con esto, pero no lo sabremos
hasta que obtengamos algunos resultados."
Message	Shido	Right...	Bien...
Message	Kotori	"I hope you'll make some progress, then. Leave
the situation to us. Shido, you just continue
looking after the Spirits."	"Espero que hagas algún progreso, entonces.
Déjanos la situación a nosotros. Shido,
tú sigue cuidando de los Espíritus."
Message	Shido	Right. Got it.	De acuerdo. Entendido.
Message	Kotori	"Also, you've been spending too much time
with Kurumi recently. I know you know, but
she's dangerous. Just keep your guard up."	"Además, últimamente has pasado demasiado
tiempo con Kurumi. Sé que lo sabes, pero
ella es peligrosa. Mantén la guardia alta."
Message	Shido	I'll remember that.	Lo recordaré.
Message		"(But...seeing Kurumi, I can't help but worry
about her. There's something there, I'm sure.)"	"(Pero... viendo a Kurumi, no puedo evitar
preocuparme por ella. Hay algo ahí, estoy seguro)."
