Operator	Comment	Key	Translation
Message		"(It might be too little too late, but isn't this
test too comprehensive? My head's about
to burst.)"	"(Puede que sea demasiado poco y demasiado tarde,
pero ¿no es esta prueba demasiado exhaustiva?
Me va a estallar la cabeza)."
Message	Tonomachi	"Heeeey! It's my boyfriend, Itsuka-kuuuun!
Let's get luuuuunch!"	"¡Heeey! ¡Es mi novio, Itsuka-kuuuun!
¡Vamos a comer!"
Message	Shido	"Man, give that creepy voice a rest! It's not
even noon! Who the hell you callin' boyfriend?!"	"¡Hombre, dale un descanso a esa voz espeluznante!
¡Ni siquiera es mediodía! ¡¿A quién
demonios llamas novio?!"
Message	Tonomachi	"Haha. What's wrong, Itsuka? You embarrassed?
Well, that part of you ain't half bad either."	"Jaja. ¿Qué pasa, Itsuka? ¿Te da vergüenza?
Bueno, esa parte de ti tampoco está nada mal."
Message	Shido	"Hey, if you keep saying weird stuff like that,
I'm gonna deck you!"	"¡Oye, si sigues diciendo cosas raras como esa,
te voy a dar una paliza!"
Message	Tonomachi	"Don't worry, Itsuka. I give, I give!
I can't keep on embarrassing you, now can I?"	"No te preocupes, Itsuka. ¡Doy, doy! No puedo
seguir avergonzándote, ¿verdad?"
Message	Shido	"Please! I'm begging you! Not another word!
Can't you be more conscious of your actions?"	"¡Por favor! ¡Te lo ruego! ¡Ni una palabra más!
¿No puedes ser más consciente de tus actos?"
Message	Tonomachi	"Itsuka, there are times when a man's gotta
act, even when he thinks otherwise."	"Itsuka, hay veces en que un hombre tiene
que actuar, incluso cuando piensa lo contrario."
Message	Shido	"I can almost feel how stupid this conversation's
about to be, but..."	"Casi puedo sentir lo estúpida que
va a ser esta conversación, pero..."
Message	Tonomachi	"No, no. That never happens, right? My stories
are always important—"	"No, no. Eso nunca pasa, ¿verdad?
Mis historias son siempre importantes..."
Message	Shido	"Oh hey, there's a girl over there that looks
like she's waving at you."	"Oh hey, hay una chica allí que
parece que te está saludando."
Message	Tonomachi	Huh? Seriously?	¿Eh? ¿En serio?
Message	Shido	"Super serious. Good going, Tonomachi!
You're time's arrived! Don't dawdle, or
she'll end up leaving."	"Super serio. ¡Bien hecho, Tonomachi!
¡Ha llegado tu hora! No te entretengas
o acabará marchándose."
Message	Tonomachi	"What'd you say?! Wait for me, my future
beloved!!"	"¡¿Qué dijiste?!
¡¡Espérame, mi futura amada!!"
Message	Shido	"Go already.
Whew... Dumbass. As if it's that easy."	"Vete ya.  Uf... Idiota.
Como si fuera tan fácil."
Message	Shido	"I'm pooped. Well, I can't let it get to me.
I'll eat lunch with Tohka... Huh, where is she?"	"Estoy hecho polvo. Bueno, no puedo dejar que
me afecte. Almorzaré con Tohka... ¿Dónde está?"
Message		"(Huh? Where'd Tohka go? She must've
left while I dealt with Tonomachi.)"	"(¿Eh? ¿Dónde ha ido Tohka? Debe haberse
ido mientras yo me ocupaba de Tonomachi)."
Message		(*sigh*... What to do for lunch today?)	(*suspiro*... ¿Qué hacer para el almuerzo hoy?)
