Operator	Comment	Key	Translation
Message	Shido	Zzz...	Zzz…
Message	Kotori	...Shido.	...Shido.
Message	Shido	M...mmm....	M...mmm....
Message	Kotori	Shido, wake up.	Shido, despierta.
Message	Shido	"Mmm. Huh... Kotori? What are you doing so
early in the morning...?"	"Mmm. Huh... ¿Kotori? ¿Qué haces
tan temprano en la mañana...?"
Message	Kotori	"I need to tell you something.
Let's talk before breakfast."	"Necesito decirte algo. Hablemos
antes del desayuno."
Message	Shido	O-Okay... got it. Give me a second.	Vale... lo tengo. Dame un segundo.
Message	Shido	"So, what is it that you want to tell me? Is it
about the monument... or about the thing
that attacked us?"	"Entonces, ¿qué es lo que quieres decirme?
¿Es sobre el monumento... o sobre la
cosa que nos atacó?"
Message	Kotori	Not either, both.	Ninguno, ambos.
Message	Shido	Both?	¿Las dos cosas?
Message	Kotori	"When we got near the monument, that Angel-like
thing looked like it was trying to block us."	"Cuando nos acercamos al monumento, esa cosa
parecida a un ángel parecía que intentaba bloquearnos."
Message	Shido	Right.	Bien.
Message	Kotori	Then it's natural to think it's a set.	Entonces es natural pensar que es un conjunto.
Message	Shido	"You have a point there...
So what was it? A... Spirit?"	"Tienes razón... Entonces,
¿qué era? Un… ¿Espíritu?"
Message	Kotori	"We don't have enough materials to say for sure,
but for simplicity's sake, it's like a Spirit."	"No tenemos suficientes materiales para asegurarlo,
pero para simplificar, es como un Spirit."
Message	Shido	Wh-What do you mean?	¿Qué quieres decir?
Message	Kotori	"Its qualities are extremely close to a Spirit.
But it doesn't necessarily have free will like
Tohka and the others."	"Sus cualidades son extremadamente parecidas a
las de un Espíritu. Pero no tiene necesariamente
libre albedrío como Tohka y los demás."
Message	Shido	Hm...?	¿Hm...?
Message	Kotori	"Shido, even though your brain is smaller than
a Megaphragma mymaripenne, as a person, I
wish you could just picture it."	"Shido, aunque tu cerebro sea más pequeño que el de
un Megaphragma mymaripenne, como persona,
desearía que pudieras simplemente imaginarlo."
Message	Shido	Wh-What kind of insect is that?	¿Qué clase de insecto es ese?
Message	Kotori	"Whatever, forget it. I know for certain it’s a
being created from the Spirits' powers."	"Lo que sea, olvídalo. Sé con certeza que es un ser
creado a partir de los poderes de los Espíritus."
Message	Kotori	"In video game terms, it's like a ""golem
or a ""Guardian"". That kind of thing."""	"En términos de videojuegos, es como un ""golem"" o
un ""guardián"". Ese tipo de cosas""."
Message	Shido	I see, but you still don't know the details.	Ya veo, pero sigues sin conocer los detalles.
Message	Kotori	"Right. I couldn't get more than that. At the
very least, I know it has to do with the
barrier."	"Sí, claro. No pude conseguir más que eso.
Por lo menos, sé que tiene
que ver con la barrera."
Message	Shido	...Is there something you're curious about?	...¿hay algo por lo que sientas curiosidad?
Message	Kotori	"The waveform pattern of the Spirit waves from
the monument... matches the barrier covering
Tengu City."	"El patrón de onda de las ondas espirituales del
monumento... coincide con la barrera que
cubre Ciudad Tengu."
Message	Shido	...?!	¡...?!
Message	Kotori	"The scales were so different that I almost
missed it, but after comparing them, they
matched."	"Las escalas eran tan diferentes que casi no me
di cuenta, pero después de compararlas,
coincidían."
Message	Shido	Th-Then that means...	Entonces eso significa...
Message	Kotori	"The barrier and the monument are closely
related. In conclusion, this ""Guardian"" must
be coming from the same place as well."	"La barrera y el monumento están estrechamente
relacionados. En conclusión, este ""Guardián""
también debe proceder del mismo lugar."
Message	Kotori	"The obvious answer, is that the monument
must be the base of the barrier."	"La respuesta obvia es que el monumento
debe ser la base de la barrera."
Message	Shido	"Wait, the base is that monument?! So, if we
break it..."	"Espera, ¡¿la base es ese monumento?!
Entonces, si lo rompemos..."
Message	Kotori	"If it worked that way, I would've done it
already. Unfortunately, it's not that easy."	"Si funcionara así, ya lo habría hecho.
Por desgracia, no es tan fácil."
Message	Shido	Wait, are you saying... it's not the only one?	Espera, ¿estás diciendo... que no es el único?
Message	Kotori	"...Nice observation. Exactly. There has to be
something else in Tengu City that gives off
the same protection signature."	"...Buena observación. Exactamente. Tiene que
haber algo más en Ciudad Tengu que emita
la misma firma de protección."
Message	Shido	"So, we'll need to find that next, huh? We're
only getting started."	"Así que, tendremos que encontrar eso después,
¿eh? Sólo estamos empezando."
Message	Kotori	"Yes. We've still got a long way to go.
However, Shido, it's our job to investigate
this. You need to prioritize your dates."	"Sí. Todavía tenemos un largo camino por recorrer.
Sin embargo, Shido, es nuestro trabajo investigar
esto. Necesitas priorizar tus citas."
Message	Shido	B-But at this rate—	Pero a este ritmo...
Message	Kotori	"If you notice anything, of course, then tell me.
But don't do anything more than that, got it?"	"Si notas algo, por supuesto, dímelo. Pero no
hagas nada más que eso, ¿entendido?"
Message	Shido	O-Okay...	O-Okay...
Message	Kotori	"If our analysis helps us determine where the
enemy's stronghold is, that'd be great, but..."	"Si nuestro análisis nos ayuda a determinar dónde
está la fortaleza del enemigo, sería estupendo, pero..."
Message	Shido	"The enemy? You mean that Guardian thing
from before?"	"¿El enemigo? ¿Te refieres
al Guardián de antes?"
Message	Kotori	"I'm talking about whoever made the barrier.
The one who's got us locked in. But enough talk!
Just focus on what you need to do!"	"Hablo de quien hizo la barrera. El que nos tiene
encerrados. ¡Pero basta de charla!
¡Concéntrate en lo que tienes que hacer!"
Message	Shido	"Oh, uh... Sorry. I'll cooperate as much as I
can. I'm sure it's tough for all of us."	"Oh, uh... Lo siento. Cooperaré tanto como pueda.
Estoy seguro de que es difícil para todos nosotros."
Message	Kotori	"In case it needs to be said, I'll say it: You're
not invincible, so don't overdo it."	"Por si hace falta decirlo, lo diré:
No eres invencible, así que no exageres."
Message	Shido	Yeah, I promise.	Sí, lo prometo.
Message	Kotori	"Seriously. I'm so worried that I'll be
even more sleepless than Reine."	"En serio. Estoy tan preocupada que
estaré aún más insomne que Reine."
Message	Shido	What...?	¿Qué...?
Message	Kotori	N-Nothing!	¡N-Nada!
Message	Shido	O-Okay...?	¿O-Okay…?
Message	Kotori	Is breakfast ready?	¿Está listo el desayuno?
Message	Shido	Sorry for the wait. Go ahead and dig in.	Disculpe la espera. Adelante.
Message	Yoshino	Sh-Shido...san. G-Good morning.	Sh-Shido...san. Buenos días.
Message	Yoshinon	Yaha!	¡Yaha!
Message	Shido	"Hello Yoshino and Yoshinon, good morning.
Breakfast is served, so get it while it's fresh."	"Hola Yoshino y Yoshinon, buenos días. El desayuno
está servido, así que tómenlo mientras esté fresco."
Message	Yoshino	O-Okay. Thank... you...	De acuerdo. Gracias…
Message	Kotori	Hey, where's Tohka?	¿Dónde está Tohka?
Message	Shido	"Oh, Tohka? She's headed for school already.
She said she doesn't need breakfast."	"¿Tohka? Ya se dirige a la escuela.
Ha dicho que no necesita desayunar."
Message	Kotori	Tohka... left without eating breakfast?!	Tohka... ¡¿se fue sin desayunar?!
Message	Shido	"You seem surprised. I guess it's strange that
she wouldn't eat, huh?"	"Parece sorprendido. Supongo que
es extraño que no comiera, ¿eh?"
Message	Kotori	Interesting...	Interesante...
Message	Shido	Wh-What?	¿Q-Qué?
Message	Kotori	Nothing. Besides, you'll figure it out soon.	Nada. Además, pronto te darás cuenta.
Message	Shido	Really?	¿De verdad?
