Operator	Comment	Key	Translation
Message	Shido	"That girl earlier... was Kurumi, right? Maybe
I should check the rooftop."	"Esa chica de antes... era Kurumi, ¿verdad?
Tal vez debería revisar la azotea."
Message	Tonomachi	Hey Itsuka, where are you going by yourself?	Oye Itsuka, ¿adónde vas sola?
Message		(Whoa! He's back already?!)	(¡Vaya! ¿Ya ha vuelto?)
Message		"(His tone's rather kind, which is terrifying...
Is he still mad about earlier...?)"	"(Su tono es bastante amable, lo cual es aterrador…
¿Sigue enfadado por lo de antes...?)"
Message	Shido	N-Nothing. I was just taking a walk.	Nada. Sólo estaba dando un paseo.
Message	Tonomachi	"You're lying! I bet you anything you're about to
be with a girl!"	"¡Estás mintiendo! ¡Te apuesto lo que quieras a que
estás a punto de estar con una chica!"
Message		(*grunt*! So he is holding a grudge!)	(*¡gruñido*! ¡Así que guarda rencor!)
Message	Shido	"Hey, what kind of person do you think I am?!
Of course not..."	"¡¿Qué clase de persona crees que soy?!
Por supuesto que no..."
Message	Tonomachi	"No, I don't believe you! I'm going with you!
And I'll take your leftovers!"	"¡No, no te creo! ¡Me voy contigo!
¡Y me llevaré tus sobras!"
Message		(H-He's a lost cause. The man's lost his mind!)	(Es una causa perdida. ¡El hombre ha perdido la cabeza!)
Message	Shido	"I told you it's not true! Jeez. Time to reconsider
our friendship."	"¡Te dije que no es verdad! Cielos. Es hora
de reconsiderar nuestra amistad."
Message	Tonomachi	Say what you will! I will never let you go!	¡Di lo que quieras! ¡Nunca te dejaré ir!
Message	Shido	You're grossing me out!	¡Me estás dando asco!
Message		"(Gosh. Guess that means I'm not checking out
the rooftop.)"	"(Dios. Supongo que eso significa
que no voy a ver la azotea)."
