Operator	Comment	Key	Translation
Message	Shido	Zzz...	Zzz…
Message	Kotori	Shido...	Shido...
Message	Shido	Mm...mmm...	Mm...mmm...
Message	Kotori	Shido, wake up.	Shido, despierta.
Message	Shido	"Hm? Huh? Kotori...? Why are you waking me
up so early?"	"¿Eh? ¿Eh? ¿Kotori...?
¿Por qué me despiertas tan temprano?"
Message	Kotori	"I need to tell you something, so let's talk
before breakfast."	"Necesito decirte algo, así que
hablemos antes del desayuno."
Message	Shido	O-Okay. Got it. Give me a moment.	O-Okay. Entiendo. Dame un momento.
Message	Shido	"So what is it? Is it... about the monument?
Or about the thing that attacked me?"	"Entonces, ¿de qué se trata? ¿Es…
sobre el monumento? ¿O sobre la cosa que me atacó?"
Message	Kotori	Both.	Ambos.
Message	Shido	Both?	¿Las dos cosas?
Message	Kotori	"When you and Origami approached the monument
is when that entity appeared, right?"	"Cuando tú y Origami se acercaron al monumento
fue cuando apareció esa entidad, ¿verdad?"
Message	Shido	Yeah.	Sí.
Message	Kotori	"Then, I think it's reasonable to assume they're
related."	"Entonces, creo que es razonable
suponer que están relacionados."
Message	Shido	S-Sure, that's true. So, what was that thing?	S-Seguro, es verdad. Entonces, ¿qué era esa cosa?
Message	Kotori	"We don't have enough information to say for
sure. But based on what you describe, it has
to be a Spirit."	"No tenemos suficiente información para asegurarlo.
Pero basándonos en lo que describes,
tiene que ser un Espíritu."
Message	Shido	It was a Spirit?	¿Era un Espíritu?
Message	Kotori	Well, not exactly, but pretty close.	Bueno, no exactamente, pero casi.
Message	Shido	What do you mean by that?	¿Qué quiere decir con eso?
Message	Kotori	"It gives off similar readings to a Spirit, but
judging from its movements, it's separate from
the Spirits like Tohka, who act with free will."	"Emite lecturas similares a las de un Espíritu, pero a
juzgar por sus movimientos, está separado de los
Espíritus como Tohka, que actúan con libre albedrío."
Message	Shido	You think so...?	¿Tú crees...?
Message	Kotori	"Shido, even though your brain is smaller than
a Megaphragma mymaripenne, as a normal
person, I'm sure you can imagine it."	"Shido, aunque tu cerebro sea más pequeño que el de un
Megaphragma mymaripenne, como persona normal,
seguro que puedes imaginártelo."
Message	Shido	Wh...What is this insect?	¿Q-Qué es este insecto?
Message	Kotori	"Whatever. Forget it. All I know for sure is that
it was created by Spirit powers."	"Como quieras. Olvídalo. Todo lo que sé con certeza
es que fue creado por los poderes del Espíritu."
Message	Kotori	"If you were to describe it with video game
terms, it would be like a ""Golem"" or a
""Guardian"". Think like that."	"Si tuvieras que describirlo con términos
de videojuegos, sería como un ""Golem""
o un ""Guardián"". Piensa así."
Message	Shido	That's so unrealistic.	Eso es tan poco realista.
Message	Kotori	"Shido, don't you realize that you have no
room to judge until you know what it is
you're facing?"	"Shido, ¿no te das cuenta de que no tienes espacio
para juzgar hasta que sepas a qué te
estás enfrentando?"
Message	Shido	Sorry...	Lo siento...
Message	Kotori	"If you're to be believed, then I assume this
""Golem"" is guarding something."	"Si hemos de creerte, supongo que este
""Golem"" está protegiendo algo."
Message	Shido	G-Guarding?	¿P-Protegiendo?
Message	Kotori	"In other words, it means someone is going
to great lengths to protect that monument."	"En otras palabras, significa que alguien está haciendo
todo lo posible por proteger ese monumento."
Message	Shido	I see... But you don't know for certain, yet.	Ya veo... Pero no lo sabes con certeza, todavía.
Message	Kotori	"Yes. That's the extent of what we know.
At the very least, it is related somehow to
the barrier."	"Sí. Eso es todo lo que sabemos.
Como mínimo, está relacionado
de algún modo con la barrera."
Message	Kotori	"I tried analyzing the Spirit waves surrounding
the monument around the time you told me you
were there."	"Intenté analizar las ondas espirituales
que rodeaban el monumento en la
época en que me dijiste que estuviste allí."
Message	Shido	Well, did you catch anything?	Bueno, ¿Encontraste algo?
Message	Kotori	"The pattern of the Spirit waves near the monument
correspond with the barrier covering Tengu City."	"El patrón de las ondas espirituales cerca del monumento
se corresponde con la barrera que cubre Ciudad Tengu."
Message	Shido	...?!	¡...?!
Message	Kotori	"The waves move at different speeds, so I nearly
missed it. But if you align them, they match."	"Las ondas se mueven a diferentes velocidades, así que
casi me lo pierdo. Pero si las alineas, coinciden."
Message	Shido	Which means...?	¿Lo que significa...?
Message	Kotori	"The barrier and monument are linked somehow.
Most likely, the barrier, the monument, and this
Guardian all come from the same place."	"La barrera y el monumento están vinculados de alguna
manera. Lo más probable es que la barrera, el monumento
y este Guardián procedan del mismo lugar."
Message	Kotori	"That's the most logical conclusion. The monument
has to support the barrier."	"Es la conclusión más lógica. El monumento
tiene que soportar la barrera."
Message	Shido	"It's being supported by the monument? So if
we destroy it..."	"¿Lo sostiene el monumento?
Así que si lo destruimos..."
Message	Kotori	"If it works that way, I would have done so
already. Unfortunately, it's not that easy..."	"Si funcionara así, ya lo habría hecho.
Por desgracia, no es tan fácil..."
Message	Shido	Wait, are you saying... There's more than one?	Espera, ¿estás diciendo... ¿Hay más de uno?
Message	Kotori	Sharp. Next you'll tell me pigs are flying.	Agudo. Luego me dirás que los cerdos vuelan.
Message	Shido	SHUT UP!	¡CÁLLATE!
Message	Kotori	"Listen. There has to be something like the
monument somewhere in Tengu City."	"Escucha. Tiene que haber algo como el
monumento en algún lugar de Ciudad Tengu."
Message	Shido	"We just need to figure out what it is, right?
We're only getting started."	"Sólo tenemos que averiguar qué es,
¿verdad? Sólo estamos empezando."
Message	Kotori	"Yup, we've got a long way to go. But Shido,
it's our job to figure it out. You need to
prioritize your dates."	"Sí, tenemos un largo camino por recorrer.
Pero Shido, es nuestro trabajo resolverlo.
Tienes que priorizar tus citas."
Message	Shido	B...But at this rate—	P… Pero a este ritmo...
Message	Kotori	"Of course, if you notice anything, then tell
me. But nothing more than that, got it?"	"Por supuesto, si notas algo, dímelo.
Pero nada más que eso, ¿entendido?"
Message	Shido	O-Okay...	Vale...
Message	Kotori	"If our analysis yields results and we determine
the enemy's base, it'd be simple, but..."	"Si nuestro análisis da resultados y determinamos
la base del enemigo, sería sencillo, pero..."
Message	Shido	"The enemy...? Like that Guardian thing from
before?"	"¿El enemigo...?
¿Como ese Guardián de antes?"
Message	Kotori	"I'm talking about whoever created it. The one
who's got us locked in this barrier."	"Hablo de quien lo creó. El que nos
tiene encerrados en esta barrera."
Message	Shido	You think the barrier is a trap of some kind?	¿Crees que la barrera es una trampa de algún tipo?
Message	Kotori	"Hm? Oh, you're talking about theory. It's true,
we're still learning what the motive for creating
the barrier was, but..."	"¿Qué? Oh, estás hablando de teoría. Es cierto,
todavía estamos aprendiendo cuál fue el
motivo para crear la barrera, pero..."
Message	Kotori	Whatever it is, we're still trapped inside of it.	Sea lo que sea, seguimos atrapados dentro de él.
Message	Shido	R-Right...	C-Cierto…
Message	Kotori	"Whether it's to kill or protect someone, or to
lock the Spirits in, whoever's responsible does
not want the barrier broken. That's for sure."	"Ya sea para matar o proteger a alguien, o para encerrar
a los Espíritus, quienquiera que sea el responsable no
quiere que se rompa la barrera. Eso es seguro."
Message	Shido	Yeah...	Sí...
Message	Kotori	"Anyone who tries touching the barrier will be
hurt. You figured that out when you checked
out the monument, didn't you?"	"Cualquiera que intente tocar la barrera resultará herido.
Te diste cuenta cuando revisaste el
monumento, ¿verdad?"
Message	Shido	Y-Yeah, I did...	S-Sí, lo hice...
Message	Kotori	"What I don't get is how I detected two of those
Spirit wave patterns when I scanned the monument."	"Lo que no entiendo es cómo detecté dos de esos patrones
de ondas espirituales cuando escaneé el monumento."
Message	Shido	Two?! What does that mean?!	¡¿Dos?! ¡¿Qué significa eso?!
Message	Kotori	There may be more than one barrier...	Puede haber más de una barrera...
Message	Shido	What?!	¡¿Qué?!
Message	Kotori	"If I were scanning one wave at a time, I wouldn't
have noticed. But if you layer the waves together,
one plays in reverse, same frequency."	"Si estuviera escaneando una onda cada vez, no me
habría dado cuenta. Pero si superpones las ondas,
una suena al revés, con la misma frecuencia."
Message	Shido	Plays in reverse...	Juega al revés...
Message	Kotori	"My first thought is that it's an error, but Reine
brought this to my attention, so it has to real."	"Mi primer pensamiento es que se trata de un error, pero
Reine trajo esto a mi atención, por lo que tiene que real."
Message	Shido	Oh, um, sorry... Can you explain it again for me?	Oh, um, lo siento... ¿Puedes explicármelo otra vez?
Message	Kotori	"No need! Enough chit-chat! Just focus on
what needs to be done!"	"¡No es necesario! ¡Basta de cháchara!
¡Concéntrate en lo que hay que hacer!"
Message	Shido	"Whaaat? Well, okay. Sorry. I'll do whatever
I can. We need to figure this out as soon as
possible. I'm sure it's tough on everyone."	"¿Qué? Bueno, vale. Lo siento. Haré lo que pueda.
Tenemos que resolver esto lo antes posible.
Estoy seguro de que es duro para todos."
Message	Kotori	"Just a reminder. You're not invincible. So
please, don't overdo it."	"Sólo un recordatorio. No eres invencible.
Así que por favor, no exageres."
Message	Shido	Okay, I promise.	Vale, lo prometo.
Message	Kotori	"Seriously... I'm getting even less sleep than
Reine because I'm worried sick."	"En serio... Estoy durmiendo incluso menos que
Reine porque estoy muy preocupada."
Message	Shido	Huh...?	¿Eh...?
Message	Kotori	N-Nothing!	¡N-Nada!
Message	Shido	O-Okay!	O-Okay!
