Operator	Comment	Key	Translation
Message		"(I'm going to invite Origami to eat lunch with
me today.)"	(Voy a invitar a Origami a comer conmigo hoy).
Message	Shido	Origami? For lunch today—	¿Origami? Para el almuerzo de hoy-
Message	Origami	Roger.	Entendido.
Message	Shido	Huh?	¿Eh?
Message	Origami	Come. This way.	Ven. Por aquí.
Message	Shido	"Whoa! W-Wait, Origami! I didn't say anything
ye—"	"¡Vaya! ¡Es-Espera, Origami!
Yo no he dicho nada ye-"
Message	Origami	You want to eat lunch with me. Am I wrong?	Quieres comer conmigo. ¿Me equivoco?
Message	Shido	Oh, um. Yeah, I did.	Oh, um. Si.
Message	Origami	Then, this way.	Entonces, por aquí.
Message	Shido	Whoa! Where are you going?!	¡Guau! ¡¿Dónde vas?!
Message	Origami	"We're going to eat by the stairs over there.
That way, we'll be alone."	"Vamos a comer por las escaleras de allí.
Así estaremos solos."
Message	Shido	"Oh, okay. It's a bit hot out, but eating outdoors
is always nice."	"Oh, vale. Hace un poco de calor, pero comer
al aire libre siempre es agradable."
Message	Origami	Yes. Let's eat.	Sí. Vamos a comer.
Message	Shido	All right, let's!	¡Muy bien, vamos!
Message		"(Homemade Hamburg steak today. The shape's
kind of wonky, but... I know it'll taste good!)"	"(Hamburguesa casera hoy. La forma es un
poco torcida, pero... ¡sé que sabrá bien!)"
Message	Origami	I want yours...	Quiero el tuyo...
Message	Shido	Huh...?	¿Eh...?
Message	Origami	Can I have the big one...?	¿Me das el grande...?
Message	Shido	"Oh. Um, y-you're talking... about the steak,
right?"	"Oh. Um, e-estás hablando…
¿de la carne, verdad?"
Message	Origami	Yes... Can I have it?	Sí... ¿Puedo quedármelo?
Message	Shido	"Okay, s-sure. The shape's a bit off, but it's
homemade so I guarantee it's good."	"Ok, s-seguro. La forma es un poco rara,
pero es casera, así que te garantizo que es buena."
Message	Origami	I don't mind. The shape doesn't matter to me.	No me importa. La forma no me importa.
Message	Shido	Huh...?	¿Eh...?
Message	Origami	Hurry up and give it to me.	Date prisa y dámelo.
Message	Shido	Oh, okay....H-Here you go.	Oh, vale....A-Aquí tienes.
Message	Origami	*nom*...ng...ng... W-Wow... Shido's... ha...rg!	*nom*...ng...ng... W-Wow... ¡Shido es... ha...rg!
Message	Shido	"A-Are you okay, Origami?! You look like
you're in a lot of pain."	"¡¿Estás bien, Origami?!
Parece que te duele mucho."
Message	Origami	Mm... nng...ng...	Mm... nng...ng...
Message	Origami	*slurp*. Thank you. It was exquisite.	*sorber*. Gracias. Fue exquisito.
Message	Shido	I-I see... Glad to hear it.	Ya veo... Me alegra oírlo.
Message	Origami	"The moment it entered my mouth, it was
juicy and delectable."	"En cuanto entró en mi boca,
estaba jugoso y delicioso."
Message	Shido	"Y-Yeah. I made sure to prepare it with
that in mind. It had a lot of—"	"Sí. Me aseguré de prepararlo con eso en mente.
Tenía un montón de-"
Message	Origami	It tasted like Shido...	Sabía a Shido...
Message	Shido	"*grunt*! W-Well, it was homemade! I'm
happy you enjoyed it, so..."	"¡*gruñir*! Bueno, ¡era casero! Me alegro
de que lo disfrutaras, así que..."
Message		(Ha... Haha... Why am I so sweaty?)	(Ja... Jaja... ¿Por qué estoy tan sudado?)
