Operator	Comment	Key	Translation
Message	Shido	...Zzzz...	...Zzzz…
Message	Kotori	...Shido.	...Shido.
Message	Shido	...Mm...mrgh...	...Mm...mrgh...
Message	Kotori	Shido, wake up.	Shido, despierta.
Message	Shido	"...Urh... Huh...? Kotori?
What's wrong? It's so early..."	"...Urh... ¿Eh...? ¿Kotori? ¿Qué es lo que pasa?
Es tan temprano..."
Message	Kotori	"I have a report. I'll just take some of your time
before breakfast."	"Tengo un informe. Voy a tomar un poco
de su tiempo antes del desayuno."
Message	Shido	R-Right... Gotcha. Wait just a sec.	Correcto... Entendido. Espera un segundo.
Message	Shido	"So, what's the report? Is it about the monument,
or about what attacked us?"	"Entonces, ¿cuál es el informe? ¿Es sobre el monumento,
o sobre lo que nos atacó?"
Message	Kotori	Both.	Ambos.
Message	Shido	Both?	¿Las dos cosas?
Message	Kotori	"When you approached that monument, an
angel-like being appeared as if to interfere.
There's no mistaking that, right?"	"Cuando te acercaste a ese monumento, un ser parecido
a un ángel apareció como para interferir.
No hay error, ¿verdad?"
Message	Shido	Yeah.	Sí.
Message	Kotori	Then, it makes sense to think of them as a set.	Entonces, tiene sentido pensar en ellos como un conjunto.
Message	Shido	"I guess that's true... So, who was that person?
Was it a Spirit?"	"Supongo que es verdad... Entonces,
¿quién era esa persona? ¿Era un Espíritu?"
Message	Kotori	"There's not enough information to know for sure.
From observing the numbers we have on it, it's
true that it resembles a Spirit."	"No hay suficiente información para saberlo con seguridad.
Observando los números que tenemos sobre él,
es cierto que se parece a un Spirit."
Message	Shido	Wh-What do you mean?	¿Qué quieres decir?
Message	Kotori	"From a data perspective, it's an entity extremely
similar to a Spirit. Given its movement, it must
be different from the others, who have free will."	"Desde el punto de vista de los datos, es una entidad
extremadamente similar a un Espíritu. Dado su movimiento,
debe ser diferente de los demás, que tienen libre albedrío."
Message	Shido	...Erm?	...¿Erm?
Message	Kotori	"...Even if your brain is smaller than a
Megaphragma mymaripenne's, it'd be good for you
to attempt at least a little imagination."	"...Incluso si tu cerebro es más pequeño que el de un
Megaphragma mymaripenne, sería bueno que
intentaras al menos un poco de imaginación."
Message	Shido	Oof... What the heck kind of creature is that...?	Uf... ¿Qué clase de criatura es esa...?
Message	Kotori	"Anyway, it's definitely an existence generated
by a Spirit. Considering the situation you
described..."	"De todos modos, es definitivamente una existencia
generada por un Espíritu. Considerando la situación
que describiste..."
Message	Kotori	"If you were to put it into game terms, it would be
a ""Golem"" or a ""Guardian""... That sort of thing."	"Si lo pusiéramos en términos de juego, sería un
""Golem"" o un ""Guardián""... Ese tipo de cosas."
Message	Shido	That sounds kinda surreal.	Eso suena un poco surrealista.
Message	Kotori	"Shido, you might want to think about your own
situation before saying something like that."	"Shido, quizá quieras pensar en tu propia
situación antes de decir algo así."
Message	Shido	Sorry...	Lo siento...
