Operator	Comment	Key	Translation
Message	Shido	"Oh right... I'll try calling before lunch ends.
If Yoshino was the one who called,
it might be something urgent..."	"Oh bien... Intentaré llamar antes de que termine
el almuerzo.  Si Yoshino fue quien llamó,
podría ser algo urgente…"
Message	Shido	...Hmm?	...¿Hmm?
Message	Shido	R-Reine-san?	¿R-Reine-san?
Message	Reine	I apologize for calling while you're busy.\nIt's a bit urgent.	"Me disculpo por llamar mientras estás ocupado.
Es un poco urgente."
Message	Shido	"Oh, wait just a moment.
I'll head out into the hallway..."	"Oh, espera un momento.
Saldré al pasillo..."
Message	Shido	...Hello? Did something happen?	...¿Hola? ¿Ha pasado algo?
Message	Reine	I just received a call from the Fraxinus...\nYoshino has disappeared from the house.	"Acabo de recibir una llamada del Fraxinus… 
Yoshino ha desaparecido de la casa."
Message	Shido	Disappeared...? Maybe she went for a walk?	¿Desapareció...? ¿Tal vez se fue a dar un paseo?
Message	Reine	Unfortunately the situation is\nnot quite so casual.	Por desgracia, la situación no es tan casual.
Message	Shido	...Huh?	...¿Eh?
Message	Reine	Yoshino's spiritual energy has\nbecome pretty unstable.	"La energía espiritual de Yoshino
se ha vuelto bastante inestable."
Message	Shido	What? Wh-Why?!	¿Qué? ¡¿Por qué?!
Message	Reine	I don't know the cause. However, we can't leave\nher like this. Shin, I apologize, but could you\nsearch for her?	"No sé la causa. Sin embargo, no podemos dejarla así.
Shin, me disculpo, pero ¿podrías buscarla?"
Message	Shido	"I understand. I'll search on my end!
I swear I'll find Yoshino!"	"Comprendo. ¡Buscaré por mi cuenta!
¡Juro que encontraré a Yoshino!"
Message	Reine	I'm counting on you...	Cuento contigo...
