Operator	Comment	Key	Translation
Message	???	...	...
Message	Kurumi	"My, my. Someone has a lot of friends...
This isn't going to end, is it?"	"Vaya, vaya. Alguien tiene muchos amigos…
Esto no va a terminar, ¿verdad?"
Message	Kurumi	"Hehe, hehehe... Aah... So scary. So spooky.
I'm a princess who needs someone to save
me from all these baddies..."	"Hehe, hehehe... Aah... Qué miedo. Tan espeluznante.
Soy una princesa que necesita a alguien que me
salve de todos estos malos..."
Message	Kurumi	"Hee hee... Hihihihi... I've had my fun.
Time to get serious. I don't want to keep
Shido-san waiting much longer."	"Hee hee... Hihihihi... He tenido mi diversión.
Es hora de ponerse serios. No quiero hacer
esperar mucho más a Shido-san."
Message	Kurumi	Right? We—	¿Verdad? Nosotros-
Message	Kurumi	"Now, now. I'll show you just who's at a
disadvantage here!"	"Ahora, ahora. ¡Te mostraré quién
está en desventaja aquí!"
Message	Kurumi	Hee hee...	Hee hee...
Message	Kurumi	My, my.	Vaya, Vaya.
Message	Kurumi	Hehe...	Jeje...
Message	Kurumi	Kihihihi!	¡Kihihi!
Message	Kurumi	AHAHAHA!	¡AHAHAHA!
Message	Kurumi	Shido-san, please hang on a bit longer...	Shido-san, por favor aguanta un poco más...
Message	Kurumi	Now, now.	Ahora, Ahora.
Message	Kurumi	Hihihihi!	¡Hihihihi!
Message	Kurumi	Hehe...	Jeje...
Message	Kurumi	Say something? How's this!	¿Decir algo? ¿Qué tal esto?
Message	Kurumi	My, thinking of giving up?	Vaya, ¿pensando en rendirse?
Message	Kurumi	"You don't look too tasty, but now's not
the time to be picky!"	"No pareces muy sabroso, ¡pero no
es el momento de ser quisquillosa!"
Message	Kurumi	Hee hee... Hihi! Kihihihihi!	Hee hee... ¡Hihi! ¡Kihihihihi!
Message	Kurumi	Kihi! Kihihi kihihihi! We are good! GOOD!	¡Kihi! ¡Kihihi kihihihi! ¡Somos buenos! ¡BIEN!
Message	Kurumi	Now, the closing number. I'll drink it all.	Ahora, el número final. Me lo beberé todo.
Message	Kurumi	I certainly made a meal of things.	Ciertamente hice una comida de las cosas.
Message	Kurumi	I hope Shido-san is still safe...	Espero que Shido-san siga a salvo...
Message	Shido	"Hm?! K-Kotori! I think the barriers are
gone!"	"¡¿Hm?! ¡K-Kotori! ¡Creo que
las barreras se han ido!"
Message	Kotori	Great news. Everyone did their jobs.	Buenas noticias. Todos hicieron su trabajo.
Message	Tohka	Shido, go on ahead!	¡Shido, adelante!
Message	Shido	Huh? But—!	¿Eh? Pero...
Message	Kotori	"Tohka's right. They keep coming back.
We'll hold them, so get in there!"	"Tohka tiene razón. Siguen regresando.
Los detendremos, ¡así que entra ahí!"
Message	Tohka	Go! Shido! You'll stop Ruler, won't you?!	¡Vamos! ¡Shido! ¡¿Detendrás a Ruler, verdad?!
Message	Shido	"Rgh... Got it! Don't push yourselves too hard,
okay?!"	"Rgh... ¡Lo tengo! No se presionen
demasiado, ¡¿de acuerdo?!"
Message	Kotori	"Hmph. You're one to talk, Shido! If you die,
I'll never let you rest in peace!"	"Hmph. ¡Eres uno para hablar, Shido!
¡Si mueres, nunca te dejaré descansar en paz!"
Message	Shido	O-Okay! I promise I'll come back alive!	¡Okay! ¡Prometo que volveré vivo!
Message		"(I have to learn... what Ruler really wants.
Why did she create this barrier, and why is
she after me? There's so much... I don't know!)"	"(Tengo que aprender... lo que Ruler realmente quiere.
¿Por qué creó esta barrera, y por qué me persigue?
Hay tantas cosas... que no sé)"
Message		"(One more thing, there's one more thing
I need to know... Ruler's true identity!)"	"(Una cosa más, hay una cosa más que necesito
saber... ¡La verdadera identidad de Ruler!)"
Message		"(If... If what I think is true, then...
Why... Why did she—?)"	"(Si... Si lo que pienso es cierto, entonces…
¿Por qué...?)"
Message	Tohka	Urgh! There are more!	¡Urgh! ¡Hay más!
Message	Kotori	"Sorry for dragging you down in the
trenches with me, Tohka."	"Siento haberte arrastrado a las
trincheras conmigo, Tohka."
Message	Tohka	"Don't worry. In order to give Shido a chance,
we had to restrain the enemy attack."	"No te preocupes. Para darle una oportunidad a Shido,
tuvimos que contener el ataque enemigo."
Message	Tohka	Kotori! We mustn't hold back!	¡Kotori! ¡No debemos contenernos!
Message	Kotori	"Yes, let's get this over with and meet up
with Shido!"	¡Sí, acabemos con esto y reunámonos con Shido!
Message	Tohka	"Got it! No doubt Shido will need our help
soon!"	"¡Entendido! ¡Sin duda Shido
necesitará nuestra ayuda pronto!"
Message	Kotori	All right, come at me!	¡Muy bien, ven a mí!
Message	Tohka	I won't let a single soul pass through me.	No dejaré pasar ni una sola alma.
Message	Shido	WHAT?! What is this place?!	¡¿QUÉ?! ¡¿Qué es este sitio?!
Message		"(The inside of Neo Tengu Tower was unlike
anything I'd ever seen.)"	"(El interior de la Torre Neo Tengu no se
parecía a nada que hubiera visto antes)."
Message		"(Branches stretched over the walls and ground,
reinforced by metallic roots. At the center,
I saw something floating in mid-air.)"	"(Las ramas se extendían por las paredes y
el suelo, reforzadas por raíces metálicas.
En el centro, vi algo flotando en el aire)."
Message	Shido	What the hell is going on here?!	¡¿Qué demonios está pasando aquí?!
Message		"(No, I can't stop now. Ruler's gotta be
here somewhere!)"	"(No, no puedo parar ahora.
¡Ruler tiene que estar por aquí!)"
Message		"(Um, elevator? Of course not, what am I
thinking?)"	"(¿Ascensor? Claro que no,
¿en qué estoy pensando?)"
Message		(Hm. That's... a spiral staircase, right?)	(Hm. Eso es... una escalera de caracol, ¿verdad?)
Message	Shido	I can climb that... Perfect!	Puedo escalar eso... ¡Perfecto!
Message		"(My trip up the staircase took far longer than
I would've liked to admit.)"	"(Mi viaje por la escalera duró mucho más
de lo que me hubiera gustado admitir)."
Message		"(I feel my mouth drying up. My tongue's stuck
to the roof of my mouth.)"	"(Siento que se me seca la boca.
Tengo la lengua pegada al paladar)."
Message		Are you giving up the happiness you asked for?	¿Estás renunciando a la felicidad que pediste?
Message	Shido	RULER?!	¡¿RULER?!
Message		"Everything went to plan, you should be happy.
Why? You had it all... Wasn't it enough?"	"Todo ha ido según lo previsto, deberías estar contento.
¿Por qué? Lo tenías todo... ¿No era suficiente?"
Message	Shido	What is this?!	¡¿Qué es esto?!
Message	Shido	*grunt*...!	*Gruñido*...
