Operator	Comment	Key	Translation
Message		(Sorry, Reine-san. I... can't pick up the phone.)	(Lo siento, Reine-san. Yo... no puedo coger el teléfono.),
Message		(I'm making Kotori a priority here.)	(Estoy haciendo de Kotori una prioridad aquí.)
Message	Kotori	Was that okay...?	¿Estuvo bien...?
Message	Shido	"Yeah. You finally spoke your mind. All I want
is to be with you right now, Kotori."	"Sí. Finalmente dijiste lo que pensabas. Todo lo que
quiero es estar contigo ahora mismo, Kotori."
Message	Kotori	Shido...	Shido...
Message	Shido	"Kotori, you're not alone anymore. I won't
let you."	Kotori, ya no estás sola. No te dejaré.
Message	Kotori	"Same here... Shido, I'll make sure you're
never alone."	"Lo mismo digo... Shido, me aseguraré
de que nunca estés solo."
Message		"(We hugged each other tightly. By doing so,
it felt like we were communicating on a deeper
level.)"	"(Nos abrazamos con fuerza. Al hacerlo, parecía que
nos comunicábamos a un nivel más profundo)."
Message		"(Since then, our relationship changed. Not
drastically. But it reaffirmed our sibling
closeness. I was her brother, she was my sister.)"	"(Desde entonces, nuestra relación ha cambiado. No
drásticamente. Pero reafirmó nuestra cercanía entre
hermanos. Yo era su hermano, ella era mi hermana)."
Message		"(However, though we never said it aloud,
something changed inside of us. So long as
Kotori's beside me, it'll never die.)"	"(Sin embargo, aunque nunca lo dijimos en voz alta,
algo cambió dentro de nosotros. Mientras Kotori
esté a mi lado, nunca morirá)."
Message	Kotori	Hey, Shido.	Eh, Shido.
Message	Shido	Hm?	¿Hm?
Message	Kotori	What should we do now?	¿Qué debemos hacer ahora?
Message	Shido	Hm. Look at the time. We could eat dinner.	Hm. Mira la hora. Podríamos cenar.
Message	Shido	"I'll treat you to a deluxe fast food meal since
you love it so much."	"Te invitaré a una comida rápida de
lujo ya que te gusta tanto."
Message	Kotori	YAY! Just what I wanted, Shido!	¡YAY! ¡Justo lo que quería, Shido!
Message	Kotori	But that doesn't tickle my fancy anymore.	Pero eso ya no me hace ninguna gracia.
Message	Shido	Haha. Fair enough. We could get something else.	Jaja. Me parece justo. Podríamos conseguir otra cosa.
Message	Kotori	On second thought, I'll eat it.	Pensándolo mejor, me lo comeré.
Message	Shido	You're never honest with yourself.	Nunca eres sincero contigo mismo.
Message	Kotori	"What? Besides, what if people see me scarfing
it down?"	¿Qué? Además, ¿y si la gente me ve devorándolo?
Message	Shido	I mean, who cares what you eat, Kotori?	¿A quién le importa lo que comas, Kotori?
Message	Kotori	Wh-What are you saying?!	¡¿Qué estás diciendo?!
Message	Shido	Hahaha...	Jajaja...
Message		"(It was a peaceful time. I don't know what
happened, but no more Spirits appeared.)"	"(Fue una época tranquila. No sé qué pasó,
pero no aparecieron más Espíritus)."
Message		"(Ratatoskr accomplished its mission and was
disbanded. Kotori withdrew from her post.)"	"(Ratatoskr cumplió su misión y se disolvió.
Kotori se retiró de su puesto)."
Message		"(Which meant we had more time for ourselves.
All the fun and chaotic memories faded away,
and soon years had passed...)"	"(Lo que significaba que teníamos más tiempo para
nosotros. Toda la diversión y los recuerdos caóticos
se desvanecieron y pronto pasaron los años...)."
Message		(At last, we had time for ourselves.)	(Por fin, teníamos tiempo para nosotros).
Message	Kotori	Hey, Shido?	Eh, ¿Shido?
Message	Shido	Yeah?	¿Sí?
Message	Kotori	Are you happy?	¿Eres feliz?
Message	Shido	Of course I am.	Claro que sí.
Message	Kotori	Ah, glad to hear it.	Ah, me alegra oírlo.
Message	Shido	What the heck? Why do you ask?	¿Qué demonios? ¿Por qué lo preguntas?
Message	Kotori	Oh? Feeling curious?	¿Sientes curiosidad?
Message	Shido	Yes, I am.	Sí, así es.
Message	Kotori	Then, let me explain...	Entonces, déjame explicarte...
Message		"(Honestly, it didn't matter. All that mattered
was that we were happy.)"	"(Sinceramente, no importaba. Lo único que
importaba era que fuéramos felices)."
Message	Kotori	We'll always be together.	Siempre estaremos juntos.
