Operator	Comment	Key	Translation
Message	Shido	Kurumi. Sorry, someone's calling me...	Kurumi. Lo siento, alguien me está llamando…
Message	Kurumi	Calling?	¿Llamando?
Message	Shido	Yeah. I'll hang up really quickly.	Sí. Voy a colgar rápido.
Message	Kotori	Hey, what are you doing?!	¡¿Qué estás haciendo?!
Message	Shido	Oh, sorry.	Lo siento.
Message	Kotori	This is urgent. I found out where the enemy's\nlocated.	"Esto es urgente. Averigüé dónde se
encuentra el enemigo."
Message	Shido	The enemy...?	¿El enemigo...?
Message	Kotori	Looks like it was Neo Tengu Tower all along.	Parece que fue la Torre Neo Tengu todo el tiempo.
Message	Shido	"Enemy? Neo Tengu Tower...? Hey, wait!
What are you talking about?"	"¿Enemigo? ¿Torre Neo Tengu...? ¡Eh, espera!
¿De qué están hablando?"
Message	Kotori	What? Are you going senile? What's the\nmatter with you?	¿Qué? ¿Te estás volviendo senil? ¿Qué te pasa?
Message	Shido	Huh?	¿Eh?
Message	Shido	...?!	¡...?!
Message	Kotori	Hey, you still there?!	Oye, ¡¿todavía estás ahí?!
Message	Shido	"Yeah. Sorry. Something weird just came over
me. Is what you said true?"	"Sí. Lo siento. Algo raro se apoderó de mí.
¿Es verdad lo que dijiste?"
Message	Kotori	Yes. Totally. You're with Kurumi right now,\nright?	"Sí. Totalmente. Estás con Kurumi ahora mismo,
¿verdad?"
Message	Shido	Yeah...	Sí...
Message	Kotori	Can you put her on?	¿Puedes pasármela?
Message	Shido	Wha...?	Qu…?
Message	Kotori	For whatever comes next, I need a Spirit's\npower. Kurumi hasn't been affected by the\nSpirit's rampage, so I'd like her to fight...	"Para lo que venga después, necesito el poder de un
Espíritu. Kurumi no ha sido afectada por los ataques
del Espíritu, así que me gustaría que luchara..."
Message	Shido	B-But...	P-Pero...
Message	Kotori	You heard me. It's not a guarantee she'll\nfight. She needs to decide, give her the\nphone so I can convince her.	"Ya me has oído. No es una garantía de que
vaya a pelear. Tiene que decidirse, dale el
teléfono para que pueda convencerla."
Message	Shido	...Kurumi. Kotori wants to speak with you.	...Kurumi. Kotori quiere hablar contigo.
Message	Kurumi	Okay.	Okay.
Message	Kurumi	...Hello? Yes. Yes... Okay.	...¿Hola? Sí. Sí... Sí.
Message	Kurumi	"Right... Yes. Right. Understood. Promise me
something though."	"Bien... Sí. Sí. Entendido.
Pero prométeme algo."
Message	Kurumi	...Hehehe. Very well. Then, excuse me.	...Jejeje. Muy bien. Entonces, discúlpeme.
Message	Shido	Kurumi?	¿Kurumi?
Message	Kurumi	"Shido-san, let's go together. This has been
lovely, but we'll save it for later."	"Shido-san, vamos juntos. Esto ha sido encantador,
pero lo dejaremos para más tarde."
Message	Shido	Are you sure?	¿Segura?
Message	Kurumi	"Shido-san, you're coming with me, aren't you?
My chance for atonement has arrived."	"Shido-san, vienes conmigo, ¿verdad?
Mi oportunidad de expiación ha llegado."
Message	Shido	Okay.	Okay.
Message	Kurumi	Then, brace yourself.	Entonces, prepárate.
Message	Shido	Got it!	¡Lo tengo!
Message	Shido	"Neo Tengu Tower... Who would've guessed it
was under our noses the whole time?"	"Torre Neo Tengu... ¿Quién hubiera imaginado que
estaba bajo nuestras narices todo el tiempo?"
Message	Kurumi	"In the heart of the city. A fitting locale for our
enemy."	"En el corazón de la ciudad. Un lugar
apropiado para nuestro enemigo."
Message	Shido	Right. Are you good to go, Kurumi?	De acuerdo. ¿Estás lista para irte, Kurumi?
Message	Kurumi	Yes, Shido-san.	Sí, Shido-san.
Message	Shido	?!	¡?!
Message	Shido	Were you in my dreams...?	¿Estuviste en mis sueños...?
Message	Kurumi	Are you a Spirit?	¿Eres un Espíritu?
Message	???	No one asked for this ending.	Nadie pidió este final.
Message	Shido	No one... asked?	¿Nadie... preguntó?
Message	???	"If only you were content to live in the idyll
contentment I created..."	"Si tan sólo te conformaras con vivir en
el idilio de satisfacción que creé..."
Message	Shido	What are you talking about?	¿De qué estás hablando?
Message	Kurumi	"Shido-san, don't! Her powers are double
mine."	"¡Shido-san, no! Sus poderes
son el doble de los míos."
Message	Shido	Who are you...?	¿Quién eres...?
Message	???	"I am the ruler of this world, Eden.
If you prefer another name, call me Ruler."	"Soy el gobernante de este mundo, Edén. Si prefieres
otro nombre, llámame Gobernante."
Message	Ruler	"But... telling you is pointless.
I will banish you."	"Pero... decírtelo no tiene sentido.
Te desterraré."
Message	Kurumi	Shido-san, fall back!	¡Shido-san, retrocede!
Message	Ruler	"I saved your life, and you waste my blessing.
Such defiance deserves a punishment."	"Te salvé la vida y desperdicias mi bendición.
Tal desafío merece un castigo."
Message	Kurumi	What...? *cough*...	¿Qué...? *toser*...
Message	Shido	Kurumi!	¡Kurumi!
Message	Kurumi	Shido-san, you cannot...	Shido-san, no puedes...
Message	Ruler	Scatter.	Dispersa.
Message	Kurumi	NOOOOOOOOOO!	¡NOOOOOOOOOO!
Message	Shido	KURUMI?! KURUMIIIII! Why? Why did...	¡¿KURUMI?! ¡KURUMIIIII! ¿Por qué...? ¿Por qué...
Message	Ruler	"Farewell, Shido Itsuka. I hope for your next
dream to be a happier one."	"Adiós, Shido Itsuka. Espero que tu
próximo sueño sea más feliz."
Message	Ruler	You promised me... you'd care for Kurumi.	Me prometiste... que cuidarías de Kurumi.
