Operator	Comment	Key	Translation
Message		"(Sorry, Kotori. I can't come to the phone
right now.)"	"(Lo siento, Kotori. No puedo atender
el teléfono ahora.)"
Message		"(I don't know when Kurumi's going to
disappear. This moment is precious to me.)"	"(No sé cuándo va a desaparecer Kurumi.
Este momento es precioso para mí)."
Message	Shido	All right.	De acuerdo.
Message	Kurumi	Are you absolutely certain?	¿Está completamente seguro?
Message	Shido	Don't worry. I'm sure it's nothing.	No te preocupes. Seguro que no es nada.
Message	Kurumi	Shido-san...	Shido-san...
Message	Shido	It's okay. No one's getting in our way.	No pasa nada. Nadie se interpone en nuestro camino.
Message	Kurumi	Are you sure? You really chose me?	¿Estás seguro? ¿De verdad me has elegido?
Message	Shido	Yes. You're mine. It has to be you, Kurumi.	Sí. Eres mía. Tienes que ser tú, Kurumi.
Message		"(Kurumi feels so warm. Spirit, enemy...
Whatever category she once fell under
doesn't matter to me at all anymore.)"	"(Kurumi se siente tan cálida. Espíritu, enemigo…
Cualquiera que sea la categoría en la que una
vez cayó ya no me importa en absoluto)."
Message		"(Right now, I want to keep Kurumi safe.
She's fleeting. If no one else is on her side,
then I will be. I'll make her smile.)"	"(Ahora mismo, quiero mantener a Kurumi a salvo.
Ella es fugaz. Si nadie más está de su lado,
entonces yo lo estaré. La haré sonreír)."
Message	Kurumi	Shido-san...	Shido-san...
Message		"(So, my relationship with Kurumi changed.
We became a couple, if only for a brief time.)"	"(Entonces, mi relación con Kurumi cambió.
Nos convertimos en pareja, aunque sólo
fuera por un breve tiempo)."
Message		"(Since Kurumi is a clone, I know she'll
disappear in the near future.)"	"(Como Kurumi es un clon, sé que
desaparecerá en un futuro próximo)."
Message		"(But... all ordinary couples face this problem.
People don't choose how they fall in love, nor
do they choose when love is taken from them.)"	"(Pero... todas las parejas normales se enfrentan a este
problema.  La gente no elige cómo se enamora,
ni elige cuándo le arrebatan el amor)."
Message		"(In our limited time together, we've formed a
deep bond. One that will help us overcome any
pain.)"	"(En el poco tiempo que llevamos juntos, hemos creado
un vínculo profundo. Uno que nos ayudará
a superar cualquier dolor)."
Message		"(A race against time is one we cannot win, but
with Kurumi, anything is possible.)"	"(Una carrera contra el tiempo es algo que no
podemos ganar, pero con Kurumi, todo es posible)."
Message		"(For now, I'll cling to the chance that I could
be wrong about everything...)"	"(Por ahora, me aferraré a la posibilidad de
que pueda estar equivocado en todo...)"
Message		"(I didn't want to let my happiness slip from
my fingers.)"	"(No quería que se me escapara
la felicidad de las manos)."
Message	Shido	"Graduation day, huh? Never thought this day
would come."	"El día de la graduación, ¿eh?
Nunca pensé que llegaría este día."
Message		"(When I was a freshman, girls were the last
thing on my mind. People started rumors that
Tonomachi and I were an item. It was rough.)"	"(Cuando era estudiante de primer año, las chicas eran lo
último en lo que pensaba. La gente empezó a rumorear
que Tonomachi y yo éramos pareja. Fue duro.)"
Message		"(Then I became a sophomore and met Kurumi.
She was a terrifying Spirit, but before I knew it,
she burrowed herself into my heart.)"	"(Luego pasé a segundo curso y conocí a Kurumi.
Era una Espíritu aterradora, pero antes de que me
diera cuenta, se metió en mi corazón)."
Message		"(Since then, Kurumi and I spent loads of time
together. All of a sudden, we were seniors, and
it was time for graduation.)"	"(Desde entonces, Kurumi y yo pasamos mucho tiempo
juntos. De repente, estábamos en el último año y
era el momento de la graduación)."
Message	???	There you are, Shido-san.	Ahí estás, Shido-san.
Message	Shido	Kurumi.	Kurumi.
Message	Kurumi	"Just as I thought. I mean, this is our special
place."	"Justo lo que pensaba. Quiero decir,
este es nuestro lugar especial."
Message	Shido	Right.	Cierto.
Message		"(That's right. Kurumi hadn't disappeared yet.
Here she is, right beside me.)"	"(Así es. Kurumi aún no había desaparecido.
Aquí está, justo a mi lado)."
Message		"(Back then, Kurumi thought if her body had
vanished, she would disappear too. But she's
still around.)"	"(Por aquel entonces, Kurumi pensaba que si su
cuerpo había desaparecido, ella también lo haría.
Pero ella sigue por aquí)."
Message		"(Why Kurumi hadn't disappeared... I don't
know. I'm not sure anyone does.)"	"(Por qué Kurumi no había desaparecido... no lo sé.
No estoy seguro de que nadie lo sepa)."
Message		"(Some mysteries remain, but I don't care.
The reason doesn't matter to me.)"	"(Quedan algunos misterios,
pero no me importa la razón)."
Message		"(Was it a miracle? I'll take it. Kurumi's with
me now. That's all I need.)"	"(¿Fue un milagro? Lo aceptaré. Kurumi está
conmigo ahora. Es todo lo que necesito)."
Message	Kurumi	What were you doing?	¿Qué hacías?
Message	Shido	Thinking about you, Kurumi.	Pensando en ti, Kurumi.
Message	Kurumi	Same as always then, isn't it?	Lo mismo de siempre, ¿no?
Message	Shido	You're talking as if I obsess over you.	Hablas como si me obsesionara contigo.
Message	Kurumi	Oh. Was I mistaken?	Oh. ¿Me he equivocado?
Message	Shido	Well, not entirely.	Bueno, no del todo.
Message	Kurumi	Goodness. Hehehe...	Qué bien. Jejeje...
Message	Shido	Hahaha.	Jajaja.
Message	Kurumi	...	...
Message	Shido	...	...
Message	Kurumi	"Shido-san. I'm elated. More than you know.
But I'm also scared."	"Shido-san. Estoy eufórica. Más de lo que crees.
Pero también estoy asustada."
Message	Shido	Hm? Hey, wait. Kurumi!	¿Eh? Eh, espera. ¡Kurumi!
Message	Kurumi	"Today, we bid our uniforms farewell, right?
I wanted to bask in this moment with you."	"Hoy nos despedimos de nuestros uniformes, ¿verdad?
Quería disfrutar de este momento con ustedes."
Message	Shido	S-Seriously?!	¡¿En serio?!
Message	Kurumi	Yes. Shido-san, you seem happy as well.	Sí. Shido-san, tú también pareces feliz.
Message	Shido	Well, er...	Bueno...
Message	Kurumi	My happiness is for you and you alone.	Mi felicidad es para ti y sólo para ti.
Message	Shido	Oh, well... Okay.	Oh, bueno... Bueno...
