Operator	Comment	Key	Translation
Message	Shido	Hey, sorry!	¡Eh, perdona!
Message	Origami	...	...
Message	Shido	Don't give me that look. I'll be quick.	No me mires así. Seré rápido.
Message	Kotori	Hey, what are you up to? I had to use the\nYggdra Folium to pass through the interference.	"Hola, ¿qué estás haciendo? Tuve que usar el Yggdra
Folium para pasar a través de la interferencia."
Message	Shido	Oh, my bad! So, what do you want?	¡Oh, culpa mía! Entonces, ¿qué quieres?
Message	Kotori	It's urgent. I've found the location of the\nenemy.	Es urgente. He encontrado la ubicación del enemigo.
Message	Shido	The enemy...?	¿El enemigo...?
Message	Kotori	It appears that Neo Tengu Tower was the\nsource of the barrier.	Parece que la Torre Neo Tengu era la fuente de la barrera.
Message	Kotori	Ever since we identified both the monument\nand the outlet power as keystones, we were\nable to locate the central source of power.	"Desde que identificamos tanto el monumento como la
toma de corriente como piedras angulares, fuimos
capaces de localizar la fuente central de energía."
Message	Shido	"Neo Tengu Tower? Central source?
Wait a minute. What are you talking about?"	"¿Torre Neo Tengu? ¿Fuente central?
Espera un momento. ¿De qué estás hablando?"
Message	Kotori	What? Don't tell me your mind's affected\ntoo. What's wrong with you?	"¿Qué? No me digas que tu mente está afectada.
¿Qué te pasa?"
Message	Shido	Huh?	¿Eh?
Message	Shido	...?! Wha... What?!	¡...?! Que... ¡¿Qué?!
Message	Kotori	Hey, are you all right?	Oye, ¿estás bien?
Message	Shido	"Yeah. Sorry, something just came over me.
Is all of what you said true?"	"Sí. Lo siento, me ha pasado algo.
¿Todo lo que dijiste es verdad?"
Message	Kotori	Yes. We analyzed Spirit waves attached to\nthe barrier at the shrine too, which means these\nthree keystones are powering the barrier.	"Sí. Analizamos las ondas espirituales unidas a la barrera
en el santuario también, lo que significa que estas tres
piedras angulares están alimentando la barrera."
Message	Shido	?!	¡?!
Message	Kotori	And at the center of this triangle is where\nthe Neo Tengu Tower is located.	"Y en el centro de este triángulo es donde se
encuentra la Torre Neo Tengu."
Message	Shido	"So that's where this enemy is... The root of
all this trouble."	"Así que ahí es donde está este enemigo…
La raíz de todos estos problemas."
Message	Kotori	I'm sure of it.	Estoy seguro de ello.
Message	Shido	"But why did any of this happen in the first
place? What do they want?!"	"Pero, ¿por qué ocurrió todo esto en primer lugar?
¿Qué es lo que quieren?"
