Operator	Comment	Key	Translation
Message		(Sorry, Kotori. I'll call you back later.)	"(Lo siento, Kotori. Te llamaré más tarde.)
Estoy seguro de que lo domarán muy bien... quiero algoa,"
Message		"(I'm putting Origami first. I promised
her I'd be there forever.)"	"(Estoy poniendo a Origami primero.
Le prometí que estaría allí para siempre)."
Message		"(Our war has just begun! I'm going to win,
and help her... reclaim lost time. Her smile,
her heart. I'm going to restore them!)"	"(¡Nuestra guerra acaba de empezar! Voy a ganar,
y ayudarla... a recuperar el tiempo perdido.
Su sonrisa, su corazón. ¡Voy a restaurarlos!)"
Message	Origami	Are you sure about that?	¿Estás seguro?
Message	Shido	"Yeah! She probably wants to bring up dinner
or small talk."	"¡Sí! Probablemente quiera sacar el tema
de la cena o una pequeña charla."
Message	Origami	I see. I'm glad.	Ya veo. Me alegro.
Message	Shido	Huh?	¿Eh?
Message	Origami	I don't think I could wait any longer.	No creo que pueda esperar más.
Message	Shido	...!	¡...!
Message		"(This is how Origami and I began life as a
couple.)"	"(Así es como Origami y yo empezamos
nuestra vida en pareja)."
Message		"(People change. Relationships, heartbreak,
everything...)"	"(La gente cambia. Las relaciones,
el desamor, todo...)"
Message		"(No matter what obstacles life threw at us,
we learned to heal. I know it to be true.)"	"(Independientemente de los obstáculos que nos
pusiera la vida, aprendimos a curarnos. Sé que es cierto)."
Message		"(Of course. You can't let life pass you by.
Sometimes, you need to confront your demons.)"	"(Por supuesto. No puedes dejar que la vida pase de largo.
A veces, tienes que enfrentarte a tus demonios)."
Message		"(The Spirits continued to trouble us. However,
we learned to live with them.)"	"(Los Espíritus siguieron molestándonos. Sin embargo,
aprendimos a vivir con ellos)."
Message		"(The biggest change came when Origami
resigned from AST. I asked if she was sure,
but she fell into my arms, crying.)"	"(El mayor cambio se produjo cuando Origami dimitió
de AST. Le pregunté si estaba segura,
pero cayó llorando en mis brazos)."
Message		"(It was as if the heavens shattered, as rain
began to pour. Origami cried and cried and
cried. All of her emotions rushed forth.)"	"(Fue como si los cielos se rompieran y empezara a
llover a cántaros. Origami lloró y lloró y lloró.
Todas sus emociones se precipitaron)."
Message		"(She told me her hatred never truly left her.
Nor could she fully escape her tortured past.)"	"(Me dijo que su odio nunca la abandonó del todo.
Tampoco pudo escapar del todo de su
torturado pasado)."
Message		"(But... She has me. Someone who will remain
at her side forever. That's all she needs.)"	"(Pero... Ella me tiene a mí. Alguien que permanecerá
a su lado para siempre. Eso es todo lo que necesita)."
Message		"(I nodded and hugged Origami with as much
kindness as she wanted, then I looked her
in the eye.)"	"(Asentí y abracé a Origami con toda
la amabilidad que quiso, luego la
miré a los ojos)."
Message	Shido	Oh, it moved. Origami, it just moved.	Oh, se movió. Origami, sólo se movió.
Message	Origami	So energetic. Like someone I know.	Tan enérgico. Como alguien que conozco.
Message	Shido	Y-Yeah. I know!	Sí. ¡Lo sé!
Message	Origami	"I hope it's got some spunk. This is the
proof of our love."	"Espero que tenga agallas. Esta es la
prueba de nuestro amor."
Message	Shido	Yes. I hope so, too.	Sí. Yo también lo espero.
Message	Origami	Hehe...	Jeje...
Message		(At last, our private war had ended.)	(Por fin, nuestra guerra privada había terminado).
Message		"(Now, a new era will begin with this
soon-to-be-named life.)"	"(Ahora, una nueva era comenzará con esta
vida que pronto se llamará así)."
Message		"(An era that could take up the rest of our
lives, protecting what's dear to us.)"	"(Una época que podría ocupar el resto de nuestras
vidas, protegiendo lo que nos es querido)."
Message	Shido	"Oh, we need to think of a name soon.
Got any ideas, Origami?"	"Tenemos que pensar en un nombre pronto.
¿Tienes alguna idea, Origami?"
Message	Origami	Yes. Our child's name will be...	Sí. El nombre de nuestro hijo será...
