Operator	Comment	Key	Translation
Message	Tamae	Hello. Good morning, everyone!	Hola. ¡Buenos días a todos!
Message	Tamae	Now, let's take attendance right away.	Ahora, pasemos lista de inmediato.
Message	Tamae	Oh, oopsies. I have an announcement for everyone.	Oh, oopsies. Tengo un anuncio para todos.
Message	Tamae	"Heehee. Today, in fact, we have a transfer student
joining our class!"	"Heehee. Hoy, de hecho, ¡tenemos un estudiante
transferido que se une a nuestra clase!"
Message	Tonomachi	"Ohhh man! This didn't pop up on my information
network yet. Is it a guy or a girl? Either way,
this is one fiery development!"	"¡Ohhh dios! Esto aún no ha aparecido en mi red de
información. ¿Es un chico o una chica? En cualquier
caso, ¡esto es un desarrollo ardiente!"
Message	Shido	Huh, a transfer student...? At a time like this?	"Huh, ¿un estudiante transferido...?
¿En un momento como este?"
Message	Tamae	Now, please come inside.	Ahora, por favor, entra.
Message	Shido	...?!	¡...?!
Message	Rinne	"Nice to meet everyone. I'm Rinne Sonogami.
I hope to meet and get along with all of you."	"Encantada de conocer a todos. Soy Rinne Sonogami.
Espero conocerlos y llevarme bien con todos ustedes."
Message		"(I know... I know her. That relaxed aura,
a sort of ticklish voice, the kind yet sincere
eyes...)"	"(Lo sé... La conozco. Esa aura relajada, una especie de
cosquilleo en la voz, los ojos amables pero sinceros...)"
Message	Tamae	"Your seat will be... Let me see. The seat next
to Itsuka-kun is open. Sonogami-san, over
there."	"Su asiento será... Déjame ver. El asiento junto a
Itsuka-kun está libre. Sonogami-san, por allí."
Message	Rinne	Yes. I understand.	Sí. Entiendo.
Message		"(She turned my way, and met my gaze. I'm sure
nobody remembers her. No, there's no possible
way they could remember.)"	"(Se volvió hacia mí y me miró. Estoy seguro de
que nadie la recuerda. No, es imposible
que la recuerden)."
Message		"(But... I remembered. If I have anything to say,
it's this. Straightforward, right at her.)"	"(Pero... Me acordé. Si tengo algo que decir,
es esto. Directo, directo a ella)."
Message	Shido	...Welcome home, Rinne.	...Bienvenida a casa, Rinne.
Message	Rinne	Hehe. I'm home, Shido.	Hehe. Estoy en casa, Shido.
