Operator	Comment	Key	Translation
Message		(S-Sorry, Kotori! I can't pick up right now!)	(¡Lo siento, Kotori! ¡No puedo atender ahora!)
Message		(I promised that today, I would stay with Tohka.)	(Prometí que hoy me quedaría con Tohka).
Message	Shido	...All right!	...¡Muy bien!
Message	Tohka	Hm. Did you not get a call from Kotori?	Hm. ¿No recibiste una llamada de Kotori?
Message	Shido	Ah, it's fine. I'm sure it's not important.	Ah, está bien. Seguro que no es importante.
Message	Tohka	I see. If that is so, then it's fine.	Ya veo. Si es así, entonces está bien.
Message	Shido	"More importantly, Tohka! P-Picking up where
we just left off..."	Y lo que es más importante, ¡Tohka! P-Continuando donde lo dejamos...
Message	Tohka	Hmm...?	¿Hmm...?
Message	Shido	I-I also want to... stay with you always, Tohka.	Yo también quiero... estar siempre contigo, Tohka.
Message	Shido	"I-I'm not just talking about now! F-From
now on, too―!"	¡No estoy hablando sólo de ahora! ¡De ahora en adelante, también...!
Message	Tohka	...! I-I am, well... a big eater, you know?	¡...! Yo-yo soy, bueno ... un gran comedor, ¿sabes?
Message	Shido	"Yeah! I want to try eating different things
more with you, Tohka!"	¡Sí! ¡Quiero probar más cosas diferentes contigo, Tohka!
Message	Tohka	"There is still so much I don't know. I will
probably cause you a lot of trouble. Is that
okay?"	Todavía hay muchas cosas que no sé. Probablemente te causaré muchos problemas. ¿Te parece bien?
Message	Shido	"Yes! From now on, let's go on even more
adventures!"	¡Sí! A partir de ahora, ¡vamos a vivir aún más aventuras!
Message	Tohka	"B-But still, I... I am not a regular human, no?
It is possible that I may lose control, even so..."	Pero aún así, yo... No soy un humano normal, ¿no? Es posible que pierda el control, aun así...
Message	Shido	"Your powers have saved me a bunch of times,
right? Besides, whenever danger comes when
you lose control, I'll stop you. Every time."	Tus poderes me han salvado un montón de veces, ¿verdad? Además, cuando llegue el peligro y pierdas el control, te detendré. Siempre.
Message	Tohka	...!	¡...!
Message	Shido	"Painful times, sad times, happy times, fun times.
Everything that happens from here on, I want to
experience with you, Tohka."	Momentos dolorosos, momentos tristes, momentos felices, momentos divertidos. Todo lo que ocurra a partir de ahora, quiero vivirlo contigo, Tohka.
Message	Shido	"I want to keep walking together with you,
always—"	Quiero seguir caminando junto a ti, siempre...
Message	Tohka	Urf!	¡Urf!
Message	Shido	Augh!	¡Augh!
Message	Tohka	Ah, aah...	Ah, aah...
Message	Shido	T-Tohka?	¿T-Tohka?
Message	Tohka	Achoo!	¡Achoo!
Message	Shido	Aaah! Jeez! See!	¡Aaah! ¡Jeez! ¡Mira!
Message	Tohka	Pfffff, hahahahaha!	¡Pfffff, jajajajaja!
Message	Shido	H-Hey, Tohka!	¡H-Hey, Tohka!
Message	Tohka	"Shido! I will always be by your side!
You and I, we'll be the same as the penguin...
Um..."	¡Shido! ¡Siempre estaré a tu lado! Tú y yo, seremos como el pingüino... Um...
Message	Shido	A couple of lovebirds, huh?	Una pareja de tortolitos, ¿eh?
Message	Tohka	"Correct! We shall become a ""couple of lovebirds""!"	"¡Correcto! ¡Nos convertiremos en una ""pareja de tortolitos""!"
Message	Shido	"...! Ah, yeah, you're right! If it's us, with you
Tohka, I'm sure..."	¡...! ¡Ah, sí, tienes razón! Si somos nosotros, contigo Tohka, estoy seguro...
Message	Tohka	Achoo!	¡Achoo!
Message	Shido	"Aah, Tohka?! You're seriously gonna catch a cold
so let's head for the back. You'll get soaked
again!"	¡¿Tohka?! Te vas a resfriar, así que vamos a la parte de atrás. ¡Te empaparás otra vez!
Message	Tohka	Yes, you're right! Ahahahahaha!	Sí, tienes razón. ¡Ahahahahaha!
Message		"(Good grief. Though I was concerned for her,
happiness coursed through me as I uttered the
word ""Now"" with Tohka.)"	"(Santo cielo. Aunque estaba preocupado por ella, la felicidad me recorrió al pronunciar la palabra ""Ahora"" con Tohka)."
Message		"(I never want to forget this feeling.
I swore it.)"	(No quiero olvidar nunca esta sensación. Lo juro).
Message		"(Surrounded by the people most important
to us, today, we step in a new direction.)"	(Rodeados de las personas más importantes para nosotros, hoy damos un paso en una nueva dirección).
Message	Shido	Tohka, feeling okay?	Tohka, ¿te encuentras bien?
Message	Tohka	"Leave it to me, Shido. My skill with a blade is
still unmatched, you know?"	Déjamelo a mí, Shido. Mi habilidad con la espada sigue siendo inigualable, ¿sabes?
Message	Shido	That's true. Haha.	Es verdad. Jaja.
Message	Tohka	Yes! Ahahaha!	¡Sí! ¡Ajajaja!
Message		Marriage isn't the end of the road. This, I know.	El matrimonio no es el final del camino. Esto lo sé.
Message		"From now on, life awaits Tohka and me.
No doubt there'll be plenty of fun times,
but there will also be many hardships."	A partir de ahora, la vida nos espera a Tohka y a mí. Sin duda habrá muchos momentos divertidos, pero también muchas dificultades.
Message		"I'm not sure if Tohka and I could ever become
a pair of lovebirds, like the penguins we saw,
but..."	No estoy seguro de que Tohka y yo podamos llegar a ser una pareja de tortolitos, como los pingüinos que vimos, pero...
Message	Tohka	This is wonderful, Shido.	Esto es maravilloso, Shido.
Message	Shido	Yeah. Everyone came, after all.	Sí. Todos vinieron, después de todo.
Message	Tohka	I am so happy, Shido.	Estoy tan feliz, Shido.
Message	Shido	Yeah, I can barely wait.	Sí, apenas puedo esperar.
Message		(This is the happiest day of my life.)	(Este es el día más feliz de mi vida).
Message	Tohka	Shido...?	¿Shido...?
Message	Shido	Hm?	¿Hm?
Message	Tohka	I just wanted to say your name. Hehe.	Sólo quería decir tu nombre. Jeje.
Message	Shido	I-I see... Um, Tohka?	Ya veo... ¿Tohka?
Message	Tohka	What is it, Shido?	¿Qué pasa, Shido?
Message	Shido	I wanted to say yours, too. Haha.	Yo también quería decir la tuya. Jaja.
Message	Tohka	I see. Then... Shido?	Ya veo. Entonces... ¿Shido?
Message		"(Ah. At this rate, it might not end unless I
give up first. That's Tohka, ever so stubborn.)"	(Ah. A este paso, puede que no termine a menos que me rinda primero. Así es Tohka, siempre tan terca).
Message	Tohka	...I love you!	...¡te quiero!
Message	Shido	Y...Yeah! I love you, too.	Y... ¡Sí! Yo también te quiero.
Message	Tohka	Yes!	¡Sí!
Message		"(Goodness, Tohka's amazing. Always so
straightforward.)"	(Dios, Tohka es increíble. Siempre tan directa.)
Message	Shido	Tohka?	¿Tohka?
Message	Tohka	Hm, what is it?	¿Qué pasa?
Message	Shido	Promise me you'll be with me forever.	Prométeme que estarás conmigo para siempre.
Message	Tohka	"Yes, leave it to me! I am still inadequate, but
let us work on it together, yes?"	¡Sí, déjamelo a mí! Aún soy inadecuado, pero trabajemos juntos en ello, ¿sí?
Message	Shido	Sure, leave it to me!	¡Claro, déjamelo a mí!
Message	Tohka	Hrm! Copying me again, are you?	¡Hrm! Copiándome otra vez, ¿verdad?
Message	Shido	Haha. Can I not?	Jaja. ¿No puedo?
Message	Tohka	W-Well, it's not like you can't, but...	Bueno, no es que no puedas, pero...
Message	Shido	Hahahaha!	¡Jajajaja!
Message		"I wonder who it was, who mentioned that
""marriage"" isn't gazing at someone, but rather
facing in the same direction as them."	"Me pregunto quién fue el que mencionó que ""matrimonio"" no es mirar a alguien, sino mirar en la misma dirección que esa persona."
Message		"From this day forth, there are things waiting for
me that I can't possibly imagine. With Tohka, I'm
sure they can be overcome. Nothing will stop us."	A partir de hoy, me esperan cosas que no puedo imaginar. Con Tohka, estoy seguro de que se pueden superar. Nada nos detendrá.
Message		"We will both face the future together, walking
hand in hand."	Ambos afrontaremos el futuro juntos, caminando de la mano.
Message	Shido	"We'll always be together, Tohka. I promise.
Your heart is in my hand."	Siempre estaremos juntos, Tohka. Te lo prometo. Tu corazón está en mi mano.
Message	Tohka	"Yes! Shido, you and I will always be together!
Even if you tried to flee, I wouldn't let you!"	¡Sí! ¡Shido, tú y yo siempre estaremos juntos! ¡Aunque intentaras huir, no te lo permitiría!
