Operator	Comment	Key	Translation
Message	Shido	"Yoshino, Yoshinon. I'm sorry, could you give
me a second?"	Yoshino, Yoshinon. Lo siento, ¿podría darme un segundo?
Message	Yoshino	Y-Yes...	S-Sí...
Message	Yoshinon	Make it quick, okay?	Que sea rápido, ¿de acuerdo?
Message	Shido	Yeah...	Sí...
Message	Kotori	...Hey, what are you dawdling for?!	...Oye, ¿por qué te entretienes?
Message	Shido	Y-Yeah... Sorry.	S-Sí... Lo siento.
Message	Kotori	It's an emergency situation. We've found the\nenemy's location.	"Es una situación de emergencia. Hemos
encontrado la ubicación del enemigo."
Message	Shido	E-Enemy...?	¿E-Enemigo...?
Message	Kotori	It seems like the Neo Tengu Tower was the\ncause of the barrier.	Parece que la Torre Neo Tengu fue la causa de la barrera.
Message	Shido	"...Enemy? Neo Tengu Tower...?
Wait a second! What are you talking about?"	"...¿Enemigo? ¿Torre Neo Tengu...?  ¡Un momento!
¿De qué estan hablando?"
Message	Kotori	What? Shido, are you already going senile?\n Is something wrong with you?	Shido, ¿ya te estás volviendo senil? ¿Te pasa algo?
Message	Shido	...Huh?	...¿Eh?
Message	Shido	Ngh!	¡Ngh!
Message	Kotori	Hey, you okay?	Oye, ¿estás bien?
Message	Shido	"Yeah... Sorry. Something really must have been
wrong with me. Is what you said just now true?"	"Sí... Lo siento. Algo realmente debe haber estado mal conmigo.
¿Es cierto lo que acabas de decir?"
Message	Kotori	Yes. I'm being absolutely serious. You're...\nwith Yoshino right now, aren't you?	"Sí. Lo digo absolutamente en serio. Estás…
con Yoshino ahora mismo, ¿verdad?"
Message	Shido	Yeah.	Sí.
Message	Kotori	Sorry, but you need to head towards Neo Tengu\nTower with her.	Lo siento, pero tienes que ir a la Torre Neo Tengu con ella.
Message	Shido	Th-That's...	Eso es...
Message		"(Yoshino finally just reunited with Yoshinon.
Asking her to fight all of a sudden is...)"	"(Yoshino acaba de reunirse con Yoshinon.
Pedirle que luche de repente es...)"
Message	Kotori	I know what you want to say, Shido, but the\nonly Spirit whose power is currently stable\nis Yoshino. Do you understand?	"Sé lo que quieres decir, Shido, pero el único espíritu cuyo
poder es estable actualmente es Yoshino. ¿Comprendes?"
Message	Shido	I understand, but...	Lo entiendo, pero...
Message	Yoshino	...Shido-san.	...Shido-san.
Message	Shido	Yoshino...	Yoshino...
Message	Yoshino	There's something... only I can do... right...?	Hay algo... que sólo yo puedo hacer... ¿verdad?
Message	Shido	Yeah, but...	Sí, pero...
Message	Yoshino	I'll... go!	¡Yo... iré!
Message	Shido	But you've only just reunited with Yoshinon!	¡Pero si acabas de reunirte con Yoshinon!
Message	Yoshino	Shido-san, you taught me...	Shido-san, tú me enseñaste...
Message	Yoshino	"When someone's in trouble, you need to
assist them."	Cuando alguien tiene problemas, hay que ayudarle.
Message	Shido	I see. You're right.	Ya veo. Tienes razón.
Message	Yoshinon	Alrighty, it's been a while since we've cut\nloose!	¡Muy bien, ha pasado un tiempo desde que nos soltamos!
Message	Shido	"Neo Tengu Tower... was the enemy's base all
along."	La Torre Neo Tengu... fue la base del enemigo todo el tiempo.
Message	Shido	Yoshino, you sure that's okay?	Yoshino, ¿seguro que está bien?
Message	Yoshino	I'm fine... I'm with you, too, Shido-san...	Estoy bien... Yo también estoy contigo, Shido-san...
Message	Shido	...Thanks. Let's go, Yoshino!	...gracias. ¡Vamos, Yoshino!
Message	Yoshino	Okay... Shido-san!	Bien... ¡Shido-san!
Message	Shido	...?!	¡...?!
Message	Shido	You're... from my dream...?	¿Eres... de mi sueño...?
Message	Yoshino	Who... are you...?	¿Quién... eres...?
Message	???	No one desires that ending...	Nadie desea ese final...
Message	Shido	No one... desires...?	¿Nadie... desea...?
Message	???	"You should have stayed like this, within the
happy slumber that I have woven..."	Deberías haberte quedado así, dentro del sueño feliz que he tejido...
Message	Shido	What are you saying...?	¿Qué estás diciendo...?
Message	Yoshino	Is this person... a Spirit...?	¿Es esta persona... un Espíritu...?
Message	Shido	"I don't know, but this isn't the first time I've
met her."	No lo sé, pero no es la primera vez que la veo.
Message	???	"I am the one who controls this world, who rules
over this paradise. If you were to refer to me by
an identification name, it would be Ruler."""""	"Yo soy quien controla este mundo, quien gobierna este paraíso.
Si tuvieras que referirte a mí con un nombre identificativo,
sería ""Ruler""."
Message	Ruler	"However, there is no use in telling you this,
for I intend to banish you."	"Sin embargo, es inútil decírtelo, porque
tengo la intención de desterrarte."
Message	Yoshino	Shido-san...! Watch out!	¡Shido-san...! ¡Cuidado!
Message	Ruler	"I see... I will teach you. Just how much of
a foolish and fragile being you are."	Ya veo... Te enseñaré. lo tonto y frágil que eres.
Message	Yoshino	Huh? ...Wh-Why?! Please move! Move, Zadkiel!	¿Eh? ...¡¿Por qué?! ¡Por favor, muévete! ¡Muévete, Zadkiel!
Message	Yoshinon	I-It's no good! It's like I'm not in my own\nbody!	¡No es bueno! ¡Es como si no estuviera en mi propio cuerpo!
Message	Shido	Yoshino... Yoshinon!!	Yoshino... ¡¡Yoshinon!!
Message	Yoshino	Shido-san...!!	¡Shido-san...!
Message	Ruler	Scatter.	Dispersa.
