Operator	Comment	Key	Translation
Message		(...Sorry, Kotori. I'll call you back later.)	(...Lo siento, Kotori. Te llamaré más tarde.)
Message		"(Right now, I want to treasure the time with
Yoshino and Yoshinon. I'm sure even a few
days apart were unbearable for them.)"	"(Ahora mismo, quiero atesorar el tiempo con Yoshino y Yoshinon.
Estoy seguro de que incluso unos días separados eran
insoportables para ellos)."
Message	Yoshinon	Now then, Shido-kun... are you ready?	Ahora bien, Shido-kun... ¿estás listo?
Message	Shido	Yeah. Is around here good?	Sí. ¿Está bien por aquí?
Message	Yoshinon	Maybe a little to the right?	¿Quizás un poco a la derecha?
Message	Yoshino	I-I think, a little more left!	¡Creo que queda un poco más!
Message	Yoshinon	Whaaat? Wouldn't that mess up the balance?	¿Qué? ¿No estropearía eso el equilibrio?
Message	Yoshino	No... It wouldn't!	No... ¡No lo haría!
Message	Shido	"Good grief, you two are stubborn...
Can't you compromise?"	Santo cielo, ustedes dos son tercos… ¿No pueden comprometerse?
Message	Yoshinon	Nope, this can't be compromised.	No, esto no se puede comprometer.
Message	Yoshino	Yes! I drew the picture myself, after all!	¡Sí! ¡Después de todo, yo mismo hice el dibujo!
Message	Shido	Haha! You two really are peas in a pod.	¡Haha! Vosotros dos sois como gotas de agua.
Message		(This way, Yoshino and I regained our friend.)	(Así, Yoshino y yo recuperamos a nuestro amigo).
Message		"(I believe, at long last, Yoshino, Yoshinon and I
had entered a sort of kinship.)"	"(Creo que, por fin, Yoshino, Yoshinon y yo habíamos
entrado en una especie de parentesco)."
Message		"(Compared to before, Yoshino depends on
Yoshinon far less.)"	"(En comparación con antes, Yoshino depende mucho menos
de Yoshinon)."
Message		"(Despite being friends, Yoshino often relied on
Yoshinon far too much; unable to do anything
herself, unable to speak with others. No longer.)"	"(A pesar de ser amigas, Yoshino a menudo dependía demasiado
de Yoshinon; incapaz de hacer nada por sí misma, incapaz de
hablar con los demás. Ya no)."
Message		"(In her own way, Yoshino is becoming more
independent. Yoshinon seems to support her well,
so that Yoshino doesn't fall on old habits.)"	"(A su manera, Yoshino se está volviendo más independiente.
Yoshinon parece apoyarla bien, para que Yoshino no
caiga en viejos hábitos)."
Message		"(As for myself, I wish to watch over Yoshino from
now on, ever close to her.)"	"(En cuanto a mí, deseo velar por Yoshino a partir de ahora,
siempre cerca de ella)."
Message		"(Forever and ever, always. No matter how much
time passes, surely our friendship will remain.)"	"(Para siempre, siempre. No importa cuánto tiempo pase, seguro
que nuestra amistad permanecerá)."
Message	Shido	Are you done yet?	¿Ya has terminado?
Message	Yoshino	P-Please... Wait a moment...	P-Por favor... Espere un momento...
Message	Shido	Roger that.	Entendido.
Message	Shido	Um, still not ready yet?	¿Todavía no está listo?
Message	Yoshino	"N-Not... yet, but... Sh-Shido-san...
P-Please help meee..."	No... todavía, pero... Sh-Shido-san...  P-Por favor ayúdame...
Message	Shido	What's wrong?!	¿Qué pasa?
Message	Yoshino	A-Augh...	A-Augh...
Message	Shido	Yoshino, I'm coming in, okay?	Yoshino, voy a entrar, ¿vale?
Message	Shido	Are you okay...? Wait, h-hey! What's going on?!	¿Estás bien...? ¡Espera, h-hey! ¡¿Qué está pasando?!
Message	Yoshino	"I-I'm sorry... I-I can't...
put this on, by myself..."	Lo siento... No puedo... ponerme esto, yo sola...
Message	Yoshinon	Yoohoo, Shido-kun, what a lucky lecher you are!\nGood grief. Always need to be on guard with you.	"Yoohoo, Shido-kun, ¡qué afortunado lascivo eres!
Siempre hay que estar en guardia contigo."
Message	Shido	Hey now...	Hey ahora...
Message		(Just what in the world is Yoshinon suggesting...)	(¿Qué está sugiriendo Yoshinon?)
Message	Yoshino	Um. Could you please... help me wear this?	Um. ¿Podrías por favor... ayudarme a ponerme esto?
Message	Shido	E-Err, but...	E-Err, pero...
Message	Yoshino	You can't...?	¿No puedes...?
Message	Shido	Oogh. Aah... All right then.	Oogh. Aah... Muy bien entonces.
Message	Yoshinon	It's an emergency, it can't be helped.	Es una emergencia, no se puede evitar.
Message	Shido	I-I get it already! Here, give me a hand.	¡Ya lo entiendo! Dame una mano.
Message		"(It does seem pretty tough for Yoshino to
put on this outfit by herself.)"	(Parece bastante difícil para Yoshino ponerse este traje ella sola).
Message		"(But if the two of them tell me they want to
see how cute they look now, I can't refuse.
As if I didn't want to see them either.)"	"(Pero si las das me dicen que quieren ver lo lindas que se ven ahora,
no puedo negarme. Como si yo tampoco quisiera verlos.)"
Message	Yoshinon	I thought Yoshino would've shaped up by\nnow, huh?	Pensaba que Yoshino ya se habría formado, ¿eh?
Message	Yoshino	"B-But... I've stopped... relying on Yoshinon...
haven't I?"	P-Pero... He dejado de... confiar en Yoshinon... ¿no?
Message	Yoshinon	Yup, yup. You're right, but... to that extent,\nyou've gotten pretty clingy with Shido-kun,\nhm?	"Sí, sí. Tienes razón, pero... hasta ese punto, te has vuelto
muy pegajosa con Shido-kun, ¿no?"
Message	Yoshino	It's all fine... with Shido-san!	¡Todo está bien... con Shido-san!
Message	Shido	I-Is it...?	¿Es...?
Message	Yoshino	Yes!	¡Sí!
Message	Yoshinon	Boy golly, you sure like to fawn when it\ncomes to Shido-kun, Yoshino.	Vaya, sí que te gusta adular cuando se trata de Shido-kun, Yoshino.
Message	Yoshino	Aah... Oogh.	Aah... Oogh.
Message	Yoshinon	Well, maybe this won't turn out so bad\neither way.	Bueno, tal vez esto no va a salir tan mal de cualquier manera.
Message	Shido	Jeez. You just say whatever you like, don't you?	Cielos. Dices lo que te da la gana, ¿no?
Message	Shido	Here, all finished.	Aquí, todo terminado.
Message	Yoshino	H-How's it look?	¿Cómo se ve?
Message	Shido	...Huh? Ah, yeah! I-It really suits you, Yoshino.	...¿Eh? ¡Ah, sí! Realmente te queda bien, Yoshino.
Message	Yoshino	Eh hee hee...	Eh hee hee...
Message	Yoshinon	Aw gee, Shido-kun. Getting all embarrassed like\nthat! How cute. You two are so cute. *whistle*!	"Aw caramba, Shido-kun. ¡Avergonzándote como si nada!
Qué lindo. Ustedes dos son tan lindos. *¡Silba!*"
Message	Shido	Yoshinon, stop teasing!	¡Yoshinon, deja de burlarte!
Message	Yoshino	...Shido-san.	...Shido-san.
Message	Shido	...Hmmm?	...¿Hmmm?
Message	Yoshino	I'm... very happy...	Estoy... muy feliz...
Message	Shido	Mm, yeah...	Mm, sí...
Message		"(Yoshino is here, and so is Yoshinon. Now, we
can all laugh and spend time together. Good
times will roll. As long as I never let them go.)"	"(Yoshino está aquí, y también Yoshinon. Ahora, todos podemos
reír y pasar tiempo juntos. Los buenos tiempos rodarán.
Mientras nunca los deje pasar)."
Message	Shido	I was about to say the same thing.	Estaba a punto de decir lo mismo.
Message	Yoshino	...Yes!	...¡Sí!
