Operator	Comment	Key	Translation
Message		<<No event data for today!>>	<<No hay datos de eventos para hoy!>>
Message	Ai	We found you, Itsuka-kun!	"¡Te hemos encontrado, Itsuka-kun!
se hubiera quedado sola en su sufrimiento, se habría vuelto loca…)"
Message	Shido	...Huh?	...¿Eh?
Message	Mai	"Wandering around with the intent to seduce
someone again, are you?!"	¿Vagando por ahí con la intención de seducir a alguien otra vez, no?
Message	Shido	"Huh? What?
I-I don't understand what you're saying at all..."	¿Eh? ¿Qué? No entiendo nada de lo que dices...
Message	Mii	"Even though you have someone like Tohka-chan,
using your amorous gaze on other women is
unforgivable!"	"Aunque tengas a alguien como Tohka-chan, ¡usar tu mirada
amorosa con otras mujeres es imperdonable!"
Message	Ai	That’s right, you enemy of women!	¡Eso es, enemigo de las mujeres!
Message	Mai	Pig slop!	¡Basura de cerdo!
Message	Mii	May the gods strike you down!	¡Que los dioses te golpeen!
Message	Shido	"H-Hey, wait. I don't know what you're upset
about!"	H-Hey, espera. ¡No sé por qué estás enfadada!
Message	Mii	Then hurry, and return to Tohka-chan's side...	Entonces date prisa, y vuelve al lado de Tohka-chan...
Message	Shido	Wh-What is up with you guys...?	¿Qué pasa con ustedes…?
Message	Shido	Urgh, what's over there?!	¡¿Qué hay ahí?!
Message	Ai	...Target, spotted!	...¡Objetivo, visto!
Message	Mai	Enemy ship sighted! Heave ho!	¡Buque enemigo avistado! ¡Arriba!
Message	Mii	We won't let you escape, Shido Itsuka!	¡No te dejaremos escapar, Shido Itsuka!
Message	Shido	"W-Wait just a moment. Why are you making me
out to be the enemy?"	Espera un momento. ¿Por qué me haces pasar por el enemigo?
Message	Mii	"Together, we have formed the ""Itsuka
Observation Division"" to make sure you don't
cheat on Tohka-chan, for her sake!"	"Juntos hemos formado la ""División de Observación Itsuka"" para
asegurarnos de que no engañas a Tohka-chan, ¡por su bien!"
Message	Shido	"Huh?! Hey, wait. Couldn't you have picked
a less incriminating name...?"	"¡¿Eh?! Eh, espera. ¿No podías haber elegido un
nombre menos incriminatorio...?"
Message	Ai	"Be quiet! Listen carefully, Shido Itsuka!
Should a wicked thought enter your heart,
we will bring down the hammer of justice!"	"¡Silencio! ¡Escucha con atención, Shido Itsuka! ¡Si un pensamiento
malvado entra en tu corazón, haremos caer el martillo de la justicia!"
Message	Shido	Whatever you say! I'll be going now!	¡Lo que tú digas! ¡Ya me voy!
Message	Mai	Ah, wait! Dang it!	¡Ah, espera! ¡Maldición!
Message	Mii	Don't let him escape! After him!	¡No le dejen escapar! ¡Tras él!
Message	Shido	Hyeeeeeek!! Why are you following me?!	¡¡Hyeeeeeek!! ¡¿Por qué me estás siguiendo?!
Message	Shido	...!! That's—!	¡¡...!! ¡Eso es...!
Message	Ai	"Curse you, Shido Itsuka! To think he would
escape being trapped by the ""Itsuka Observation
Team""!"	"¡Maldito seas, Shido Itsuka! ¡Y pensar que se libraría de
ser atrapado por el ""Equipo de Observación Itsuka""!"
Message	Mii	"We have to hurry and find him, or that wild beast
will sink his poisonous fangs into yet another
victim!"	"Tenemos que darnos prisa y encontrarlo, ¡o esa bestia salvaje
hundirá sus colmillos venenosos en otra víctima más!"
Message	Mai	"Find him! We have to find him as quickly as
possible!"	¡Encuéntrenlo! ¡Tenemos que encontrarlo lo antes posible!
Message	Shido	It's them, again.	Son ellos, otra vez.
Message		"(Like hell I'm gonna be found.
I'll hide and let them pass...)"	(Ni en sueños me van a encontrar. Me esconderé y las dejaré pasar...)
Message	Ai	Too bad, we lost sight of him.	Lástima, lo perdimos de vista.
Message	Mii	"Is he trying to make Tohka-chan cry again,
that bastard?"	¿Está intentando hacer llorar a Tohka-chan otra vez, ese bastardo?
Message	Mai	Poor Tohka-chan...	Pobre Tohka-chan...
Message	Ai	"You know, when I think about it, we're quite
the faithful bunch, aren't we?"	Sabes, cuando pienso en ello, somos un grupo bastante fiel, ¿no?
Message	Mai	"You might be right. Without even considering
ourselves, we merely pray for Tohka-chan's
happiness..."	"Puede que tengas razón. Sin siquiera considerarnos a nosotros
mismos, sólo rezamos por la felicidad de Tohka-chan..."
