Operator	Comment	Key	Translation
Message		<<No event data for today!>>	<<No hay datos de eventos para hoy
Message	Shido	Kannazuki-san...?	¿Kannazuki-san...?
Message	Kannazuki	"Well, if it isn't Shido-kun. Do you have business
on the Fraxinus?"	Vaya, pero si es Shido-kun. ¿Tienes negocios en el Fraxinus?
Message		"(B-Business... I'd like to take a good hour to
grill him on just who teleported me here of their
own accord! ...But that can wait for now.)"	(B-Business... Me gustaría tomarme una buena hora para interrogarle sobre quién me ha teletransportado aquí por su propia voluntad. ...Pero eso puede esperar por ahora).
Message	Shido	"I just thought I'd ask about the current
situation... Is Kotori here?"	Sólo pensé en preguntar sobre la situación actual... ¿Está Kotori aquí?
Message	Kannazuki	"No, the commander is currently away from her
chair. If you are all right with me, I can answer
your questions."	No, la comandante se encuentra en este momento lejos de su silla. Si le parece bien, puedo responder a sus preguntas.
Message	Shido	Um. Then, Kannazuki-san, what are you doing?	Um. Entonces, Kannazuki-san, ¿qué estás haciendo?
Message	Kannazuki	I am currently in the middle of a simulation...	Actualmente estoy en medio de una simulación...
Message	Shido	"A simulation...? Just now, I thought I saw a girl
wearing frilly clothes in the middle of your
monitor, but..."	¿Una simulación...? Hace un momento me ha parecido ver a una chica vestida con volantes en medio de tu monitor, pero...
Message	Kannazuki	"Hahaha, how ridiculous, Shido-kun. It's merely
an optical illusion..."	Jajaja, qué ridículo, Shido-kun. Es simplemente una ilusión óptica...
Message	Shido	...I see, I'll pretend I didn't see that.	...Ya veo, fingiré que no lo he visto.
Message	Shido	Oh, Kannazuki-san?	Oh, ¿Kannazuki-san?
Message	Kannazuki	Oh, Shido-kun. Out shopping as well?	Oh, Shido-kun. ¿De compras también?
Message	Shido	"Well, yeah. Are you running errands,
Kannazuki-san?"	Bueno, sí. ¿Estás haciendo recados, Kannazuki-san?
Message	Kannazuki	Yes, I'm replenishing necessary supplies.	Sí, estoy reponiendo los suministros necesarios.
Message	Shido	"Huh, I thought replenishment would be more
systematized. I didn't think you'd be shopping
so close-by..."	Huh, pensé que la reposición estaría más sistematizada. No pensé que estarías comprando tan cerca...
Message	Kannazuki	"The majority of goods are supplied via Ratatoskr,
but there are some items I simply have to
purchase on my own."	La mayoría de los productos se suministran a través de Ratatoskr, pero hay algunos que tengo que comprar por mi cuenta.
Message	Shido	Like what...?	¿Cómo qué...?
Message	Kannazuki	"This, of course! A limited-edition first print of
the new romance game, ""School Detective Club
Scanties,"" just released today!"	"Por supuesto. Hoy acaba de salir a la venta una primera edición limitada del nuevo juego romántico ""School Detective Club Scanties""."
Message	Shido	Oh, I see...	Oh, ya veo...
Message	Kannazuki	"In particular, with the shop's limited clear
folder illustrations, it's quite possible that
I wouldn't be able to pick this up after today!"	En particular, con las limitadas ilustraciones de carpetas transparentes de la tienda, es muy posible que no pueda recogerlo después de hoy.
Message	Kannazuki	"Oh, how careless of me! If I waste time, the
line will only grow longer! Now then, Shido-kun,
I'll be taking my leave!"	¡Oh, qué descuidado soy! ¡Si pierdo el tiempo, la cola se hará más larga! Ahora, Shido-kun, ¡me marcho!
Message	Shido	...*sigh* Good luck.	...*suspiro* Buena suerte.
Message	Shido	Whoa! Huh? This place is...	¡Whoa! ¿Eh? Este lugar es...
Message	Kannazuki	Why hello, Shido-kun.	Hola, Shido-kun.
