Operator	Comment	Key	Translation
Message		<<No event data for today!>>	<<No hay datos de eventos para hoy
Message	Shido	Oh Tama-cha... err, I mean sensei. Goodbye!	Oh Tama-cha... err, quiero decir sensei. ¡Adiós!
Message	Tamae	Oh... Itsuka-kun.	Oh... Itsuka-kun.
Message	Shido	Yes... What is it?	Sí... ¿Qué es?
Message	Tamae	How are you feeling?	¿Cómo se encuentra?
Message	Shido	"Oh... Sorry for worrying you.
I'm totally fine now."	Oh... Siento haberte preocupado. Estoy totalmente bien ahora.
Message	Tamae	"I see. That's so good to hear. You seem to not be
focused on your studies lately, so I was worried
about you."	Ya veo. Qué bueno oír eso. Parece que no estás concentrado en tus estudios últimamente, así que estaba preocupado por ti.
Message		"(Oh. I was so busy with the Spirits and
everything... but even if I weren't busy,
I still don't see myself really studying...)"	(Oh. Estaba tan ocupada con los Espíritus y todo eso... pero aunque no estuviera ocupada, sigo sin verme realmente estudiando...)
Message	Tamae	"I'm glad that you're feeling better now.
Please keep up with your studies, okay?"	Me alegro de que te sientas mejor ahora. Por favor, sigue con tus estudios, ¿vale?
Message	Shido	O-Okay...	Vale...
Message	Shido	Oh...	Oh...
Message	Shido	I-I'm sorry... Huh? Sensei?	Lo siento... ¿Eh? ¿Sensei?
Message	Tamae	Oh... M-My pictures!	Oh... ¡Mis fotos!
Message	Shido	I'm so sorry. Let me help you.	Lo siento mucho. Déjame ayudarte.
Message	Tamae	Nooo, you can't touch them～!	Nooo, ¡no puedes tocarlos～!
Message	Shido	Huh...?	¿Eh...?
Message	Tamae	I-I'll pick them up myself...	Los recogeré yo mismo...
Message	Shido	"S-Sensei... Are those... photos from a matchmaking
service...?"	S-Sensei... ¿Son... fotos de un servicio de búsqueda de pareja...?
Message	Tamae	I... Th-They're not～!	I... ¡No lo son!
Message		"(But they're all photos of men in suits...
It's pretty obvious that they are...)"	(Pero todas son fotos de hombres con traje... Es bastante obvio que lo son...)
Message	Tamae	...	...
Message	Shido	...	...
Message	Tamae	Don't tell anyone... Okay?	No se lo digas a nadie... ¿De acuerdo?
Message	Shido	O-Okay.	De acuerdo.
Message	Tamae	Um... Itsuka-kun?	Um... ¿Itsuka-kun?
Message	Shido	Huh...? Oh, sensei. What is it...?	¿Eh...? Oh, sensei. ¿Qué es...?
Message	Tamae	Um... Well... Er... You see...	Um... Bueno... Er ... Usted ve ...
Message	Shido	Huh...?	¿Eh...?
