Operator	Comment	Key	Translation
Message		<<No event data for today!>>	<<No hay datos de eventos para hoy!>>
Message	Tonomachi	Hi, Itsuka!	¡Hola, Itsuka!
Message	Shido	Oh... Tonomachi.	Oh... Tonomachi.
Message	Tonomachi	"So... If you're free today, why don't we go find
something to do?"	Así que... si estás libre hoy, ¿por qué no buscamos algo que hacer?
Message	Shido	O-Oh... Uh...	O-Oh... Uh...
Message		"(It's important that I take the Spirits out on
dates... I can't just hang out with Tonomachi.)"	"(Es importante que lleve a los Espíritus a citas... No puedo salir sólo
con Tonomachi)."
Message	Shido	Sorry, I have plans.	Lo siento, tengo planes.
Message	Tonomachi	"What the hell? What kind of business do you have
where you'd unceremoniously reject your partner
like this? We're 2nd place for best couple!"	"¿Qué demonios? ¿Qué tipo de negocio tienes para rechazar a tu
pareja de esta manera tan poco delicada? ¡Somos la segunda
mejor pareja!"
Message	Shido	"You idiot...! Don't say that, or people will get
the wrong idea!"	¡Idiota...! ¡No digas eso, o la gente se hará una idea equivocada!
Message	Tonomachi	"You never hang out with me anymore. Just because
you're Mr. Popular now..."	Ya nunca sales conmigo. Sólo porque ahora eres el Sr. Popular...
Message	Shido	S-Sorry... Later!	Lo siento... ¡Hasta luego!
Message	Tonomachi	Hey, Itsuka!	¡Eh, Itsuka!
Message	Shido	Oh... Tonomachi, are you on your way home?	Oh... Tonomachi, ¿estás de camino a casa?
Message	Tonomachi	"Yeah. You see, I was thinking of going to check
out the Neo Tengu Tower."	Sí. Verás, estaba pensando en ir a ver la Torre Neo Tengu.
Message	Shido	Neo Tengu Tower? I thought it hadn't opened yet.	¿Torre Neo Tengu? Creía que aún no había abierto.
Message	Tonomachi	"You idiot. Researching date spots after they're
open puts you way behind the curve!"	"Idiota. ¡Investigar lugares de citas después de que estén abiertos
te pone muy por detrás de la curva!"
Message	Shido	Oh...	Oh...
Message	Tonomachi	"I mean, it's the #1 spot to go on a date with a
boyfriend, if you believe the conversations
of the girls I've been eavesdropping on."	"Es el lugar número 1 para tener una cita con un novio, si te crees
las conversaciones de las chicas que he estado escuchando a
escondidas."
Message	Shido	Okay...	Bueno...
Message	Tonomachi	"That said, I'm busy today,
so I don't have time for you."	Dicho esto, hoy estoy ocupado, así que no tengo tiempo para ti.
Message	Shido	"You don't have time for me, huh... I don't recall
asking you for your time."	No tienes tiempo para mí, eh... No recuerdo haberte pedido tu tiempo.
Message	Tonomachi	"I just wanted to say it, okay!
God, leave me alone!"	¡Sólo quería decirlo, okay! ¡Dios, déjame en paz!
Message	Shido	Oh, okay... Sorry.	Oh, vale... Perdón,.
Message	Tonomachi	I hate you, Itsuka!	¡Te odio, Itsuka!
Message	Shido	...	...
Message	Tonomachi	...Itsuka!	...¡Itsuka!
Message	Shido	Oh, God... Tonomachi!	Oh, Dios... ¡Tonomachi!
Message	Tonomachi	Hehehe... What are you afraid of?	Jejeje... ¿De qué tienes miedo?
Message	Shido	N-Nothing... I'm not afraid...	N-nada... No tengo miedo...
Message	Tonomachi	"You're gonna try to sneak out today too, huh...
I KNOW! You're going on a date, aren't you?!
It's another date today, ISN'T IT?!"	"Vas a intentar escabullirte hoy también, eh... ¡Lo sé! ¡¿Vas a tener
una cita, verdad?!  Es otra cita hoy, ¡¿NO ES ASÍ?!"
Message	Shido	Well... that's not the case...	Bueno... ese no es el caso...
Message		(Well actually, it is...)	(Bueno, en realidad, lo es...)
