Operator	Comment	Key	Translation
Message		"(Spirits... Supposedly they are beings that
shouldn't exist.)"	"(Espíritus... Supuestamente son seres que
no deberían existir).}"
Message		"(When a Spirit appears in the world, a spacequake
occurs involuntarily.)"	"(Cuando un Espíritu aparece en el mundo, un
terremoto espacial ocurre involuntariamente.)"
Message		"(As the name implies, it's an earthquake in
space. A massive force bears down on the region,
explodes, leaving nothing but a smoking crater.)"	"(Como su nombre indica, es un terremoto en el
el espacio. Una fuerza masiva se abate sobre la región,
explota, dejando nada más que un cráter humeante)."
Message		(It was first observed 30 years ago...)	(Se observó por primera vez hace 30 años...)
Message		"(Eurasia's center disappeared; over 150 million
were killed in the largest calamity in mankind's
history. Also known as the Eurasia Sky Disaster.)"	"(En Eurasia, el centro desapareció, resultando en la mayor
catástrofe de la historia con más de 150 millones de muertes,
también conocida como el Desastre del Cielo de Eurasia.)"
Message		"(Just as they had sparked in the beginning,
small-scale spacequakes began to occur
throughout the world.)"	"(Al igual que al principio, pequeños terremotos
espaciales comenzaron a ocurrir en todo el mundo)."
Message		"(That's why the Spirits that cause them are
known as harbingers of disaster, earning the
ire and fear of the people around them.)"	"(Por eso los Espíritus que las causan son
conocidos como heraldos del desastre, ganándose la
la ira y el miedo de la gente que les rodea)."
Message		"(The city in which we live, Tengu City, was once
the site of such an event. On that spot, a town
was built to test the latest technology.)"	"(La ciudad en la que vivimos, Tengu City, fue una vez
el lugar de tal evento. En ese lugar, una ciudad
fue construida para probar la última tecnología)."
Message		"(I was living a normal, average
life when she arrived.)"	"(Llevaba una vida normal y corriente
normal cuando ella llegó)."
Message		"(Spring break had ended, and my life as a
sophomore began on April 10th. On that day,
I met my first Spirit.)"	"
(Las vacaciones de primavera habían terminado y mi vida
como El estudiante de segundo año comenzó el 10
de abril. En ese día, conocí a mi primer Espíritu.)"
Message		(I remember as if it were yesterday.)	(Lo recuerdo como si fuera ayer).
Message		"(The city was destroyed, and there was a huge
crater in the ground as if a meteor had struck.
In the center of it all, she stood.)"	"(La ciudad fue destruida, y había un enorme
cráter en el suelo como si hubiera caído un meteorito.
En el centro de todo, estaba ella)."
Message		"(I couldn't take my eyes off of her. She had taken
my heart in an instant. She was so beautiful,
almost otherworldly...)"	"(No podía dejar de mirarla. Ella había tomado
mi corazón en un instante. Era tan hermosa,
casi de otro mundo...)"
Message		"(Her powers had the potential to destroy the
world, and because of that, she was reviled and
attacked by humans. She fought in her despair.)"	"(Sus poderes tenían el potencial de
destruir el mundo, y por eso, fue vilipendiada y
atacado por humanos. Ella luchó en su desesperación.)"
Message		"(I just couldn't bring myself to think that she
was the world's enemy. Not only that, I wanted to
save her from her sadness.)"	"(Simplemente no me atrevía a pensar que ella
era el enemigo del mundo. No sólo eso, quería
salvarla de su tristeza)."
Message		(And my wish came true in the oddest way.)	(Y mi deseo se hizo realidad de la forma más extraña).
Message		"(A secret organization formed to protect the
Spirits. Kotori, Commander of Ratatoskr, told me
of my ability to seal the Spirit's powers.)"	"(Una organización secreta formada para proteger a los
Espíritus. Kotori, Comandante de Ratatoskr, me habló
de mi habilidad para sellar los poderes de los Espíritus)."
Message		"(If successful, then I would be able to save the
Spirits... However, the means to do so was
shocking to say the least...)"	"(Si tiene éxito, entonces yo sería capaz de salvar a los
Espíritus... Sin embargo, los medios para hacerlo eran
chocante por decir lo menos...)"
